流水	附加属性库	品质	Buff编号	Buff评分	属性id	下限	上限
int	int	int	string	int	int	int	int
Id	DropBox	Rare	BuffId	BuffValue	PropId	Min	Max
1	1001	2		0	301	5000	20000
2	1002	2		0	301	10000	25000
3	1002	2		0	302	1000	2000
4	1002	2		0	331	1250	2500
5	1002	2		0	3	125	250
6	1002	2		0	4	150	300
7	1002	3		0	301	25100	50000
8	1002	3		0	302	2010	4000
9	1002	3		0	331	2501	5000
10	1002	3		0	3	251	500
11	1002	3		0	4	301	600
12	1003	3		0	312	300	450
13	1003	3		0	313	300	450
14	1003	4		0	312	500	600
15	1003	4		0	313	500	600
16	1004	3		0	312	300	450
17	1005	3		0	313	300	450
18	1005	4		0	312	500	500
19	1005	4		0	313	500	500
20	1006	3		0	312	500	700
21	1006	3		0	313	500	700
22	1006	3		0	112	500	700
23	1006	3		0	303	300	400
24	1006	4	skill127003::buff_01	0	0	0	0
25	1006	4		0	312	800	1000
26	1006	4		0	313	800	1000
27	1006	4		0	112	800	1000
28	1006	4		0	303	500	600
29	1007	3		0	312	500	700
30	1007	3		0	313	500	700
31	1007	3		0	112	500	700
32	1007	3		0	303	300	400
33	1007	4	skill127003::buff_01	0	0	0	0
34	1007	4		0	312	800	900
35	1007	4		0	313	800	900
36	1007	4		0	112	800	900
37	1007	4		0	303	500	550
38	1008	5	skill124001::buff_01	2000	0	0	0
39	1008	5	skill124002::buff_01	2000	0	0	0
40	1008	5	skill124003::buff_01	2000	0	0	0
41	1008	4	skill124004::buff_01	1000	0	0	0
42	1008	4	skill124005::buff_01	1000	0	0	0
43	1008	4	skill124006::buff_01	1000	0	0	0
44	1008	3	skill124007::buff_01	500	0	0	0
45	1008	3	skill124008::buff_01	500	0	0	0
46	1009	4	skill124004::buff_01	1000	0	0	0
47	1009	4	skill124005::buff_01	1000	0	0	0
48	1009	4	skill124006::buff_01	1000	0	0	0
49	1009	3	skill124007::buff_01	500	0	0	0
50	1009	3	skill124008::buff_01	500	0	0	0
51	1010	5	skill124009::buff_01	2000	0	0	0
52	1010	5	skill124001::buff_01	2000	0	0	0
53	1010	5	skill124002::buff_01	2000	0	0	0
54	1010	5	skill124003::buff_01	2000	0	0	0
55	1010	4	skill124004::buff_01	1000	0	0	0
56	1010	4	skill124005::buff_01	1000	0	0	0
57	1010	4	skill124006::buff_01	1000	0	0	0
58	1010	3	skill124007::buff_01	500	0	0	0
