流水	合成魔灵蛋道具	展示魔灵	排序	需求材料
int	string	string	int	string
ID	ItemID	FairyID	Sort	DemandItem
1	item101020503038	pet_188	1	item101040101101,1;item101040101101,1;item101040101110,1;item101040101110,1;item101040101114,1
2	item101020503039	pet_190	2	item101040101101,1;item101040101101,1;item101040101107,1;item101040101107,1;item101040101114,1
3	item101020503040	pet_192	3	item101040101101,1;item101040101104,1;item101040101107,1;item101040101107,1;item101040101111,1
4	item101020503041	pet_194	4	item101040101101,1;item101040101104,1;item101040101110,1;item101040101113,1;item101040101114,1
5	item101020503042	pet_196	5	item101040101104,1;item101040101104,1;item101040101104,1;item101040101107,1;item101040101111,1
16	item101020503043	pet_198	6	item101040101104,1;item101040101107,1;item101040101110,1;item101040101113,1;item101040101114,1
6	item101020503044	pet_301	7	item101040101115,1;item101040101105,1;item101040101108,1;item101040101114,1;item101040101114,1
7	item101020503045	pet_303	8	item101040101109,1;item101040101102,1;item101040101102,1;item101040101111,1;item101040101108,1
8	item101020503046	pet_305	9	item101040101109,1;item101040101105,1;item101040101102,1;item101040101111,1;item101040101111,1
9	item101020503047	pet_307	10	item101040101106,1;item101040101106,1;item101040101106,1;item101040101109,1;item101040101115,1
10	item101020503048	pet_309	11	item101040101103,1;item101040101103,1;item101040101109,1;item101040101112,1;item101040101112,1
11	item101020503050	pet_313	12	item101040101103,1;item101040101106,1;item101040101109,1;item101040101115,1;item101040101112,1
12	item101020503051	pet_315	13	item101040101109,1;item101040101109,1;item101040101112,1;item101040101112,1;item101040101112,1
13	item101020503052	pet_317	14	item101040101103,1;item101040101106,1;item101040101109,1;item101040101115,1;item101040101115,1
14	item101020503053	pet_319	15	item101040101103,1;item101040101103,1;item101040101103,1;item101040101109,1;item101040101109,1
15	item101020503054	pet_321	16	item101040101106,1;item101040101106,1;item101040101106,1;item101040101106,1;item101040101112,1
17	item101020503055	pet_323	17	item101040101115,1;item101040101115,1;item101040101115,1;item101040101103,1;item101040101112,1
