特色属性ID	六维1	六维2	六维3	六维4	六维5	六维6	属性id	六维1显示	六维2显示	六维3显示	六维4显示	六维5显示	六维6显示	特色属性语言包	特色属性参数	觉醒属性语言包	觉醒属性参数	战力评分
int	int	int	int	int	int	int	string	int	int	int	int	int	int	string	string	string	string	int
SpecialpropId	SixDimensions1	SixDimensions2	SixDimensions3	SixDimensions4	SixDimensions5	SixDimensions6	Props	SixDimensionsShow1	SixDimensionsShow2	SixDimensionsShow3	SixDimensionsShow4	SixDimensionsShow5	SixDimensionsShow6	CharacteristicLang	CharacteristicValue	AwakeLang	AwakeValue	PowerValue
2001001	3	4	5	3	4	5	3,10	3	4	5	3	4	5	CharacteristicLang2001	10,13			25
2001002	6	4	5	3	4	5	3,10	6	4	5	3	4	5	CharacteristicLang2001	10,13			25
2001003	6	7	5	3	4	5	3,10	6	7	5	3	4	5	CharacteristicLang2001	10,13			25
2001004	6	7	8	3	4	5	3,10	6	7	8	3	4	5	CharacteristicLang2001	10,13			25
2001005	6	7	8	6	4	5	3,10	6	7	8	6	4	5	CharacteristicLang2001	10,13			25
2001006	6	7	8	6	7	5	3,10	6	7	8	6	7	5	CharacteristicLang2001	10,13			25
2001007	6	7	8	6	7	8	3,10	6	7	8	6	7	8	CharacteristicLang2001	10,13			25
2001008	8	9	10	8	9	10	3,13	8	9	10	8	9	10	CharacteristicLang2001	13,16			33
2001009	12	9	10	8	9	10	3,13	12	9	10	8	9	10	CharacteristicLang2001	13,16			33
2001010	12	13	10	8	9	10	3,13	12	13	10	8	9	10	CharacteristicLang2001	13,16			33
2001011	12	13	14	8	9	10	3,13	12	13	14	8	9	10	CharacteristicLang2001	13,16			33
2001012	12	13	14	12	9	10	3,13	12	13	14	12	9	10	CharacteristicLang2001	13,16			33
2001013	12	13	14	12	13	10	3,13	12	13	14	12	13	10	CharacteristicLang2001	13,16			33
2001014	12	13	14	12	13	14	3,13	12	13	14	12	13	14	CharacteristicLang2001	13,16			33
2001015	15	16	17	15	16	17	3,16	15	16	17	15	16	17	CharacteristicLang2001	16,20			40
2001016	20	16	17	15	16	17	3,16	20	16	17	15	16	17	CharacteristicLang2001	16,20			40
2001017	20	21	17	15	16	17	3,16	20	21	17	15	16	17	CharacteristicLang2001	16,20			40
2001018	20	21	22	15	16	17	3,16	20	21	22	15	16	17	CharacteristicLang2001	16,20			40
2001019	20	21	22	20	16	17	3,16	20	21	22	20	16	17	CharacteristicLang2001	16,20			40
2001020	20	21	22	20	21	17	3,16	20	21	22	20	21	17	CharacteristicLang2001	16,20			40
2001021	20	21	22	20	21	22	3,16	20	21	22	20	21	22	CharacteristicLang2001	16,20			40
2001022	24	25	26	24	25	26	3,20	24	25	26	24	25	26	CharacteristicLangMax2001	20			50
2001023	29	30	31	29	30	31	3,30	29	30	31	29	30	31	CharacteristicLangMax2001	20	AwakeLang2001	10	100
2002001	4	5	4	5	4	4	4,10	4	5	4	5	4	4	CharacteristicLang2002	10,13			25
2002002	7	5	4	5	4	4	4,10	7	5	4	5	4	4	CharacteristicLang2002	10,13			25
2002003	7	8	4	5	4	4	4,10	7	8	4	5	4	4	CharacteristicLang2002	10,13			25
2002004	7	8	7	5	4	4	4,10	7	8	7	5	4	4	CharacteristicLang2002	10,13			25
2002005	7	8	7	8	4	4	4,10	7	8	7	8	4	4	CharacteristicLang2002	10,13			25
2002006	7	8	7	8	7	4	4,10	7	8	7	8	7	4	CharacteristicLang2002	10,13			25
2002007	7	8	7	8	7	7	4,10	7	8	7	8	7	7	CharacteristicLang2002	10,13			25
2002008	9	10	9	10	9	9	4,13	9	10	9	10	9	9	CharacteristicLang2002	13,16			33
2002009	13	10	9	10	9	9	4,13	13	10	9	10	9	9	CharacteristicLang2002	13,16			33
2002010	13	14	9	10	9	9	4,13	13	14	9	10	9	9	CharacteristicLang2002	13,16			33
2002011	13	14	13	10	9	9	4,13	13	14	13	10	9	9	CharacteristicLang2002	13,16			33
2002012	13	14	13	14	9	9	4,13	13	14	13	14	9	9	CharacteristicLang2002	13,16			33
2002013	13	14	13	14	13	9	4,13	13	14	13	14	13	9	CharacteristicLang2002	13,16			33
2002014	13	14	13	14	13	13	4,13	13	14	13	14	13	13	CharacteristicLang2002	13,16			33
2002015	16	17	16	17	16	16	4,16	16	17	16	17	16	16	CharacteristicLang2002	16,20			40
2002016	21	17	16	17	16	16	4,16	21	17	16	17	16	16	CharacteristicLang2002	16,20			40
2002017	21	22	16	17	16	16	4,16	21	22	16	17	16	16	CharacteristicLang2002	16,20			40
2002018	21	22	21	17	16	16	4,16	21	22	21	17	16	16	CharacteristicLang2002	16,20			40
2002019	21	22	21	22	16	16	4,16	21	22	21	22	16	16	CharacteristicLang2002	16,20			40
2002020	21	22	21	22	21	16	4,16	21	22	21	22	21	16	CharacteristicLang2002	16,20			40
2002021	21	22	21	22	21	21	4,16	21	22	21	22	21	21	CharacteristicLang2002	16,20			40
2002022	25	26	25	26	25	25	4,20	25	26	25	26	25	25	CharacteristicLangMax2002	20			50
