流水id	说话模组	状态	说话概率	说话内容	说话权重	说话间隔	持续时间
int	int	int	int	string	string	int	string
Id	ModId	State	Probability	Content	Weight	Interval	Duration
1	1001	1	50	mon_steam_1_1	1	2	2
2	1001	2	40	mon_steam_2_1;mon_steam_2_2;mon_steam_2_3	1;1;1	5	2;2;2
3	1001	3	40	mon_steam_3_1	1	5	2
4	1001	4	20	mon_steam_4_1	1	5	2
5	1001	5	20	mon_steam_5_1	1	6	2
6	1001	6	30	mon_steam_6_1;mon_steam_6_2	3;1	7	2;2
7	1001	7	20	mon_steam_7_1	1	8	2
8	1002	1	50	lea_steam_1_1	1	2	2
9	1002	2	40	lea_steam_2_1;lea_steam_2_2;lea_steam_2_3	1;1;1	5	2;2;2
10	1002	3	40	lea_steam_3_1	1	5	2
11	1002	4	20	lea_steam_4_1	1	5	2
12	1002	5	20	lea_steam_5_1	1	6	2
13	1002	6	30	lea_steam_6_1;lea_steam_6_2	3;1	7	2;2
14	1002	7	20	lea_steam_7_1	1	8	2
15	1003	1	50	mon_monkey_1_1	1	2	2
16	1003	2	40	mon_monkey_2_1;mon_monkey_2_2;mon_monkey_2_3	1;1;1	5	2;2;2
17	1003	3	40	mon_monkey_3_1	1	5	2
18	1003	4	20	mon_monkey_4_1	1	5	2
19	1003	5	20	mon_monkey_5_1	1	6	2
20	1003	6	30	mon_monkey_6_1;mon_monkey_6_2	3;1	7	2;2
21	1003	7	20	mon_monkey_7_1	1	8	2
22	1004	1	50	mon_lobster_1_1	1	2	2
23	1004	2	40	mon_lobster_2_1;mon_lobster_2_2;mon_lobster_2_3	1;1;1	5	2;2;2
24	1004	3	40	mon_lobster_3_1	1	5	2
25	1004	4	20	mon_lobster_4_1	1	5	2
26	1004	5	20	mon_lobster_5_1	1	6	2
27	1004	6	30	mon_lobster_6_1;mon_lobster_6_2	3;1	7	2;2
28	1004	7	20	mon_lobster_7_1	1	8	2
29	1020001	1	100	mon_10200_born_01	1	2	2
30	1020001	5	50	mon_10200_fight_01;mon_10200_fight_02	1;1	6	2;2
31	1020001	6	30	mon_10200_suffer_01;mon_10200_suffer_02	1;1	7	2;2
32	101001	4	30	speak_mod101001_4_1;speak_mod101001_4_2	1;1	3	2;2
33	101001	5	40	speak_mod101001_5_1;speak_mod101001_5_2	1;1	4	2;2
34	101002	4	100	speak_mod101002_4_1	1	4	2
35	101002	5	100	speak_mod101002_5_1;speak_mod101002_5_2	1;1	4	2;2
36	101003	1	25	speak_mod101003_1_1;speak_mod101003_1_2	1;1	4	4;4
37	101003	2	30	speak_mod101003_1_1;speak_mod101003_1_2	1;1	4	4;4
38	101003	3	30	speak_mod101003_3_1;speak_mod101003_3_2	1;1	4	4;4
39	101003	4	10	speak_mod101003_3_1;speak_mod101003_3_2	1;1	4	4;4
40	101003	5	10	speak_mod101003_5_1;speak_mod101003_5_2	1;1	4	4;4
41	101003	6	10	speak_mod101003_6_1	1	4	2
42	101004	1	25	speak_mod101004_1_1;speak_mod101004_1_2	1;1	4	2;2
43	101005	1	100	speak_mod101005_1_1	1	4	2
44	101005	2	50	speak_mod101005_2_1	1	4	2
45	101005	3	100	speak_mod101005_3_1	1	4	2
46	101005	4	100	speak_mod101005_4_1	1	4	2
47	101005	5	10	speak_mod101005_5_1;speak_mod101005_5_2;speak_mod101005_5_3	1;1;1	9	2;2;2
48	101005	6	10	speak_mod101005_6_1;speak_mod101005_5_1;speak_mod101005_5_3	1;1;1	9	2;2;2
49	101006	1	100	speak_mod101006_6_1;speak_mod101006_6_2;speak_mod101006_6_3	1;1;1	5	4;4;4
50	101006	2	100	speak_mod101006_6_1;speak_mod101006_6_2;speak_mod101006_6_3	1;1;1	5	4;4;4
51	101006	3	100	speak_mod101006_6_1;speak_mod101006_6_2;speak_mod101006_6_3	1;1;1	5	4;4;4
52	101006	4	100	speak_mod101006_6_1;speak_mod101006_6_2;speak_mod101006_6_3	1;1;1	5	4;4;4
53	101006	5	100	speak_mod101006_6_1;speak_mod101006_6_2;speak_mod101006_6_3	1;1;1	5	4;4;4
54	101006	6	100	speak_mod101006_6_1;speak_mod101006_6_2;speak_mod101006_6_3	1;1;1	5	4;4;4
55	100001	1	50	speak_mod100001_1_1;speak_mod100001_1_2	1;1	5	10;10
56	100002	1	50	speak_mod100002_1_1;speak_mod100002_1_2	1;1	5	5;5
57	101007	3	100	speak_mod101007_1	1	4	4
58	101007	2	50	speak_mod101007_2	1	4	4
59	101008	3	100	speak_mod101008_1	1	4	4
60	101008	2	30	speak_mod101008_2	1	4	4
61	101009	3	100	speak_mod101009_1	1	4	4
62	101009	2	30	speak_mod101009_2	1	4	4
63	101010	3	100	speak_mod101010_1	1	4	4
64	101010	2	30	speak_mod101010_2	1	4	4
65	101011	3	30	speak_mod101011_1	1	5	4
66	101011	2	20	speak_mod101011_2	1	5	4
67	10105051	1	100	speak_mod10105051_1;speak_mod10105051_2;speak_mod10105051_3	1;1;1	5	4;4;4
68	10105051	2	100	speak_mod10105051_1;speak_mod10105051_2;speak_mod10105051_3	1;1;1	5	4;4;4
69	10105051	3	100	speak_mod10105051_1;speak_mod10105051_2;speak_mod10105051_3	1;1;1	5	4;4;4
70	10105051	4	100	speak_mod10105051_1;speak_mod10105051_2;speak_mod10105051_3	1;1;1	5	4;4;4
71	10105051	5	100	speak_mod10105051_1;speak_mod10105051_2;speak_mod10105051_3	1;1;1	5	4;4;4
