流水	活动id	奖励等级	奖励名称	奖励展示	是否显示百分比标签
int	int	int	string	string	bool
Id	ActivityId	Index	RewardName	RewardShow	RewardTableShow
1	6305	1	LuckySixRewardName_12	item1001,666666;item1002,18888;item91000000453,288	
2	6305	2	LuckySixRewardName_13	item91000000459,1	
3	6305	3	LuckySixRewardName_14	item1002,3	1
4	6307	1	LuckySixRewardName_12	item1002,18888	
5	6307	2	LuckySixRewardName_13	item8102020061005,2	
6	6307	3	LuckySixRewardName_14	item1002,3	1
7	6308	3	LuckySixRewardName_14	item1002,3	1
8	6309	1	LuckySixRewardName_12	item1002,18888	
9	6309	2	LuckySixRewardName_15	item162000120207,1	
10	6309	3	LuckySixRewardName_16	item8101020503086,1	
11	6310	1	LuckySixRewardName_12	item1002,18888	
12	6310	2	LuckySixRewardName_17	item91000000847,1	
13	6310	3	LuckySixRewardName_18	item91000000848,1	
14	6311	1	LuckySixRewardName_12	item1002,18888	
15	6311	2	LuckySixRewardName_19	item91000000874,1	
16	6311	3	LuckySixRewardName_18	item91000000875,1	
17	6312	1	LuckySixRewardName_12	item1002,18888	
18	6312	2	LuckySixRewardName_19	item91000000918,1	
19	6312	3	LuckySixRewardName_18	item91000000919,1	
20	6313	1	LuckySixRewardName_12	item1002,18888	
21	6313	2	LuckySixRewardName_19	item91000000947,1	
22	6313	3	LuckySixRewardName_16	item101020503097,1	
23	6314	1	LuckySixRewardName_12	item1002,18888	
24	6314	2	LuckySixRewardName_19	item91000000956,1	
25	6314	3	LuckySixRewardName_18	item91000000957,1	
26	6315	1	LuckySixRewardName_12	item1002,18888	
27	6315	2	LuckySixRewardName_19	item91000000986,1	
28	6315	3	LuckySixRewardName_18	item91000000987,1	
29	6316	1	LuckySixRewardName_12	item1002,18888	
30	6316	2	LuckySixRewardName_19	item91000001005,1	
31	6316	3	LuckySixRewardName_16	item8101020514004,1	
32	6317	1	LuckySixRewardName_12	item1002,18888	
33	6317	2	LuckySixRewardName_19	item91000001036,1	
34	6317	3	LuckySixRewardName_20	item91000001038,15	
35	6318	1	LuckySixRewardName_12	item1002,18888	
36	6318	2	LuckySixRewardName_19	item91000001068,1	
37	6318	3	LuckySixRewardName_16	item8101020514007,1	
38	6319	1	LuckySixRewardName_12	item1002,18888	
39	6319	2	LuckySixRewardName_19	item91000001101,1	
40	6319	3	LuckySixRewardName_18	item91000001102,1	
41	6320	1	LuckySixRewardName_12	item1002,18888	
42	6320	2	LuckySixRewardName_19	item91000001005,1	
43	6320	3	LuckySixRewardName_16	item8101020514008,1	
44	6321	1	LuckySixRewardName_12	item1002,18888	
45	6321	2	LuckySixRewardName_19	item91000001005,1	
46	6321	3	LuckySixRewardName_16	item8101020514010,1	
47	6322	1	LuckySixRewardName_12	item1002,18888	
48	6322	2	LuckySixRewardName_19	item91000001190,1	
49	6322	3	LuckySixRewardName_16	item8101020514011,1	
50	6323	1	LuckySixRewardName_12	item1002,18888	
51	6323	2	LuckySixRewardName_19	item91000001220,1	
52	6323	3	LuckySixRewardName_18	item91000001221,1	
53	6324	1	LuckySixRewardName_12	item1002,18888	
54	6324	2	LuckySixRewardName_19	item91000001237,1	
55	6324	3	LuckySixRewardName_18	item91000001238,1	
56	6325	1	LuckySixRewardName_12	item1002,18888	
57	6325	2	LuckySixRewardName_19	item91000001260,1	
58	6325	3	LuckySixRewardName_18	item91000001261,1	
59	6326	1	LuckySixRewardName_12	item1002,18888	
60	6326	2	LuckySixRewardName_19	item91000001296,1	
61	6326	3	LuckySixRewardName_16	item8101020514013,1	
62	6327	1	LuckySixRewardName_12	item1002,18888	
63	6327	2	LuckySixRewardName_19	item91000001382,1	
64	6327	3	LuckySixRewardName_16	item8101020514009,1	
65	6328	1	LuckySixRewardName_12	item1002,12888	
66	6328	2	LuckySixRewardName_19	item91000001461,1	
67	6328	3	LuckySixRewardName_16	item101020514017,1	
68	6329	1	LuckySixRewardName_12	item1002,12888	
69	6329	2	LuckySixRewardName_19	item91000001529,1	
70	6329	3	LuckySixRewardName_16	item8101020514019,1	
71	6330	1	LuckySixRewardName_12	item1002,12888	
72	6330	2	LuckySixRewardName_19	item91000001567,1	
73	6330	3	LuckySixRewardName_16	item8101020514023,1	
74	6331	1	LuckySixRewardName_12	item1002,12888	
75	6331	2	LuckySixRewardName_19	item91000001606,1	
76	6331	3	LuckySixRewardName_16	item8101020514016,1	
77	6332	1	LuckySixRewardName_12	item1002,12888	
78	6332	2	LuckySixRewardName_19	item91000001637,1	
79	6332	3	LuckySixRewardName_16	item8101020514016,1	
80	6333	1	LuckySixRewardName_12	item1002,12888	
81	6333	2	LuckySixRewardName_19	item91000001665,1	
82	6333	3	LuckySixRewardName_16	item8101020514023,1	
83	6334	1	LuckySixRewardName_12	item1002,12888	
84	6334	2	LuckySixRewardName_19	item91000001687,1	
85	6334	3	LuckySixRewardName_16	item8101020514028,1	
86	6335	1	LuckySixRewardName_12	item1002,12888	
87	6335	2	LuckySixRewardName_19	item91000001740,1	
88	6335	3	LuckySixRewardName_16	item8101020514016,1	
89	6336	1	LuckySixRewardName_12	item1002,12888	
90	6336	2	LuckySixRewardName_19	item91000001764,1	
91	6336	3	LuckySixRewardName_16	item8101020514029,1	
92	6337	1	LuckySixRewardName_12	item1002,12888	
93	6337	2	LuckySixRewardName_19	item91000001787,1	
94	6337	3	LuckySixRewardName_16	item8101020514025,1	
95	6338	1	LuckySixRewardName_12	item1002,12888	
96	6338	2	LuckySixRewardName_19	item91000001817,1	
97	6338	3	LuckySixRewardName_16	item8101020514022,1	
98	6339	1	LuckySixRewardName_12	item1002,12888	
99	6339	2	LuckySixRewardName_19	item91000001787,1	
100	6339	3	LuckySixRewardName_16	item8101020514025,1	
