流水id	数量	显示优先级	最大等级	推荐级别	UI链接	UI链接	语言包
int	int	int	int	int	string	string	string
Id	Num	Sort	ShowLevel	Recommend	Link	LinkParm	TipsDes
1	1	2	99	1	LinkUI	TitlePanel	CheckUpTitleDes
2	1	1	99	1	LinkUI	FashionPanel	CheckUpFashionDes
3	1	11	99	1	LinkUI	BagPanel	CheckUpFishTalentDes
4	5	12	50	1	LinkUI	BagPanel	CheckUpNpcGiftDes
5	2	3	50	1	LinkUI	StrengthenPanel;1	CheckUpRefineDes
6	5	5	50	1	LinkUI	BagPanel;OpenSoulStone	CheckUpSoulStoneLevelUpDes
7	1	4	50	1	LinkUI	PetPanel;2	CheckUpFairyDispatchDes
8	6	6	50	1	LinkUI	BagPanel;OpenSoulStone	CheckUpSoulStoneRefreshDes
9	10	2	99	1	LinkUI	BagPanel	CheckUpBagBuySpaceDes
10	5	7	50	1	LinkUI	BagPanel	CheckUpTreasureMapDes
11	500	8	99	1	LinkUI	SkillPanel;2	CheckUpEnergyDes
12	3	2	99	1	LinkUI	SocialPanel;3	CheckUpMailDes
13	500	10	50	2	LinkUI	TradingPanel;3;902	CheckUpWorldPrestigeCurrencyDes
14	300	10	50	2	LinkUI	TradingPanel;3;301	CheckUpGuildDevoteCurrencyDes
15	1000	10	50	2	LinkUI	TradingPanel;3;201	CheckUpSecretCurrencyDes
16	100	10	50	2	LinkUI	TradingPanel;3;401	CheckUpAdventrueCurrencyDes
17	50000	10	50	2	LinkUI	TradingPanel;3;901	CheckUpExploitSCurrencyDes
18	5000	10	50	2	LinkUI	TradingPanel;3;101	CheckUpGloryCunrrencyDes
19	20	2	99	1	LinkUI	SettingPanel;3	CheckUpFoodDes
20	50	9	50	1	LinkUI	WorldMapPanel;OpenedFishingScene	CheckUpFishBaitDes
21	10	7	50	1	LinkUI	AdventureBookPanel,2	CheckUpCatchFairySingDes
22	2	7	50	1	LinkUI	AdventureBookPanel,2	CheckUpCatchFairyMultiDes
