流水	符文种类	符文等阶	位置	属性库
int	int	int	int	int
Id	Type	Grade	Place	DropBoxId
1	1	1	1	11001
2	1	2	1	11002
3	1	3	1	11003
4	1	3	2	11003
5	1	4	1	11003
6	1	4	2	11003
7	1	4	3	13004
8	1	5	1	11003
9	1	5	2	11003
10	1	5	3	13004
11	1	6	1	11006
12	1	6	2	11006
13	1	6	3	13006
14	1	7	1	11006
15	1	7	2	11006
16	1	7	3	13006
17	1	8	1	11006
18	1	8	2	11006
19	1	8	3	13006
20	1	9	1	11006
21	1	9	2	11006
22	1	9	3	13006
23	1	10	1	11006
24	1	10	2	11006
25	1	10	3	13006
26	2	1	1	11001
27	2	2	1	21002
28	2	3	1	21003
29	2	3	2	21003
30	2	4	1	21003
31	2	4	2	21003
32	2	4	3	23004
33	2	5	1	21003
34	2	5	2	21003
35	2	5	3	23004
36	2	6	1	21006
37	2	6	2	21006
38	2	6	3	23006
39	2	7	1	21006
40	2	7	2	21006
41	2	7	3	23006
42	2	8	1	21006
43	2	8	2	21006
44	2	8	3	23006
45	2	9	1	21006
46	2	9	2	21006
47	2	9	3	23006
48	2	10	1	21006
49	2	10	2	21006
50	2	10	3	23006
51	3	1	1	11001
52	3	2	1	31002
53	3	3	1	31003
54	3	3	2	31003
55	3	4	1	31003
56	3	4	2	31003
57	3	4	3	33004
58	3	5	1	31003
59	3	5	2	31003
60	3	5	3	33004
61	3	6	1	31006
62	3	6	2	31006
63	3	6	3	33006
64	3	7	1	31006
65	3	7	2	31006
66	3	7	3	33006
67	3	8	1	31006
68	3	8	2	31006
69	3	8	3	33006
70	3	9	1	31006
71	3	9	2	31006
72	3	9	3	33006
73	3	10	1	31006
74	3	10	2	31006
75	3	10	3	33006
