流水id	场景	层数	关卡名	关卡描述	展示怪物	坐标偏移	模型偏移	奖励	奖励展示	结算奖励	推荐战力公式
int	int	int	string	string	string	string	float	string	string	string	int
Id	SceneID	Level	Name	DEC	ShowMonsterId	Coordinate	AvatarZoom	Reward	RewardShow	WeekReward	RecScoreID
1	1256	1	LostTowerName001	LostTowerDEC001	monster36900300	0,0,0,0	0.890000	item4116,1;item106210600001,1;item171002010001,2;item171002000001,2	item4116,1;item106210600001,1;item171002010001,2;item171002000001,2	item171002010001,5;item171002010002,1;item171002000001,1	201
2	1257	2	LostTowerName002	LostTowerDEC002	monster36900302	0,0,0,0	1.130000	item4116,1;item106210600001,1;item171002010001,2;item171002000001,2	item4116,1;item106210600001,1;item171002010001,2;item171002000001,2	item171002010001,6;item171002010002,2;item171002000001,2	202
3	1258	3	LostTowerName003	LostTowerDEC003	monster36900315	0,0,0,0	1.060000	item4116,1;item106210600001,1;item171002010001,2;item171002000001,2	item4116,1;item106210600001,1;item171002010001,2;item171002000001,2	item171002010001,7;item171002010002,3;item171002000001,3	203
4	1259	4	LostTowerName004	LostTowerDEC004	monster36900322	0,0,0,0	0.420000	item4116,1;item106210600001,1;item171002010001,2;item171002000001,2	item4116,1;item106210600001,1;item171002010001,2;item171002000001,2	item171002010001,8;item171002010002,3;item171002000001,4;item171002000002,1	204
5	1260	5	LostTowerName005	LostTowerDEC005	monster36900308	0,0,0,0	0.880000	item4116,1;item106210600001,2;item171002010001,3;item171002010002,1;item171002000001,2	item4116,1;item106210600001,2;item171002010001,3;item171002010002,1;item171002000001,2	item171002010001,9;item171002010002,3;item171002000001,5;item171002000002,1	205
6	1261	6	LostTowerName006	LostTowerDEC006	monster36900316	-0.26,-0.02,0,0	0.640000	item4116,1;item106210600001,2;item171002010001,3;item171002010002,1;item171002000001,2	item4116,1;item106210600001,2;item171002010001,3;item171002010002,1;item171002000001,2	item171002010001,10;item171002010002,4;item171002000001,6;item171002000002,1	206
7	1262	7	LostTowerName007	LostTowerDEC007	monster36900301	0,0,0,0	0.670000	item4116,1;item106210600002,1;item171002010001,3;item171002010002,1;item171002000001,2	item4116,1;item106210600002,1;item171002010001,3;item171002010002,1;item171002000001,2	item171002010001,10;item171002010002,4;item171002000001,7;item171002000002,2	207
8	1263	8	LostTowerName008	LostTowerDEC008	monster36900321	0,0,0,0	0.320000	item4116,1;item106210600002,1;item171002010001,3;item171002010002,1;item171002000001,2	item4116,1;item106210600002,1;item171002010001,3;item171002010002,1;item171002000001,2	item171002010001,10;item171002010002,5;item171002000001,8;item171002000002,2	208
9	1264	9	LostTowerName009	LostTowerDEC009	monster36900310	0,0,0,0	1.060000	item4116,1;item106210600002,1;item171002010001,4;item171002010002,1;item171002000001,3	item4116,1;item106210600002,1;item171002010001,4;item171002010002,1;item171002000001,3	item171002010001,10;item171002010002,5;item171002000001,9;item171002000002,2	209
10	1265	10	LostTowerName010	LostTowerDEC010	monster36900311	0,0,0,0	0.890000	item4116,1;item106210600002,1;item171002010001,4;item171002010002,1;item171002000001,3	item4116,1;item106210600002,1;item171002010001,4;item171002010002,1;item171002000001,3	item171002010001,10;item171002010002,5;item171002000001,10;item171002000002,3	210
11	1266	11	LostTowerName011	LostTowerDEC011	monster36900302	0,0,0,0	1.130000	item4116,1;item106210600002,2;item171002010001,4;item171002010002,1;item171002000001,4	item4116,1;item106210600002,2;item171002010001,4;item171002010002,1;item171002000001,4	item171002010001,15;item171002010002,8;item171002000001,15;item171002000002,3	211
12	1267	12	LostTowerName012	LostTowerDEC012	monster36900323	0,0,0,0	0.420000	item4116,1;item106210600002,2;item171002010001,4;item171002010002,1;item171002000001,4	item4116,1;item106210600002,2;item171002010001,4;item171002010002,1;item171002000001,4	item171002010001,15;item171002010002,10;item171002000001,20;item171002000002,3	212
