故事ID	故事名字语言包	故事内容	遗物ID	解锁等级（遗物等级）	解锁奖励
int	string	string	int	int	string
StoryId	StoryName	StoryLang	RelicId	UlockLv	StoryReward
200101	RelicStoryName200101	RelicStoryLang200101	2001	1	item1014,2
200102	RelicStoryName200102	RelicStoryLang200102	2001	8	item1014,3
200103	RelicStoryName200103	RelicStoryLang200103	2001	15	item1014,4
200201	RelicStoryName200201	RelicStoryLang200201	2002	1	item1014,2
200202	RelicStoryName200202	RelicStoryLang200202	2002	8	item1014,3
200203	RelicStoryName200203	RelicStoryLang200203	2002	15	item1014,4
200301	RelicStoryName200301	RelicStoryLang200301	2003	1	item1014,2
200302	RelicStoryName200302	RelicStoryLang200302	2003	8	item1014,3
200303	RelicStoryName200303	RelicStoryLang200303	2003	15	item1014,4
200401	RelicStoryName200401	RelicStoryLang200401	2004	1	item1014,2
200402	RelicStoryName200402	RelicStoryLang200402	2004	8	item1014,3
200403	RelicStoryName200403	RelicStoryLang200403	2004	15	item1014,4
200501	RelicStoryName200501	RelicStoryLang200501	2005	1	item1014,2
200502	RelicStoryName200502	RelicStoryLang200502	2005	8	item1014,3
200503	RelicStoryName200503	RelicStoryLang200503	2005	15	item1014,4
200601	RelicStoryName200601	RelicStoryLang200601	2006	1	item1014,2
200602	RelicStoryName200602	RelicStoryLang200602	2006	8	item1014,3
200603	RelicStoryName200603	RelicStoryLang200603	2006	15	item1014,4
200701	RelicStoryName200701	RelicStoryLang200701	2007	1	item1014,2
200702	RelicStoryName200702	RelicStoryLang200702	2007	8	item1014,3
200703	RelicStoryName200703	RelicStoryLang200703	2007	15	item1014,4
200801	RelicStoryName200801	RelicStoryLang200801	2008	1	item1014,2
200802	RelicStoryName200802	RelicStoryLang200802	2008	8	item1014,3
200803	RelicStoryName200803	RelicStoryLang200803	2008	15	item1014,4
200901	RelicStoryName200901	RelicStoryLang200901	2009	1	item1014,2
200902	RelicStoryName200902	RelicStoryLang200902	2009	8	item1014,3
200903	RelicStoryName200903	RelicStoryLang200903	2009	15	item1014,4
201001	RelicStoryName201001	RelicStoryLang201001	2010	1	item1014,2
201002	RelicStoryName201002	RelicStoryLang201002	2010	8	item1014,3
201003	RelicStoryName201003	RelicStoryLang201003	2010	15	item1014,4
201101	RelicStoryName201101	RelicStoryLang201101	2011	1	item1014,2
201102	RelicStoryName201102	RelicStoryLang201102	2011	8	item1014,3
201103	RelicStoryName201103	RelicStoryLang201103	2011	15	item1014,4
201201	RelicStoryName201201	RelicStoryLang201201	2012	1	item1014,2
