流水ID	奖励ID
int	int
Id	RewardId
1	101
2	101
3	101
4	101
5	101
6	101
7	101
8	101
9	201
10	201
11	201
12	201
13	201
14	201
15	201
16	101
17	101
18	101
19	101
20	101
21	101
22	101
23	101
24	101
25	101
26	101
27	201
28	201
29	201
30	201
31	201
32	201
33	201
34	201
35	201
36	201
37	201
38	101
39	101
40	101
41	101
42	101
43	101
44	101
45	201
46	201
47	201
48	201
49	201
50	201
51	201
52	101
53	101
54	101
55	101
56	101
57	101
58	101
59	101
60	201
61	201
62	201
63	201
64	201
65	201
66	201
67	201
68	201
69	201
70	201
71	101
72	101
73	101
74	101
75	101
76	101
77	101
78	101
79	201
80	201
81	201
82	201
83	201
84	201
85	201
86	201
87	201
88	201
89	201
90	101
91	101
92	101
93	101
94	101
95	101
96	101
97	101
98	101
99	201
100	201
101	201
102	201
103	201
104	201
105	201
106	201
107	201
108	201
109	201
110	101
111	101
112	101
113	101
114	101
115	101
116	101
117	101
118	101
119	101
120	101
121	201
122	201
123	201
124	201
125	201
126	201
127	201
128	201
129	201
130	201
131	201
132	101
133	101
134	101
135	101
136	101
137	101
138	101
139	101
140	101
141	101
142	101
143	101
144	101
145	101
146	101
147	101
148	101
149	101
150	101
151	101
152	101
153	101
154	101
155	101
156	201
157	201
158	201
159	201
160	201
161	201
162	201
163	201
164	201
165	201
166	201
167	201
168	201
169	201
170	201
171	201
172	201
173	201
174	201
175	201
176	201
177	201
178	201
179	201
180	201
181	201
182	201
183	201
184	201
185	201
186	201
187	1011
188	1011
189	1011
190	1011
191	1011
192	1011
193	2011
194	2011
195	2011
196	2011
197	2011
198	1011
199	1011
200	1011
201	1011
202	1011
203	1011
204	1011
205	1011
206	1011
207	1011
208	1011
209	2011
210	2011
211	2011
212	2011
213	2011
214	2011
215	2011
216	2011
217	2011
218	2011
219	2011
220	1011
221	1011
222	1011
223	1011
224	1011
225	1011
226	1011
227	2011
228	2011
229	2011
230	2011
231	2011
232	2011
233	2011
234	1011
235	1011
236	1011
237	1011
238	1011
239	1011
240	1011
241	1011
242	2011
243	2011
244	2011
245	2011
246	2011
247	2011
248	2011
249	2011
250	2011
251	2011
252	2011
253	1011
254	1011
255	1011
256	1011
257	1011
258	1011
259	1011
260	1011
261	2011
262	2011
263	2011
264	2011
265	2011
266	2011
267	2011
268	2011
269	2011
270	2011
271	2011
272	1011
273	1011
274	1011
275	1011
276	1011
277	1011
278	1011
279	1011
280	1011
281	2011
282	2011
283	2011
284	2011
285	2011
286	2011
287	2011
288	2011
289	2011
290	2011
291	2011
292	1011
293	1011
294	1011
295	1011
296	1011
297	1011
298	1011
299	1011
300	1011
301	1011
302	1011
303	2011
304	2011
305	2011
306	2011
307	2011
308	2011
309	2011
310	2011
311	2011
312	2011
313	2011
314	1011
315	1011
316	1011
317	1011
318	1011
319	1011
320	1011
321	1011
322	1011
323	1011
324	1011
325	1011
326	1011
327	1011
328	1011
329	1011
330	1011
331	1011
332	1011
333	1011
334	1011
335	1011
336	1011
337	1011
338	2011
339	2011
340	2011
341	2011
342	2011
343	2011
344	2011
345	2011
346	2011
347	2011
348	2011
349	2011
350	2011
351	2011
352	2011
353	2011
354	2011
355	2011
356	2011
357	2011
358	2011
359	2011
360	2011
