流水	当前职业宝石ID	全能战士宝石ID	符文法师宝石ID	精灵射手宝石ID	神圣祭司宝石ID	暗影刺客宝石ID	玫瑰骑士宝石ID
int	int	int	int	int	int	int	int
Id	CurrentGemId	TargetGemId1	TargetGemId2	TargetGemId3	TargetGemId4	TargetGemId5	TargetGemId6
1	20101001	20101001	20201001	20301001	20401001	20501001	20601001
2	20102001	20102001	20202001	20302001	20402001	20502001	20602001
3	20103001	20103001	20203001	20303001	20403001	20503001	20603001
4	20104001	20104001	20204001	20304001	20404001	20504001	20604001
5	20105001	20105001	20205001	20305001	20405001	20505001	20605001
6	20106001	20106001	20206001	20306001	20406001	20506001	20606001
7	20107001	20107001	20207001	20307001	20407001	20507001	20607001
8	20108001	20108001	20208001	20308001	20408001	20508001	20608001
9	30101001	30101001	30201001	30301001	30401001	30501001	30601001
10	30102001	30102001	30202001	30302001	30402001	30502001	30602001
11	30103001	30103001	30203001	30303001	30403001	30503001	30603001
12	30104001	30104001	30204001	30304001	30404001	30504001	30604001
13	30105001	30105001	30205001	30305001	30405001	30505001	30605001
14	30106001	30106001	30206001	30306001	30406001	30506001	30606001
15	30107001	30107001	30207001	30307001	30407001	30507001	30607001
16	30108001	30108001	30208001	30308001	30408001	30508001	30608001
17	40101001	40101001	40201001	40301001	40401001	40501001	40601001
18	40102001	40102001	40202001	40302001	40402001	40502001	40602001
19	40103001	40103001	40203001	40303001	40403001	40503001	40603001
20	40104001	40104001	40204001	40304001	40404001	40504001	40604001
21	40105001	40105001	40205001	40305001	40405001	40505001	40605001
22	40106001	40106001	40206001	40306001	40406001	40506001	40606001
23	40107001	40107001	40207001	40307001	40407001	40507001	40607001
24	40108001	40108001	40208001	40308001	40408001	40508001	40608001
25	50101001	50101001	50201001	50301001	50401001	50501001	50601001
26	50102001	50102001	50202001	50302001	50402001	50502001	50602001
27	50103001	50103001	50203001	50303001	50403001	50503001	50603001
28	50104001	50104001	50204001	50304001	50404001	50504001	50604001
29	50105001	50105001	50205001	50305001	50405001	50505001	50605001
30	50106001	50106001	50206001	50306001	50406001	50506001	50606001
31	50107001	50107001	50207001	50307001	50407001	50507001	50607001
32	50108001	50108001	50208001	50308001	50408001	50508001	50608001
33	20201001	20101001	20201001	20301001	20401001	20501001	20601001
34	20202001	20102001	20202001	20302001	20402001	20502001	20602001
35	20203001	20103001	20203001	20303001	20403001	20503001	20603001
36	20204001	20104001	20204001	20304001	20404001	20504001	20604001
37	20205001	20105001	20205001	20305001	20405001	20505001	20605001
38	20206001	20106001	20206001	20306001	20406001	20506001	20606001
39	20207001	20107001	20207001	20307001	20407001	20507001	20607001
40	20208001	20108001	20208001	20308001	20408001	20508001	20608001
41	30201001	30101001	30201001	30301001	30401001	30501001	30601001
42	30202001	30102001	30202001	30302001	30402001	30502001	30602001
43	30203001	30103001	30203001	30303001	30403001	30503001	30603001
44	30204001	30104001	30204001	30304001	30404001	30504001	30604001
45	30205001	30105001	30205001	30305001	30405001	30505001	30605001
46	30206001	30106001	30206001	30306001	30406001	30506001	30606001
47	30207001	30107001	30207001	30307001	30407001	30507001	30607001
48	30208001	30108001	30208001	30308001	30408001	30508001	30608001
49	40201001	40101001	40201001	40301001	40401001	40501001	40601001
50	40202001	40102001	40202001	40302001	40402001	40502001	40602001
51	40203001	40103001	40203001	40303001	40403001	40503001	40603001
52	40204001	40104001	40204001	40304001	40404001	40504001	40604001
53	40205001	40105001	40205001	40305001	40405001	40505001	40605001
54	40206001	40106001	40206001	40306001	40406001	40506001	40606001
55	40207001	40107001	40207001	40307001	40407001	40507001	40607001
56	40208001	40108001	40208001	40308001	40408001	40508001	40608001
57	50201001	50101001	50201001	50301001	50401001	50501001	50601001
58	50202001	50102001	50202001	50302001	50402001	50502001	50602001
59	50203001	50103001	50203001	50303001	50403001	50503001	50603001
60	50204001	50104001	50204001	50304001	50404001	50504001	50604001
61	50205001	50105001	50205001	50305001	50405001	50505001	50605001
62	50206001	50106001	50206001	50306001	50406001	50506001	50606001
63	50207001	50107001	50207001	50307001	50407001	50507001	50607001
64	50208001	50108001	50208001	50308001	50408001	50508001	50608001
65	20301001	20101001	20201001	20301001	20401001	20501001	20601001
66	20302001	20102001	20202001	20302001	20402001	20502001	20602001
67	20303001	20103001	20203001	20303001	20403001	20503001	20603001
68	20304001	20104001	20204001	20304001	20404001	20504001	20604001
69	20305001	20105001	20205001	20305001	20405001	20505001	20605001
70	20306001	20106001	20206001	20306001	20406001	20506001	20606001
71	20307001	20107001	20207001	20307001	20407001	20507001	20607001
72	20308001	20108001	20208001	20308001	20408001	20508001	20608001
73	30301001	30101001	30201001	30301001	30401001	30501001	30601001
74	30302001	30102001	30202001	30302001	30402001	30502001	30602001
75	30303001	30103001	30203001	30303001	30403001	30503001	30603001
76	30304001	30104001	30204001	30304001	30404001	30504001	30604001
77	30305001	30105001	30205001	30305001	30405001	30505001	30605001
78	30306001	30106001	30206001	30306001	30406001	30506001	30606001
79	30307001	30107001	30207001	30307001	30407001	30507001	30607001
80	30308001	30108001	30208001	30308001	30408001	30508001	30608001
81	40301001	40101001	40201001	40301001	40401001	40501001	40601001
82	40302001	40102001	40202001	40302001	40402001	40502001	40602001
83	40303001	40103001	40203001	40303001	40403001	40503001	40603001
84	40304001	40104001	40204001	40304001	40404001	40504001	40604001
85	40305001	40105001	40205001	40305001	40405001	40505001	40605001
86	40306001	40106001	40206001	40306001	40406001	40506001	40606001
87	40307001	40107001	40207001	40307001	40407001	40507001	40607001
88	40308001	40108001	40208001	40308001	40408001	40508001	40608001
89	50301001	50101001	50201001	50301001	50401001	50501001	50601001
90	50302001	50102001	50202001	50302001	50402001	50502001	50602001
91	50303001	50103001	50203001	50303001	50403001	50503001	50603001
92	50304001	50104001	50204001	50304001	50404001	50504001	50604001
93	50305001	50105001	50205001	50305001	50405001	50505001	50605001
94	50306001	50106001	50206001	50306001	50406001	50506001	50606001
95	50307001	50107001	50207001	50307001	50407001	50507001	50607001
96	50308001	50108001	50208001	50308001	50408001	50508001	50608001
97	20401001	20101001	20201001	20301001	20401001	20501001	20601001
98	20402001	20102001	20202001	20302001	20402001	20502001	20602001
99	20403001	20103001	20203001	20303001	20403001	20503001	20603001
100	20404001	20104001	20204001	20304001	20404001	20504001	20604001
101	20405001	20105001	20205001	20305001	20405001	20505001	20605001
102	20406001	20106001	20206001	20306001	20406001	20506001	20606001
103	20407001	20107001	20207001	20307001	20407001	20507001	20607001
104	20408001	20108001	20208001	20308001	20408001	20508001	20608001
105	30401001	30101001	30201001	30301001	30401001	30501001	30601001
106	30402001	30102001	30202001	30302001	30402001	30502001	30602001
107	30403001	30103001	30203001	30303001	30403001	30503001	30603001
108	30404001	30104001	30204001	30304001	30404001	30504001	30604001
109	30405001	30105001	30205001	30305001	30405001	30505001	30605001
110	30406001	30106001	30206001	30306001	30406001	30506001	30606001
111	30407001	30107001	30207001	30307001	30407001	30507001	30607001
112	30408001	30108001	30208001	30308001	30408001	30508001	30608001
113	40401001	40101001	40201001	40301001	40401001	40501001	40601001
114	40402001	40102001	40202001	40302001	40402001	40502001	40602001
115	40403001	40103001	40203001	40303001	40403001	40503001	40603001
116	40404001	40104001	40204001	40304001	40404001	40504001	40604001
117	40405001	40105001	40205001	40305001	40405001	40505001	40605001
118	40406001	40106001	40206001	40306001	40406001	40506001	40606001
119	40407001	40107001	40207001	40307001	40407001	40507001	40607001
120	40408001	40108001	40208001	40308001	40408001	40508001	40608001
121	50401001	50101001	50201001	50301001	50401001	50501001	50601001
122	50402001	50102001	50202001	50302001	50402001	50502001	50602001
123	50403001	50103001	50203001	50303001	50403001	50503001	50603001
124	50404001	50104001	50204001	50304001	50404001	50504001	50604001
125	50405001	50105001	50205001	50305001	50405001	50505001	50605001
126	50406001	50106001	50206001	50306001	50406001	50506001	50606001
127	50407001	50107001	50207001	50307001	50407001	50507001	50607001
128	50408001	50108001	50208001	50308001	50408001	50508001	50608001
129	20501001	20101001	20201001	20301001	20401001	20501001	20601001
130	20502001	20102001	20202001	20302001	20402001	20502001	20602001
131	20503001	20103001	20203001	20303001	20403001	20503001	20603001
132	20504001	20104001	20204001	20304001	20404001	20504001	20604001
133	20505001	20105001	20205001	20305001	20405001	20505001	20605001
134	20506001	20106001	20206001	20306001	20406001	20506001	20606001
135	20507001	20107001	20207001	20307001	20407001	20507001	20607001
136	20508001	20108001	20208001	20308001	20408001	20508001	20608001
137	30501001	30101001	30201001	30301001	30401001	30501001	30601001
138	30502001	30102001	30202001	30302001	30402001	30502001	30602001
139	30503001	30103001	30203001	30303001	30403001	30503001	30603001
140	30504001	30104001	30204001	30304001	30404001	30504001	30604001
141	30505001	30105001	30205001	30305001	30405001	30505001	30605001
142	30506001	30106001	30206001	30306001	30406001	30506001	30606001
143	30507001	30107001	30207001	30307001	30407001	30507001	30607001
144	30508001	30108001	30208001	30308001	30408001	30508001	30608001
145	40501001	40101001	40201001	40301001	40401001	40501001	40601001
146	40502001	40102001	40202001	40302001	40402001	40502001	40602001
147	40503001	40103001	40203001	40303001	40403001	40503001	40603001
148	40504001	40104001	40204001	40304001	40404001	40504001	40604001
149	40505001	40105001	40205001	40305001	40405001	40505001	40605001
150	40506001	40106001	40206001	40306001	40406001	40506001	40606001
151	40507001	40107001	40207001	40307001	40407001	40507001	40607001
152	40508001	40108001	40208001	40308001	40408001	40508001	40608001
153	50501001	50101001	50201001	50301001	50401001	50501001	50601001
154	50502001	50102001	50202001	50302001	50402001	50502001	50602001
155	50503001	50103001	50203001	50303001	50403001	50503001	50603001
156	50504001	50104001	50204001	50304001	50404001	50504001	50604001
157	50505001	50105001	50205001	50305001	50405001	50505001	50605001
158	50506001	50106001	50206001	50306001	50406001	50506001	50606001
159	50507001	50107001	50207001	50307001	50407001	50507001	50607001
