流水	类型	排名	奖励id
int	int	int	string
Id	Type	Rank	Reward
1	1	1	item141000000001,1
2	1	2	item141000000002,1
3	1	3	item141000000003,1
4	2	1	item141000000004,1
5	2	2	item141000000005,1
6	2	3	item141000000006,1
7	11	1	item141000000007,1
8	11	2	item141000000008,1
9	11	3	item141000000009,1
10	12	1	item141000000010,1
11	12	2	item141000000011,1
12	12	3	item141000000012,1
13	13	1	item141000000013,1
14	13	2	item141000000014,1
15	13	3	item141000000015,1
16	14	1	item141000000016,1
17	14	2	item141000000017,1
18	14	3	item141000000018,1
19	15	1	item141000000019,1
20	15	2	item141000000020,1
21	15	3	item141000000021,1
22	16	1	item141000000097,1
23	16	2	item141000000098,1
24	16	3	item141000000099,1
25	100	1	item141000000022,1
26	100	2	item141000000023,1
27	100	3	item141000000024,1
28	101	1	item141000000025,1
29	101	2	item141000000026,1
30	101	3	item141000000027,1
31	103	1	item141000000031,1
32	103	2	item141000000032,1
33	103	3	item141000000033,1
34	104	1	item141000000087,1
35	104	2	item141000000088,1
36	104	3	item141000000089,1
37	105	1	item141000000102,1
38	105	2	item141000000103,1
39	105	3	item141000000104,1
40	106	1	item141000000106,1
41	106	2	item141000000107,1
42	106	3	item141000000108,1
43	107	1	item141000000109,1
44	107	2	item141000000110,1
45	107	3	item141000000111,1
46	108	1	item141000000112,1
47	108	2	item141000000113,1
48	108	3	item141000000114,1
49	109	1	item141000000115,1
50	109	2	item141000000116,1
51	109	3	item141000000117,1
52	110	1	item141000000187,1
53	110	2	item141000000188,1
54	110	3	item141000000189,1
55	111	1	item141000000043,1
56	111	2	item141000000044,1
57	111	3	item141000000045,1
58	520	1	item141000000206,1
59	520	2	item141000000207,1
60	520	3	item141000000208,1
61	521	1	item102020060004,1
62	521	2	item102020060005,1
63	521	3	item102020060006,1
64	522	1	item141000002105,1
65	522	2	item141000002106,1
66	522	3	item141000002107,1
67	523	1	item141000002108,1
68	523	2	item141000002109,1
69	523	3	item141000002110,1
70	524	1	item141000002111,1
71	524	2	item141000002112,1
72	524	3	item141000002113,1
73	525	1	item141000002114,1
74	525	2	item141000002115,1
75	525	3	item141000002116,1
76	526	1	item141000002117,1
77	526	2	item141000002118,1
78	526	3	item141000002119,1
79	302	1	item141000000259,1
80	302	2	item141000000260,1
81	302	3	item141000000261,1
82	303	1	item90000000196,8
83	303	2	item90000000196,6
84	303	3	item90000000196,4
85	303	4	item90000000196,2
86	303	5	item90000000196,2
87	303	6	item90000000196,2
88	303	7	item90000000196,2
89	303	8	item90000000196,2
90	303	9	item90000000196,2
91	303	10	item90000000196,2
