流水	中奖图标	图片所在角度
int	string	int
Id	Icon	IconAngle
1	icon_luckysix_01	135
2	icon_luckysix_02	90
3	icon_luckysix_03	45
4	icon_luckysix_04	360
5	icon_luckysix_05	315
6	icon_luckysix_06	270
7	icon_luckysix_07	225
8	icon_luckysix_08	180
9	icon_luckysix_09	270
10	icon_luckysix_10	225
11	icon_luckysix_03	180
12	icon_luckysix_04	135
13	icon_luckysix_05	90
14	icon_luckysix_11	45
15	icon_luckysix_07	360
16	icon_luckysix_12	315
17	icon_luckysix_09	270
18	icon_luckysix_10	225
19	icon_luckysix_03	180
20	icon_luckysix_04	135
21	icon_luckysix_05	90
22	icon_luckysix_11	45
23	icon_luckysix_07	360
24	icon_luckysix_12	315
25	icon_luckysix_09	270
26	icon_luckysix_10	225
27	icon_luckysix_03	180
28	icon_luckysix_04	135
29	icon_luckysix_05	90
30	icon_luckysix_11	45
31	icon_luckysix_07	360
32	icon_luckysix_12	315
33	icon_luckysix_09	135
34	icon_luckysix_10	90
35	icon_luckysix_03	45
36	icon_luckysix_04	360
37	icon_luckysix_05	315
38	icon_luckysix_11	270
39	icon_luckysix_13	225
40	icon_luckysix_12	180
41	icon_luckysix_09	135
42	icon_luckysix_10	90
43	icon_luckysix_03	45
44	icon_luckysix_04	360
45	icon_luckysix_05	315
46	icon_luckysix_11	270
47	icon_luckysix_13	225
48	icon_luckysix_12	180
49	icon_luckysix_09	270
50	icon_luckysix_10	225
51	icon_luckysix_03	180
52	icon_luckysix_04	135
53	icon_luckysix_05	90
54	icon_luckysix_11	45
55	icon_luckysix_07	360
56	icon_luckysix_12	315
57	icon_luckysix_09	270
58	icon_luckysix_10	225
59	icon_luckysix_03	180
60	icon_luckysix_04	135
61	icon_luckysix_05	90
62	icon_luckysix_11	45
63	icon_luckysix_07	360
64	icon_luckysix_12	315
65	icon_luckysix_09	270
66	icon_luckysix_10	225
67	icon_luckysix_03	180
68	icon_luckysix_04	135
69	icon_luckysix_05	90
70	icon_luckysix_11	45
71	icon_luckysix_07	360
72	icon_luckysix_12	315
73	icon_luckysix_09	270
74	icon_luckysix_10	225
75	icon_luckysix_03	180
76	icon_luckysix_04	135
77	icon_luckysix_05	90
78	icon_luckysix_11	45
79	icon_luckysix_07	360
80	icon_luckysix_12	315
81	icon_luckysix_09	270
82	icon_luckysix_10	225
83	icon_luckysix_03	180
84	icon_luckysix_04	135
85	icon_luckysix_05	90
86	icon_luckysix_11	45
87	icon_luckysix_07	360
88	icon_luckysix_12	315
89	icon_luckysix_09	270
90	icon_luckysix_10	225
91	icon_luckysix_03	180
92	icon_luckysix_04	135
93	icon_luckysix_05	90
94	icon_luckysix_11	45
95	icon_luckysix_07	360
96	icon_luckysix_12	315
97	icon_luckysix_09	270
98	icon_luckysix_10	225
99	icon_luckysix_03	180
100	icon_luckysix_04	135
101	icon_luckysix_05	90
102	icon_luckysix_11	45
103	icon_luckysix_07	360
104	icon_luckysix_12	315
105	icon_luckysix_09	270
106	icon_luckysix_10	225
107	icon_luckysix_03	180
108	icon_luckysix_04	135
109	icon_luckysix_05	90
110	icon_luckysix_11	45
111	icon_luckysix_07	360
112	icon_luckysix_12	315
113	icon_luckysix_09	270
114	icon_luckysix_10	225
115	icon_luckysix_03	180
116	icon_luckysix_04	135
117	icon_luckysix_05	90
118	icon_luckysix_11	45
119	icon_luckysix_07	360
120	icon_luckysix_12	315
121	icon_luckysix_09	270
122	icon_luckysix_10	225
123	icon_luckysix_03	180
124	icon_luckysix_04	135
125	icon_luckysix_05	90
126	icon_luckysix_11	45
127	icon_luckysix_07	360
128	icon_luckysix_12	315
129	icon_luckysix_09	270
130	icon_luckysix_10	225
131	icon_luckysix_03	180
132	icon_luckysix_04	135
133	icon_luckysix_05	90
134	icon_luckysix_11	45
135	icon_luckysix_07	360
136	icon_luckysix_12	315
137	icon_luckysix_09	270
138	icon_luckysix_10	225
139	icon_luckysix_03	180
140	icon_luckysix_04	135
141	icon_luckysix_05	90
142	icon_luckysix_11	45
143	icon_luckysix_07	360
144	icon_luckysix_12	315
145	icon_luckysix_09	270
146	icon_luckysix_10	225
147	icon_luckysix_03	180
148	icon_luckysix_04	135
149	icon_luckysix_05	90
150	icon_luckysix_11	45
151	icon_luckysix_07	360
152	icon_luckysix_12	315
153	icon_luckysix_09	270
154	icon_luckysix_10	225
155	icon_luckysix_03	180
156	icon_luckysix_04	135
157	icon_luckysix_05	90
158	icon_luckysix_11	45
159	icon_luckysix_07	360
160	icon_luckysix_12	315
161	icon_luckysix_09	270
162	icon_luckysix_10	225
163	icon_luckysix_03	180
164	icon_luckysix_04	135
165	icon_luckysix_05	90
166	icon_luckysix_11	45
167	icon_luckysix_07	360
168	icon_luckysix_12	315
169	icon_luckysix_09	270
170	icon_luckysix_10	225
171	icon_luckysix_03	180
172	icon_luckysix_04	135
173	icon_luckysix_05	90
174	icon_luckysix_11	45
175	icon_luckysix_07	360
176	icon_luckysix_12	315
177	icon_luckysix_09	270
178	icon_luckysix_10	225
179	icon_luckysix_03	180
180	icon_luckysix_04	135
181	icon_luckysix_05	90
182	icon_luckysix_11	45
183	icon_luckysix_07	360
184	icon_luckysix_12	315
185	icon_luckysix_09	270
186	icon_luckysix_10	225
187	icon_luckysix_03	180
188	icon_luckysix_04	135
189	icon_luckysix_05	90
190	icon_luckysix_11	45
191	icon_luckysix_07	360
192	icon_luckysix_12	315
193	icon_luckysix_09	270
194	icon_luckysix_10	225
195	icon_luckysix_03	180
196	icon_luckysix_04	135
197	icon_luckysix_05	90
198	icon_luckysix_11	45
199	icon_luckysix_07	360
200	icon_luckysix_12	315
201	icon_luckysix_09	270
202	icon_luckysix_10	225
203	icon_luckysix_03	180
204	icon_luckysix_04	135
205	icon_luckysix_05	90
206	icon_luckysix_11	45
207	icon_luckysix_07	360
208	icon_luckysix_12	315
209	icon_luckysix_09	270
210	icon_luckysix_10	225
211	icon_luckysix_03	180
212	icon_luckysix_04	135
213	icon_luckysix_05	90
214	icon_luckysix_11	45
215	icon_luckysix_07	360
216	icon_luckysix_12	315
217	icon_luckysix_09	270
218	icon_luckysix_10	225
219	icon_luckysix_03	180
220	icon_luckysix_04	135
221	icon_luckysix_05	90
222	icon_luckysix_11	45
223	icon_luckysix_07	360
224	icon_luckysix_12	315
225	icon_luckysix_09	270
226	icon_luckysix_10	225
227	icon_luckysix_03	180
228	icon_luckysix_04	135
229	icon_luckysix_05	90
230	icon_luckysix_11	45
231	icon_luckysix_07	360
232	icon_luckysix_12	315
233	icon_luckysix_09	270
234	icon_luckysix_10	225
235	icon_luckysix_03	180
236	icon_luckysix_04	135
237	icon_luckysix_05	90
238	icon_luckysix_11	45
239	icon_luckysix_07	360
240	icon_luckysix_12	315
241	icon_luckysix_09	270
242	icon_luckysix_10	225
243	icon_luckysix_03	180
244	icon_luckysix_04	135
245	icon_luckysix_05	90
246	icon_luckysix_11	45
247	icon_luckysix_07	360
248	icon_luckysix_12	315
249	icon_luckysix_09	270
250	icon_luckysix_10	225
251	icon_luckysix_03	180
252	icon_luckysix_04	135
253	icon_luckysix_05	90
254	icon_luckysix_11	45
255	icon_luckysix_07	360
256	icon_luckysix_12	315
257	icon_luckysix_09	270
258	icon_luckysix_10	225
259	icon_luckysix_03	180
260	icon_luckysix_04	135
261	icon_luckysix_05	90
262	icon_luckysix_11	45
263	icon_luckysix_07	360
