任务序号	任务标题	子任务列表	子任务位置	奖励	奖励特效	显示NPC	模型展示缩放	模型展示位置偏移	旋转
int	string	string	string	string	string	string	float	vector3	vector3
Id	TaskTitle	SubTaskID	SubTaskPos	reward	rewardEffect	NPCID	ShowZoom	ShowPos	ShowAngle
1	GrowTaskTitle001	6001001;6001002;6001003	999.0,1001.1,100.0;1002.3,1000.6,100.0;999.8,999.2,100.0	item1000,100000;item107999900001,5;item100200000101,2	41100023,41100023,41100023		0.000000		
2	GrowTaskTitle002	6002001;6002002;6002003;6002004	998.9,1001.0,100.0;1002.0,1001.1,100.0;999.2,999.1,100.0;1002.2,999.2,100.0	item1000,100000;item107999900001,5;item100200000301,2	41100023,41100023,41100023		0.000000		
3	GrowTaskTitle003	6003001;6003002;6003003;6003004	998.9,1001.0,100.0;1002.0,1001.1,100.0;999.2,999.1,100.0;1002.2,999.2,100.0	item1000,100000;item105000000030,6;item100200000401,2	41100023,41100023,41100023		0.000000		
4	GrowTaskTitle004	6004001;6004002;6004003;6004004	998.9,1001.0,100.0;1002.0,1001.1,100.0;999.2,999.1,100.0;1002.2,999.2,100.0	item1000,100000;item105000000029,1;item100200000501,2	41100023,41100023,41100023		0.000000		
5	GrowTaskTitle005	6005001;6005002;6005003	999.0,1001.1,100.0;1002.3,1000.6,100.0;999.8,999.2,100.0	item1000,100000;item105000000030,6;item100200000601,2	41100023,41100023,41100023		0.000000		
6	GrowTaskTitle006	6006001;6006002;6006003	999.0,1001.1,100.0;1002.3,1000.6,100.0;999.8,999.2,100.0	item1000,100000;item105000000029,1;item100200000701,2	41100023,41100023,41100023		0.000000		
7	GrowTaskTitle007	6007001;6007002;6007003	999.0,1001.1,100.0;1002.3,1000.6,100.0;999.8,999.2,100.0	item1000,100000;item105000000030,6;item100200000801,2	41100023,41100023,41100023		0.000000		
8	GrowTaskTitle008	6008001;6008002;6008003	999.0,1001.1,100.0;1002.3,1000.6,100.0;999.8,999.2,100.0	item1000,100000;item105000000072,1;item100200000901,2	41100023,41100023,41100023		0.000000		
9	GrowTaskTitle009	6009001;6009002;6009003	999.0,1001.1,100.0;1002.3,1000.6,100.0;999.8,999.2,100.0	item1000,100000;item105000000031,6;item100200001001,2	41100023,41100023,41100023		0.000000		
10	GrowTaskTitle010	6010001;6010002;6010003	999.0,1001.1,100.0;1002.3,1000.6,100.0;999.8,999.2,100.0	item1000,200000;item105000000072,1;item100200000101,3	41100023,41100023,41100023		0.000000		
11	GrowTaskTitle011	6011001;6011002;6011003;6011004;6011005	998.7,1001.2,100.0;1002.5,1001.2,100.0;1000.6,1000.1,100.0;998.8,999.0,100.0;1002.7,999.0,100.0	item1000,200000;item105000000031,6;item100200000301,3	41100023,41100023,41100023		0.000000		
12	GrowTaskTitle012	6012001;6012002;6012003;6012004	998.9,1001.0,100.0;1002.0,1001.1,100.0;999.2,999.1,100.0;1002.2,999.2,100.0	item1000,200000;item105000000073,1;item100200000401,3	41100023,41100023,41100023		0.000000		
13	GrowTaskTitle013	6013001;6013002;6013003;6013004	998.9,1001.0,100.0;1002.0,1001.1,100.0;999.2,999.1,100.0;1002.2,999.2,100.0	item1000,200000;item107300000001,10;item100200000501,3	41100023,41100023,41100023		0.000000		
14	GrowTaskTitle014	6014001;6014002;6014003;6014004;6014005	998.7,1001.2,100.0;1002.5,1001.2,100.0;1000.6,1000.1,100.0;998.8,999.0,100.0;1002.7,999.0,100.0	item1000,200000;item103010131001,20;item100200000601,3	41100023,41100023,41100023		0.000000		
15	GrowTaskTitle015	6015001;6015002;6015003;6015004	998.9,1001.0,100.0;1002.0,1001.1,100.0;999.2,999.1,100.0;1002.2,999.2,100.0	item1000,200000;item107300000001,10;item100200000701,3	41100023,41100023,41100023		0.000000		
16	GrowTaskTitle016	6016001;6016002;6016003;6016004;6016005	998.7,1001.2,100.0;1002.5,1001.2,100.0;1000.6,1000.1,100.0;998.8,999.0,100.0;1002.7,999.0,100.0	item1000,200000;item103010131001,20;item100200000801,3	41100023,41100023,41100023		0.000000		
17	GrowTaskTitle017	6017001;6017002;6017003	999.0,1001.1,100.0;1002.3,1000.6,100.0;999.8,999.2,100.0	item1000,200000;item107300000001,10;item100200000901,3	41100023,41100023,41100023		0.000000		
18	GrowTaskTitle018	6018001;6018002;6018003;6018004	998.9,1001.0,100.0;1002.0,1001.1,100.0;999.2,999.1,100.0;1002.2,999.2,100.0	item1000,200000;item103010131001,20;item100200001001,3	41100023,41100023,41100023		0.000000		
19	GrowTaskTitle019	6019001;6019002;6019003;6019004	998.9,1001.0,100.0;1002.0,1001.1,100.0;999.2,999.1,100.0;1002.2,999.2,100.0	item1000,300000;item107300000001,10;item100200000101,5	41100023,41100023,41100023		0.000000		
20	GrowTaskTitle020	6020001;6020002;6020003;6020004;6020005	998.7,1001.2,100.0;1002.5,1001.2,100.0;1000.6,1000.1,100.0;998.8,999.0,100.0;1002.7,999.0,100.0	item1000,300000;item103010131001,20;item100200000301,5	41100023,41100023,41100023		0.000000		
21	GrowTaskTitle021	6021001;6021002;6021003;6021004	998.9,1001.0,100.0;1002.0,1001.1,100.0;999.2,999.1,100.0;1002.2,999.2,100.0	item1000,300000;item103010111017,20;item100200000401,5	41100023,41100023,41100023		0.000000		
22	GrowTaskTitle022	6022001;6022002;6022003	999.0,1001.1,100.0;1002.3,1000.6,100.0;999.8,999.2,100.0	item1000,300000;item200000800001,5;item100200000501,5	41100023,41100023,41100023		0.000000		
23	GrowTaskTitle023	6023001;6023002;6023003;6023004;6023005	998.7,1001.2,100.0;1002.5,1001.2,100.0;1000.6,1000.1,100.0;998.8,999.0,100.0;1002.7,999.0,100.0	item1000,300000;item103010111017,20;item100200000601,5	41100023,41100023,41100023		0.000000		
24	GrowTaskTitle024	6024001;6024002;6024003;6024004	998.9,1001.0,100.0;1002.0,1001.1,100.0;999.2,999.1,100.0;1002.2,999.2,100.0	item1000,300000;item200000800001,5;item100200000701,5	41100023,41100023,41100023		0.000000		
25	GrowTaskTitle025	6025001;6025002;6025003;6025004	998.9,1001.0,100.0;1002.0,1001.1,100.0;999.2,999.1,100.0;1002.2,999.2,100.0	item1000,300000;item103010111017,20;item100200000801,5	41100023,41100023,41100023		0.000000		
26	GrowTaskTitle026	6026001;6026002;6026003;6026004;6026005	998.7,1001.2,100.0;1002.5,1001.2,100.0;1000.6,1000.1,100.0;998.8,999.0,100.0;1002.7,999.0,100.0	item1000,300000;item200000800001,5;item100200000901,5	41100023,41100023,41100023		0.000000		
27	GrowTaskTitle027	6027001;6027002;6027003;6027004;6027005	998.7,1001.2,100.0;1002.5,1001.2,100.0;1000.6,1000.1,100.0;998.8,999.0,100.0;1002.7,999.0,100.0	item1000,300000;item103010111017,30;item100200001001,5	41100023,41100023,41100023		0.000000		
28	GrowTaskTitle028	6028001;6028002;6028003;6028004	998.9,1001.0,100.0;1002.0,1001.1,100.0;999.2,999.1,100.0;1002.2,999.2,100.0	item1000,400000;item200000800001,10;item100200000101,7	41100023,41100023,41100023		0.000000		
29	GrowTaskTitle029	6029001;6029002;6029003;6029004	998.9,1001.0,100.0;1002.0,1001.1,100.0;999.2,999.1,100.0;1002.2,999.2,100.0	item1000,400000;item103010111017,30;item100200000301,7	41100023,41100023,41100023		0.000000		
30	GrowTaskTitle030	6030001;6030002;6030003;6030004	998.9,1001.0,100.0;1002.0,1001.1,100.0;999.2,999.1,100.0;1002.2,999.2,100.0	item1000,400000;item200000800001,10;item100200000401,7	41100023,41100023,41100023		0.000000		
31	GrowTaskTitle031	6031001;6031002;6031003;6031004	998.9,1001.0,100.0;1002.0,1001.1,100.0;999.2,999.1,100.0;1002.2,999.2,100.0	item1000,400000;item103010111017,30;item100200000501,7	41100023,41100023,41100023		0.000000		
32	GrowTaskTitle032	6032001;6032002;6032003	999.0,1001.1,100.0;1002.3,1000.6,100.0;999.8,999.2,100.0	item1000,400000;item107300000002,10;item100200000601,7	41100023,41100023,41100023		0.000000		
33	GrowTaskTitle033	6033001;6033002;6033003	999.0,1001.1,100.0;1002.3,1000.6,100.0;999.8,999.2,100.0	item1000,400000;item200000800002,5;item100200000701,7	41100023,41100023,41100023		0.000000		
34	GrowTaskTitle034	6034001;6034002;6034003;6034004;6034005	998.7,1001.2,100.0;1002.5,1001.2,100.0;1000.6,1000.1,100.0;998.8,999.0,100.0;1002.7,999.0,100.0	item1000,400000;item107300000002,10;item100200000801,7	41100023,41100023,41100023		0.000000		
35	GrowTaskTitle035	6035001;6035002;6035003	999.0,1001.1,100.0;1002.3,1000.6,100.0;999.8,999.2,100.0	item1000,400000;item200000800002,5;item100200000901,7	41100023,41100023,41100023		0.000000		
36	GrowTaskTitle036	6036001;6036002;6036003;6036004	998.9,1001.0,100.0;1002.0,1001.1,100.0;999.2,999.1,100.0;1002.2,999.2,100.0	item1000,400000;item107300000002,10;item100200001001,7	41100023,41100023,41100023		0.000000		
37	GrowTaskTitle037	6037001;6037002;6037003;6037004;6037005	998.7,1001.2,100.0;1002.5,1001.2,100.0;1000.6,1000.1,100.0;998.8,999.0,100.0;1002.7,999.0,100.0	item1000,500000;item200000800002,5;item100200000101,10	41100023,41100023,41100023		0.000000		
38	GrowTaskTitle038	6038001;6038002;6038003;6038004;6038005	998.7,1001.2,100.0;1002.5,1001.2,100.0;1000.6,1000.1,100.0;998.8,999.0,100.0;1002.7,999.0,100.0	item1000,500000;item107300000002,20;item100200000301,10	41100023,41100023,41100023		0.000000		
39	GrowTaskTitle039	6039001;6039002;6039003	999.0,1001.1,100.0;1002.3,1000.6,100.0;999.8,999.2,100.0	item1000,500000;item200000800002,10;item100200000401,10	41100023,41100023,41100023		0.000000		
40	GrowTaskTitle040	6040001;6040002;6040003;6040004	998.9,1001.0,100.0;1002.0,1001.1,100.0;999.2,999.1,100.0;1002.2,999.2,100.0	item1000,500000;item107300000002,20;item100200000501,10	41100023,41100023,41100023		0.000000		
41	GrowTaskTitle041	6041001;6041002;6041003;6041004;6041005	998.7,1001.2,100.0;1002.5,1001.2,100.0;1000.6,1000.1,100.0;998.8,999.0,100.0;1002.7,999.0,100.0	item1000,500000;item200000800002,10;item100200000601,10	41100023,41100023,41100023		0.000000		
42	GrowTaskTitle042	6042001;6042002;6042003;6042004	998.9,1001.0,100.0;1002.0,1001.1,100.0;999.2,999.1,100.0;1002.2,999.2,100.0	item1000,500000;item107300000002,20;item100200000701,10	41100023,41100023,41100023		0.000000		
43	GrowTaskTitle043	6043001;6043002;6043003	999.0,1001.1,100.0;1002.3,1000.6,100.0;999.8,999.2,100.0	item1000,500000;item200000800002,10;item100200000801,10	41100023,41100023,41100023		0.000000		
44	GrowTaskTitle044	6044001;6044002;6044003	999.0,1001.1,100.0;1002.3,1000.6,100.0;999.8,999.2,100.0	item1000,500000;item107300000002,20;item100200000901,10	41100023,41100023,41100023		0.000000		
