武器技能石ID	升级后技能石ID	突破限制玩家等级	技能id	职业使用限制	铭文库ID	道具消耗	货币消耗	地区渠道号
string	string	int	string	int	int	string	string	string
ItemId	LevelUpItemId	BreakPlayerLevel	SkillId	JobLimit	DropBoxId	CostItem	CurrencyCost	SDKAreaTypes
item103010132001	item103010132002	0	skill10001	0	1001	item103010139001,5	1,50000	
item103010132002	item103010132003	0	skill10001	0	1001	item103010139001,5	1,50000	
item103010132003	item103010132004	0	skill10001	0	1001	item103010139001,5	1,50000	
item103010132004		0	skill10001	0	1001	item103010139001,5	1,50000	
item103010132011	item103010132012	0	skill10008	0	1001	item103010139001,5	1,50000	
item103010132012	item103010132013	0	skill10008	0	1001	item103010139001,5	1,50000	
item103010132013	item103010132014	0	skill10008	0	1001	item103010139001,5	1,50000	
item103010132014		0	skill10008	0	1001	item103010139001,5	1,50000	
item103010132021	item103010132022	0	skill10004	0	1001	item103010139001,5	1,50000	
item103010132022	item103010132023	0	skill10004	0	1001	item103010139001,5	1,50000	
item103010132023	item103010132024	0	skill10004	0	1001	item103010139001,5	1,50000	
item103010132024		0	skill10004	0	1001	item103010139001,5	1,50000	
item103010132031	item103010132032	0	skill10007	0	1001	item103010139001,5	1,50000	
item103010132032	item103010132033	0	skill10007	0	1001	item103010139001,5	1,50000	
item103010132033	item103010132034	0	skill10007	0	1001	item103010139001,5	1,50000	
item103010132034		0	skill10007	0	1001	item103010139001,5	1,50000	
item103010132101	item103010132102	0	skill10006	0	1002	item103010139001,10	1,100000	
item103010132102	item103010132103	0	skill10006	0	1002	item103010139001,10	1,100000	
item103010132103	item103010132104	0	skill10006	0	1002	item103010139001,10	1,100000	
item103010132104		0	skill10006	0	1002	item103010139001,10	1,100000	
item103010132111	item103010132112	0	skill10005	0	1002	item103010139001,10	1,100000	
item103010132112	item103010132113	0	skill10005	0	1002	item103010139001,10	1,100000	
item103010132113	item103010132114	0	skill10005	0	1002	item103010139001,10	1,100000	
item103010132114		0	skill10005	0	1002	item103010139001,10	1,100000	
item103010132121	item103010132122	0	skill10016	0	1002	item103010139001,10	1,100000	
item103010132122	item103010132123	0	skill10016	0	1002	item103010139001,10	1,100000	
item103010132123	item103010132124	0	skill10016	0	1002	item103010139001,10	1,100000	
item103010132124		0	skill10016	0	1002	item103010139001,10	1,100000	
item103010132201	item103010132202	0	skill10009	0	1003	item103010139002,5	1,200000	
item103010132202	item103010132203	0	skill10009	0	1003	item103010139002,5	1,200000	
item103010132203	item103010132204	0	skill10009	0	1003	item103010139002,5	1,200000	
item103010132204		0	skill10009	0	1003	item103010139002,5	1,200000	
item103010132211	item103010132212	0	skill10002	0	1003	item103010139002,5	1,200000	
item103010132212	item103010132213	0	skill10002	0	1003	item103010139002,5	1,200000	
item103010132213	item103010132214	0	skill10002	0	1003	item103010139002,5	1,200000	
item103010132214		0	skill10002	0	1003	item103010139002,5	1,200000	
item103010132221	item103010132222	0	skill10014	0	1003	item103010139002,5	1,200000	
item103010132222	item103010132223	0	skill10014	0	1003	item103010139002,5	1,200000	
item103010132223	item103010132224	0	skill10014	0	1003	item103010139002,5	1,200000	
item103010132224		0	skill10014	0	1003	item103010139002,5	1,200000	
item103010132231	item103010132232	0	skill10015	0	1003	item103010139002,5	1,200000	
item103010132232	item103010132233	0	skill10015	0	1003	item103010139002,5	1,200000	
item103010132233	item103010132234	0	skill10015	0	1003	item103010139002,5	1,200000	
item103010132234		0	skill10015	0	1003	item103010139002,5	1,200000	
item103010132251	item103010132252	0	skill10023	0	1003	item103010139002,5	1,200000	
item103010132252	item103010132253	0	skill10023	0	1003	item103010139002,5	1,200000	
item103010132253	item103010132254	0	skill10023	0	1003	item103010139002,5	1,200000	
item103010132254		0	skill10023	0	1003	item103010139002,5	1,200000	
item103010132301	item103010132302	0	skill10010	0	2004	item103010139003,10	1,400000	
item103010132302	item103010132303	0	skill10010	0	2004	item103010139003,10	1,400000	
item103010132303	item103010132304	0	skill10010	0	2004	item103010139003,10	1,400000	
item103010132304	item103010132305	76	skill10010	0	2004	item103010139003,10	1,400000	
item103010132305	item103010132306	0	skill10010	0	2004	item103010139003,10	1,400000	
item103010132306	item103010132307	0	skill10010	0	2004	item103010139003,10	1,400000	
item103010132307	item103010132308	0	skill10010	0	2004	item103010139003,10	1,400000	
item103010132308		0	skill10010	0	2004	item103010139003,10	1,400000	
item103010132311	item103010132312	0	skill10011	0	2004	item103010139003,10	1,400000	
item103010132312	item103010132313	0	skill10011	0	2004	item103010139003,10	1,400000	
item103010132313	item103010132314	0	skill10011	0	2004	item103010139003,10	1,400000	
item103010132314	item103010132315	76	skill10011	0	2004	item103010139003,10	1,400000	
item103010132315	item103010132316	0	skill10011	0	2004	item103010139003,10	1,400000	
item103010132316	item103010132317	0	skill10011	0	2004	item103010139003,10	1,400000	
item103010132317	item103010132318	0	skill10011	0	2004	item103010139003,10	1,400000	
item103010132318		0	skill10011	0	2004	item103010139003,10	1,400000	
item103010132321	item103010132322	0	skill10012	0	2004	item103010139003,10	1,400000	
item103010132322	item103010132323	0	skill10012	0	2004	item103010139003,10	1,400000	
item103010132323	item103010132324	0	skill10012	0	2004	item103010139003,10	1,400000	
item103010132324	item103010132325	76	skill10012	0	2004	item103010139003,10	1,400000	
item103010132325	item103010132326	0	skill10012	0	2004	item103010139003,10	1,400000	
item103010132326	item103010132327	0	skill10012	0	2004	item103010139003,10	1,400000	
item103010132327	item103010132328	0	skill10012	0	2004	item103010139003,10	1,400000	
item103010132328		0	skill10012	0	2004	item103010139003,10	1,400000	
item103010132331	item103010132332	0	skill10013	0	2004	item103010139003,10	1,400000	
item103010132332	item103010132333	0	skill10013	0	2004	item103010139003,10	1,400000	
item103010132333	item103010132334	0	skill10013	0	2004	item103010139003,10	1,400000	
item103010132334	item103010132335	76	skill10013	0	2004	item103010139003,10	1,400000	
item103010132335	item103010132336	0	skill10013	0	2004	item103010139003,10	1,400000	
item103010132336	item103010132337	0	skill10013	0	2004	item103010139003,10	1,400000	
item103010132337	item103010132338	0	skill10013	0	2004	item103010139003,10	1,400000	
item103010132338		0	skill10013	0	2004	item103010139003,10	1,400000	
item103010132341	item103010132342	0	skill10020	0	2004	item103010139003,10	1,400000	
item103010132342	item103010132343	0	skill10020	0	2004	item103010139003,10	1,400000	
item103010132343	item103010132344	0	skill10020	0	2004	item103010139003,10	1,400000	
item103010132344	item103010132345	76	skill10020	0	2004	item103010139003,10	1,400000	
item103010132345	item103010132346	0	skill10020	0	2004	item103010139003,10	1,400000	
item103010132346	item103010132347	0	skill10020	0	2004	item103010139003,10	1,400000	
item103010132347	item103010132348	0	skill10020	0	2004	item103010139003,10	1,400000	
item103010132348		0	skill10020	0	2004	item103010139003,10	1,400000	
item103010132371	item103010132372	0	skill10022	0	2004	item103010139003,10	1,400000	
item103010132372	item103010132373	0	skill10022	0	2004	item103010139003,10	1,400000	
item103010132373	item103010132374	0	skill10022	0	2004	item103010139003,10	1,400000	
item103010132374	item103010132375	76	skill10022	0	2004	item103010139003,10	1,400000	
item103010132375	item103010132376	0	skill10022	0	2004	item103010139003,10	1,400000	
item103010132376	item103010132377	0	skill10022	0	2004	item103010139003,10	1,400000	
item103010132377	item103010132378	0	skill10022	0	2004	item103010139003,10	1,400000	
item103010132378		0	skill10022	0	2004	item103010139003,10	1,400000	
item103010133001	item103010133002	0	skill1012	3	2001	item103010139001,10	1,50000	
item103010133002	item103010133003	0	skill1012	3	2001	item103010139001,10	1,50000	
item103010133003	item103010133004	0	skill1012	3	2001	item103010139001,10	1,50000	
item103010133004		0	skill1012	3	2001	item103010139001,10	1,50000	
item103010133101	item103010133102	0	skill1009	3	2002	item103010139001,20	1,100000	
item103010133102	item103010133103	0	skill1009	3	2002	item103010139001,20	1,100000	
item103010133103	item103010133104	0	skill1009	3	2002	item103010139001,20	1,100000	
item103010133104		0	skill1009	3	2002	item103010139001,20	1,100000	
item103010133111	item103010133112	0	skill1014	3	2002	item103010139001,20	1,100000	
item103010133112	item103010133113	0	skill1014	3	2002	item103010139001,20	1,100000	
item103010133113	item103010133114	0	skill1014	3	2002	item103010139001,20	1,100000	
item103010133114		0	skill1014	3	2002	item103010139001,20	1,100000	
item103010133201	item103010133202	0	skill1017	3	2003	item103010139002,10	1,200000	
