栏位编号	解锁条件	转化属性	槽位Buff图标
int	string	string	string
Id	TrammelsLooks	Trammels	BuffIcon
100	1,1;2,1		
101	1,2;2,20	279,200	icon_attribute01
102	1,3;4,40	281,200;283,400	icon_attribute03,icon_attribute02
103	1,4;4,60	279,200;281,200;285,200	icon_attribute01,icon_attribute03,icon_attribute04
200	1,3;2,30		
201	1,4;2,40	285,300;284,500	icon_attribute04,icon_attribute02
202	3,4;2,50	279,300;287,500	icon_attribute01,icon_attribute12
203	3,5;2,60	281,300;289,500;290,500	icon_attribute03,icon_attribute05,icon_attribute06
300	1,5;2,60		
301	1,6;2,70	286,600;290,600	icon_attribute04,icon_attribute06
302	3,5;4,80	282,600;289,600	icon_attribute03,icon_attribute05
303	3,6;4,100	280,600;282,600;286,600	icon_attribute01,icon_attribute03,icon_attribute04
