挑战ID	属性
int	string
ChallengeID	PropRatio
1	1,8000;3,8000;4,8000;30,8000;31,8000;32,8000;33,8000;51,8000;52,8000
2	1,10000;3,10000;4,10000;30,10000;31,10000;32,10000;33,10000;51,10000;52,10000
3	1,12000;3,12000;4,12000;30,12000;31,12000;32,12000;33,12000;51,12000;52,12000
4	1,14000;3,14000;4,14000;30,14000;31,14000;32,14000;33,14000;51,14000;52,14000
5	1,18000;3,18000;4,18000;30,18000;31,18000;32,18000;33,18000;51,18000;52,18000
6	1,22000;3,22000;4,22000;30,22000;31,22000;32,22000;33,22000;51,22000;52,22000
7	1,28000;3,28000;4,28000;30,28000;31,28000;32,28000;33,28000;51,28000;52,28000
8	1,34000;3,34000;4,34000;30,34000;31,34000;32,34000;33,34000;51,34000;52,34000
9	1,40000;3,40000;4,40000;30,40000;31,40000;32,40000;33,40000;51,40000;52,40000
10	1,50000;3,50000;4,50000;30,50000;31,50000;32,50000;33,50000;51,50000;52,50000
11	1,2000;3,2000;4,2000;30,2000;31,2000;32,2000;33,2000;51,2000;52,2000
12	1,4000;3,4000;4,4000;30,4000;31,4000;32,4000;33,4000;51,4000;52,4000
13	1,6000;3,6000;4,6000;30,6000;31,6000;32,6000;33,6000;51,6000;52,6000
14	1,8000;3,8000;4,8000;30,8000;31,8000;32,8000;33,8000;51,8000;52,8000
15	1,10000;3,10000;4,10000;30,10000;31,10000;32,10000;33,10000;51,10000;52,10000
16	1,12000;3,12000;4,12000;30,12000;31,12000;32,12000;33,12000;51,12000;52,12000
17	1,15000;3,15000;4,15000;30,15000;31,15000;32,15000;33,15000;51,15000;52,15000
18	1,20000;3,20000;4,20000;30,20000;31,20000;32,20000;33,20000;51,20000;52,20000
19	1,25000;3,25000;4,25000;30,25000;31,25000;32,25000;33,25000;51,25000;52,25000
20	1,35000;3,35000;4,35000;30,35000;31,35000;32,35000;33,35000;51,35000;52,35000
