兑换id（一经发布不可更改）	商店id	页签id	排序id	奖励道具id	奖励道具数量	兑换规则	兑换规则图标	兑换限定次数	解锁条件	兑换道具
string	int	int	int	string	int	int	string	int	string	string
ExchangeId	ShopId	TabId	SortId	RewardItemId	RewardItemNum	ExchangeRule	ExchangeRuleIcon	ExchangeLimitNum	UnlockCondition	ExchangeItem
ex10010010	1	0	10	item8170000120010	30	2		1	1,0	
ex10010001	1	0	7	item107999900001	10	2	bg_fishstore_pin02;FishingExchangeType02;204,99,19,255	100	1,0	item170000103010,10
ex10010002	1	0	8	item107999900002	1	2	bg_fishstore_pin02;FishingExchangeType02;204,99,19,255	50	1,0	item170000103010,2;item170000106020,1
ex10010003	1	0	6	item101040101015	1	2	bg_fishstore_pin02;FishingExchangeType02;204,99,19,255	100	1,0	item170000105010,2
ex10010004	1	0	3	item103010121003	10	2	bg_fishstore_pin02;FishingExchangeType02;204,99,19,255	2	1,0	item170000106010,10
ex10010005	1	0	4	item103010131001	10	2	bg_fishstore_pin02;FishingExchangeType02;204,99,19,255	2	1,0	item170000103010,2;item170000105020,2
ex10010006	1	0	5	item107200041001	1	2	bg_fishstore_pin02;FishingExchangeType02;204,99,19,255	60	1,0	item170000106020,1
ex10010007	1	0	2	item101020504800	1	2	bg_fishstore_pin02;FishingExchangeType02;204,99,19,255	5	1,0	item170000103020,2
ex10010008	1	0	1	item170000110020	1	1	bg_fishstore_pin01;FishingExchangeType01;201,56,17,255	1	1,0	item170000105010,40
ex10020001	1	1	6	item101040101016	1	2	bg_fishstore_pin02;FishingExchangeType02;204,99,19,255	2	1,0	item170000105010,8;item170000103020,8
ex10020002	1	1	5	item107300000002	10	2	bg_fishstore_pin02;FishingExchangeType02;204,99,19,255	2	1,0	item170000102030,6;item170000103040,1
ex10020003	1	1	3	item107200042001	1	3	bg_fishstore_pin03;FishingExchangeType03;19,76,204,255	90	1,0	item170000105030,1
ex10020004	1	1	4	item107300000001	10	2	bg_fishstore_pin02;FishingExchangeType02;204,99,19,255	2	1,0	item170000106010,20;item170000105030,2
ex10020005	1	1	1	item170000110030	1	1	bg_fishstore_pin01;FishingExchangeType01;201,56,17,255	1	1,0	item170000105020,10;item170000105030,20
ex10020006	1	1	2	item101020504900	1	3	bg_fishstore_pin03;FishingExchangeType03;19,76,204,255	5	1,0	item170000102030,3;item170000106030,3;item170000106040,1
ex10030001	1	2	1	item141000000100	1	1	bg_fishstore_pin01;FishingExchangeType01;201,56,17,255	1	1,0	item170000103030,200;item170000101040,100;item170000105040,100
ex10030002	1	2	2	item141000000101	1	1	bg_fishstore_pin01;FishingExchangeType01;201,56,17,255	1	1,0	item170000101040,120;item170000102040,80;item170000103040,50
ex10030003	1	2	6	item170000110050	1	1	bg_fishstore_pin01;FishingExchangeType01;201,56,17,255	1	1,0	item170000102040,2;item170000103040,2;item170000105040,8
ex10030004	1	2	7	item161000010001	1	1	bg_fishstore_pin01;FishingExchangeType01;201,56,17,255	1	1,0	item170000106030,20;item170000103040,8;item170000106040,12
ex10030005	1	2	3	item8101020503060	1	3	bg_fishstore_pin01;FishingExchangeType01;201,56,17,255	5	1,0	item170000101030,60;item170000103040,45;item170000106040,30
ex10030009	1	2	4	item101020507318	1	1	bg_fishstore_pin01;FishingExchangeType01;201,56,17,255	1	1,0	item170000103030,50;item170000101030,50
ex10030010	1	2	8	item107200043001	1	1	bg_fishstore_pin01;FishingExchangeType01;201,56,17,255	180	1,0	item170000103030,2
ex10030011	1	2	9	item107200051001	1	1	bg_fishstore_pin01;FishingExchangeType01;201,56,17,255	90	1,0	item170000103040,2
ex10030012	1	2	5	item8100421000001	1	3	bg_fishstore_pin03;FishingExchangeType03;19,76,204,255	15	1,0	item170000101030,1;item170000106030,1
ex10020007	1	1	0	item100500000001	1	2	bg_fishstore_pin02;FishingExchangeType02;204,99,19,255	10	1,0	item170000108001,1
ex10020008	1	1	0	item171002000001	10	3	bg_fishstore_pin03;FishingExchangeType03;19,76,204,255	10	1,0	item170000108002,1;item170000108007,1
ex10020009	1	1	0	item171002010001	1	3	bg_fishstore_pin03;FishingExchangeType03;19,76,204,255	20	1,0	item170000108001,1;item170000108005,1
ex10020010	1	1	0	item171000101021	10	3	bg_fishstore_pin03;FishingExchangeType03;19,76,204,255	50	1,0	item170000108010,1;item170000108012,1
ex10020011	1	1	0	item171000101071	1	3	bg_fishstore_pin03;FishingExchangeType03;19,76,204,255	50	1,0	item170000108002,1;item170000108005,2
ex10030013	1	2	0	item171000101081	1	3	bg_fishstore_pin03;FishingExchangeType03;19,76,204,255	1	1,0	item170000108007,50;item170000108008,100
ex10030014	1	2	0	item141000001451	1	1	bg_fishstore_pin01;FishingExchangeType01;201,56,17,255	1	1,0	item170000108010,100;item170000108004,100;item170000108009,200
ex10030015	1	2	0	item141000001452	1	1	bg_fishstore_pin01;FishingExchangeType01;201,56,17,255	1	1,0	item170000108012,100;item170000108006,100;item170000108011,200
ex10030016	1	2	0	item171002010002	1	3	bg_fishstore_pin03;FishingExchangeType03;19,76,204,255	10	1,0	item170000108005,1;item170000108003,1
