流水	道具ID	宝石等级	宝石升级经验	宝石属性	宝石	宝石基础评分
int	string	int	int	string	string	int
ID	GemID	GemLevel	GemLevelup	GemProp	GemBuff	GemScore
1	item105900000001	1	0	301,20000;331,5000;302,2500	skill126001::buff_01	2500
2	item105900000001	2	1	301,20600;331,5200;302,2600	skill126001::buff_01	2500
3	item105900000001	3	3	301,21200;331,5400;302,2700	skill126001::buff_01	2500
4	item105900000001	4	6	301,21800;331,5600;302,2800	skill126001::buff_01	2500
5	item105900000001	5	10	301,22400;331,5800;302,2900	skill126001::buff_01	2500
6	item105900000001	6	15	301,23000;331,6000;302,3000	skill126001::buff_01	2500
7	item105900000001	7	21	301,23600;331,6200;302,3100	skill126001::buff_01	2500
8	item105900000001	8	28	301,24200;331,6400;302,3200	skill126001::buff_01	2500
9	item105900000001	9	36	301,24800;331,6600;302,3300	skill126001::buff_01	2500
10	item105900000001	10	45	301,25400;331,6800;302,3400	skill126001::buff_01	2500
11	item105900000001	11	55	301,26100;331,7050;302,3525	skill126001::buff_01	2500
12	item105900000001	12	66	301,26800;331,7300;302,3650	skill126001::buff_01	2500
13	item105900000001	13	78	301,27500;331,7550;302,3775	skill126001::buff_01	2500
14	item105900000001	14	91	301,28200;331,7800;302,3900	skill126001::buff_01	2500
15	item105900000001	15	105	301,28900;331,8050;302,4025	skill126001::buff_01	2500
16	item105900000001	16	120	301,29600;331,8300;302,4150	skill126001::buff_01	2500
17	item105900000001	17	136	301,30300;331,8550;302,4275	skill126001::buff_01	2500
18	item105900000001	18	153	301,31000;331,8800;302,4400	skill126001::buff_01	2500
19	item105900000001	19	171	301,31700;331,9050;302,4525	skill126001::buff_01	2500
20	item105900000001	20	190	301,33000;331,9500;302,4750	skill126001::buff_01	2500
21	item105900000001	21	210	301,33800;331,9800;302,5500	skill126001::buff_01	2500
22	item105900000001	22	231	301,34600;331,10100;302,6250	skill126001::buff_01	2500
23	item105900000001	23	253	301,35400;331,10400;302,7000	skill126001::buff_01	2500
24	item105900000001	24	276	301,36200;331,10700;302,7750	skill126001::buff_01	2500
25	item105900000001	25	300	301,37000;331,11000;302,8500	skill126001::buff_01	2500
26	item105900000001	26	325	301,37800;331,11300;302,9250	skill126001::buff_01	2500
27	item105900000001	27	351	301,38600;331,11600;302,10000	skill126001::buff_01	2500
28	item105900000001	28	378	301,39400;331,11900;302,10750	skill126001::buff_01	2500
29	item105900000001	29	406	301,40200;331,12200;302,11500	skill126001::buff_01	2500
30	item105900000001	30	435	301,41000;331,12500;302,12250	skill126001::buff_01	2500
31	item105900000001	31	465	301,41900;331,12850;302,13125	skill126001::buff_01	2500
32	item105900000001	32	496	301,42800;331,13200;302,14000	skill126001::buff_01	2500
33	item105900000001	33	528	301,43700;331,13550;302,14875	skill126001::buff_01	2500
34	item105900000001	34	561	301,44600;331,13900;302,15750	skill126001::buff_01	2500
35	item105900000001	35	595	301,45500;331,14250;302,16625	skill126001::buff_01	2500
