npc编号	佣兵品质	佣兵名字	英雄Id	AI	动作集	普通攻击	佣兵头像itemid	佣兵头像	佣兵组队头像	描边参数	佣兵简介	高模长相	低模长相	模型倍数	UI界面模型位置	组队UI界面模型倍数	圆柱高度	圆柱半径	仇恨模式编号	共享仇恨类型	共享仇恨范围	待机移动速度偏移	战斗移动速度偏移	最大追击距离	近战追击范围	远程追击范围	触发范围	头衔	坐骑ID	坐骑颜色	种族编号	转化为团显示半身像	佣兵高模特效	佣兵低模特效	失落之地buff显示字段	地区渠道号	佣兵装备列表	装备强化共鸣库	特拉然远征属性
string	int	string	string	int	int	string	string	string	string	int	string	string	string	float	string	float	float	float	int	int	int	float	float	float	float	float	float	string	string	string	int	string	string	string	string	string	string	int	string
Id	Quality	Name	HeroId	BevTreeId	ActionSet	NormalSkill	ItemId	Icon	SoldierPlayerIcon	OutlinePara	Des	SoldierAvatar	Avatar	AvatarZoom	AvatarLocation	UIAvatarZoom	CollideHeight	CollideRadius	AggroTypeId	ShareHatredType	ShareHatredRange	RestMoveSpeed	FightMoveSpeed	MaxChaseDistance	ShortSkillRange	FarSkillRange	SpringRange	Title	RideId	RideColor	TribeId	GroupShowHead	High_SoldierEffect	Low_SoldierEffect	LostSpaceShowBuff	SDKAreaTypes	SoldierEquipList	SoldierEquipUpgradeBonus	TraranProp
soldier_npc_10001	2	name_soldier_npc_10001	hero101	401101	1002001	skill301120,skill301121,skill301122	item105000000049	JobPotrait_sp01	soldier_player_icon_10001	1	des_soldier_npc_10001	c001h|bottoms|c001h_bottoms001_t1|clothes|c001h_clothes001_t1|shoulder|c001h_shoulder001_t1|weapon|c001h_weapon001_t1|face|c001h_face001_t1|head|c001h_head001_t1|partb|c001h_partb001_t1	c001|bottoms|c001_bottoms001_t1|clothes|c001_clothes001_t1|shoulder|c001_shoulder001_t1|weapon|c001_weapon001_t1|face|c001_face001_t1|head|c001_head001_t1	1.000000	0;0;0	1.000000	2.000000	0.500000	1005	6	50	4.000000	0.000000	50.000000	2.000000	6.000000	14.000000				1	jobtexture01					211;212;213;214;215;216	2	1400000069
soldier_npc_10002	2	name_soldier_npc_10002	hero102	402201	1001001	skill301110,skill301111,skill301112	item105000000050	JobPotrait_sp02	soldier_player_icon_10002	1	des_soldier_npc_10002	c002h|bottoms|c002h_bottoms001_t1|clothes|c002h_clothes001_t1|shoulder|c002h_shoulder001_t1|weapon|c002h_weapon001_t1|face|c002h_face001_t1|head|c002h_head001_t1	c002|bottoms|c002_bottoms001_t1|clothes|c002_clothes001_t1|shoulder|c002_shoulder001_t1|weapon|c002_weapon001_t1|face|c002_face001_t1|head|c002_head001_t1	1.000000	0;0;0	1.000000	2.000000	0.500000	1005	6	50	4.000000	0.000000	50.000000	2.000000	6.000000	14.000000				1	jobtexture02					221;222;223;224;225;226	2	1400000169
soldier_npc_10003	2	name_soldier_npc_10003	hero104	404101	1003001	skill301130,skill301131,skill301132	item105000000051	JobPotrait_sp04	soldier_player_icon_10003	1	des_soldier_npc_10003	c004h|bottoms|c004h_bottoms001_t1|clothes|c004h_clothes001_t1|shoulder|c004h_shoulder001_t1|weapon|c004h_weapon001_t1|face|c004h_face001_t1|head|c004h_head001_t1	c004|bottoms|c004_bottoms001_t1|clothes|c004_clothes001_t1|shoulder|c004_shoulder001_t1|weapon|c004_weapon001_t1|face|c004_face001_t1|head|c004_head001_t1	1.000000	0;0;0	1.000000	2.000000	0.500000	1005	6	50	4.000000	0.000000	50.000000	2.000000	6.000000	14.000000				1	jobtexture04					241;242;243;244;245;246	2	1400000269
soldier_npc_10004	2	name_soldier_npc_10004	hero103	403101	1000001	skill301100,skill301101,skill301102	item105000000052	JobPotrait_sp03	soldier_player_icon_10004	1	des_soldier_npc_10004	c003h|bottoms|c003h_bottoms001_t1|clothes|c003h_clothes001_t1|shoulder|c003h_shoulder001_t1|weapon|c003h_weapon001_t1|face|c003h_face001_t1|head|c003h_head001_t1|parta|c003h_parta001_t1	c003|bottoms|c003_bottoms001_t1|clothes|c003_clothes001_t1|shoulder|c003_shoulder001_t1|weapon|c003_weapon001_t1|face|c003_face001_t1|head|c003_head001_t1	1.000000	0;0;0	1.000000	2.000000	0.500000	1005	6	50	4.000000	0.000000	50.000000	2.000000	6.000000	14.000000				1	jobtexture03					231;232;233;234;235;236	2	1400000369
soldier_npc_10005	2	name_soldier_npc_10005	hero105	405101	1004001	skill301140,skill301141,skill301142	item105000000053	JobPotrait_sp05	soldier_player_icon_10005	1	des_soldier_npc_10005	c005h|bottoms|c005h_bottoms001_t1|clothes|c005h_clothes001_t1|shoulder|c005h_shoulder001_t1|weapon|c005h_weapon001_t1|face|c005h_face001_t1|head|c005h_head001_t1|parta|c005h_parta001_t1	c005|bottoms|c005_bottoms001_t1|clothes|c005_clothes001_t1|shoulder|c005_shoulder001_t1|weapon|c005_weapon001_t1|face|c005_face001_t1|head|c005_head001_t1	1.000000	0;0;0	1.000000	2.000000	0.500000	1005	6	50	4.000000	0.000000	50.000000	2.000000	6.000000	14.000000				1	jobtexture05					251;252;253;254;255;256	2	1400000469
soldier_npc_10006	3	name_soldier_npc_10006	hero101	401101	1002001	skill400900,skill400910,skill400911	item105000000054	n015_portrait01	soldier_player_icon_10006	1	des_soldier_npc_10006	n015|body|n015_body_t1	n015|body|n015_body_t1	1.100000	0;0;0	1.100000	2.000000	0.500000	1005	6	50	4.000000	0.000000	50.000000	2.000000	6.000000	14.000000				1	icon_soldier_npc10006					311;312;313;314;315;316	3	1400000569
soldier_npc_10007	3	name_soldier_npc_10007	hero102	402101	1001001	skill401000,skill401010,skill401011	item105000000055	n016_portrait01	soldier_player_icon_10007	1	des_soldier_npc_10007	n016|body|n016_body_t1	n016|body|n016_body_t1	0.700000	0;0;0	0.800000	2.000000	0.500000	1005	6	50	4.000000	0.000000	50.000000	2.000000	6.000000	14.000000				1	icon_soldier_npc10007					321;322;323;324;325;326	3	1400000669
soldier_npc_10008	3	name_soldier_npc_10008	hero104	404102	1405001	skill400800,skill400810,skill400811	item105000000056	n018_portrait01	soldier_player_icon_10008	1	des_soldier_npc_10008	n018|body|n018_body_t1	n018|body|n018_body_t1	1.000000	0;0;0	1.000000	2.000000	0.500000	1005	6	50	4.000000	0.000000	50.000000	2.000000	6.000000	14.000000				1	icon_soldier_npc10008					341;342;343;344;345;346	3	1400000769
