流水id	副本类型	最小副本排名	最大副本排名	组队副本排名奖励
int	int	int	int	string
ID	RankType	RankMin	RankMax	RankReward
1	1	1	1	item178100000002,3;item171002010002,50;item130000040348,1
2	1	2	2	item178100000002,2;item171002010002,45;item130000040348,1
3	1	3	3	item178100000002,2;item171002010002,40;item130000040348,1
4	1	4	4	item178100000002,1;item171002010002,35
5	1	5	5	item178100000002,1;item171002010002,30
6	1	6	6	item178100000002,1;item171002010002,25
7	1	7	7	item178100000002,1;item171002010002,20
8	1	8	8	item178100000002,1;item171002010002,15
9	1	9	9	item178100000002,1;item171002010002,10
10	1	10	10	item178100000002,1;item171002010001,20
11	1	11	20	item178100000002,1;item171002010001,15
12	1	21	50	item178100000002,1;item171002010001,10
13	1	51	100	item178100000002,1;item171002010001,5
14	1	101	500	item178100000002,1
15	2	1	1	item178100000002,5;item91000001149,1;item91000001151,1;item91000001407,1
16	2	2	2	item178100000002,5;item109000000001,20;item91000001151,1;item91000001407,1
17	2	3	3	item178100000002,5;item109000000001,15;item91000001151,1;item91000001407,1
18	2	4	4	item178100000002,5;item109000000001,12;item91000001151,1
19	2	5	5	item178100000002,5;item109000000001,10;item91000001151,1
20	2	6	6	item178100000002,5;item109000000001,8;item91000001151,1
21	2	7	7	item178100000002,5;item109000000001,6;item91000001151,1
22	2	8	8	item178100000002,5;item109000000001,5;item91000001151,1
23	2	9	9	item178100000002,5;item109000000001,4;item91000001151,1
24	2	10	10	item178100000002,5;item109000000001,3;item91000001151,1
25	2	11	20	item178100000002,5;item109000000001,2;item91000001151,1
26	2	21	50	item178100000002,5;item109000000001,1;item91000001151,1
27	2	51	100	item178100000002,4;item109000000001,1
28	2	101	500	item178100000002,3;item109000000001,1
29	2	501	1000	item178100000002,2
30	2	1001	2000	item178100000001,1
