流水id	任务id	子任务序号	是否可求助	资助奖励
int	int	int	bool	string
Id	TaskId	SubId	IsForHelp	FundReward
1	1731010	0	1	
2	1731020	0	1	
3	1731030	0	1	
4	1741010	1	1	item1000,190000
5	1741020	1	1	item1000,190000
6	1741030	1	1	item1000,190000
7	1741040	1	1	item1000,190000
8	1741050	1	1	item1000,190000
9	1741060	1	1	item1000,190000
10	1741070	1	1	item1000,190000
11	1741080	1	1	item1000,190000
12	1741090	1	1	item1000,190000
13	1741100	1	1	item1000,190000
14	1741110	1	1	item1000,190000
15	1741120	1	1	item1000,190000
16	1741130	1	1	item1000,190000
17	1741140	1	1	item1000,190000
18	1741150	1	1	item1000,190000
19	1751010	1	1	item1000,190000
20	1751020	1	1	item1000,190000
21	1751030	1	1	item1000,190000
22	1751040	1	1	item1000,190000
23	1751050	1	1	item1000,190000
24	1751060	1	1	item1000,190000
25	1751070	1	1	item1000,190000
26	1751080	1	1	item1000,190000
27	1751090	1	1	item1000,190000
28	1751100	1	1	item1000,190000
29	1751110	1	1	item1000,190000
30	1751120	1	1	item1000,190000
31	1751130	1	1	item1000,190000
32	1751140	1	1	item1000,190000
33	1751150	1	1	item1000,190000
34	1761010	1	1	item100000000006,2
35	1761020	1	1	item100000000006,2
36	1761030	0	1	item100000000006,2
37	1761040	0	1	item100000000006,2
38	1761050	0	1	item100000000006,2
39	1761060	0	1	item100000000006,2
40	1761070	1	1	item100000000006,2
41	1761080	0	1	item100000000006,2
42	1761090	0	1	item100000000006,2
43	1761100	0	1	item100000000006,2
44	1771010	1	1	item1000,1500000
45	1771020	1	1	item1000,1500000
46	1771030	1	1	item1000,1500000
47	1771040	1	1	item1000,1500000
48	1771050	1	1	item1000,1500000
49	1771060	1	1	item1000,1500000
50	1771070	1	1	item1000,1500000
51	1771080	1	1	item1000,1500000
52	1771090	1	1	item1000,1500000
53	1762010	1	1	item100000000006,2
54	1762020	1	1	item100000000006,2
55	1762030	0	1	item100000000006,2
56	1762040	0	1	item100000000006,2
57	1762050	0	1	item100000000006,2
58	1762060	0	1	item100000000006,2
59	1762070	1	1	item100000000006,2
60	1762080	0	1	item100000000006,2
61	1762090	0	1	item100000000006,2
62	1762100	0	1	item100000000006,2
63	1763010	1	1	item100000000006,2
64	1763020	1	1	item100000000006,2
65	1763030	0	1	item100000000006,2
66	1763040	0	1	item100000000006,2
67	1763050	0	1	item100000000006,2
68	1763060	0	1	item100000000006,2
69	1763070	1	1	item100000000006,2
70	1763080	0	1	item100000000006,2
71	1763090	0	1	item100000000006,2
72	1763100	0	1	item100000000006,2
73	1764010	1	1	item100000000006,2
74	1764020	1	1	item100000000006,2
75	1764030	0	1	item100000000006,2
76	1764040	0	1	item100000000006,2
77	1764050	0	1	item100000000006,2
78	1764060	0	1	item100000000006,2
79	1764070	1	1	item100000000006,2
80	1764080	0	1	item100000000006,2
81	1764090	0	1	item100000000006,2
82	1764100	0	1	item100000000006,2
83	1765010	1	1	item100000000006,2
84	1765020	1	1	item100000000006,2
85	1765030	0	1	item100000000006,2
86	1765040	0	1	item100000000006,2
87	1765050	0	1	item100000000006,2
88	1765060	0	1	item100000000006,2
89	1765070	1	1	item100000000006,2
90	1765080	0	1	item100000000006,2
91	1765090	0	1	item100000000006,2
92	1765100	0	1	item100000000006,2
