特效编号	特效分类	特效优先级	对象绑点	对象的对象绑点	缩放方式	缩放比例	持续特效资源	持续特效时间	特效消失方式	特效消失开始时间点	旋转角偏移	是否使用固定旋转角偏移	固定旋转角偏移	偏移位置	是否头顶UI特效	是否普攻特效	持续特效是否循环播放	链接方式	自适应屏幕尺寸缩放	特效音效	阵营变色特效
int	int	int	int	int	int	vector3	string	float	int	float	vector3	bool	vector3	vector3	bool	bool	bool	int	int	string	int
Id	EffectType	Prior	BindPos	ObjectBindPos	ScalingMode	Scale	ExistEffResName	ExistEffTime	EndEffStyle	EndEffTime	OffsetEulerAngle	UseConstantEulerAngle	ConstantEulerAngle	OffsetPos	IsHeadUI	IsNormalAtkEffect	ExistEffLoop	LinkMode	ZoomWithScreenSize	Audio	CampEffect
1	6	1	0	0	0		c003_atk01_jian	99999.000000	2	0.000000								0	0		0
2	8	1	2	0	0		c003_atk01_hit	1.000000	0	0.000000								0	0		0
3	5	100	0	0	0		c003_skill01_dandao	1000.000000	2	0.000000								0	0		0
4	5	1	2	0	0		c003_skill01_hit	1.000000	0	0.000000								0	0		0
5	5	1	0	0	0		c003_skill01_ju	1.500000	0	0.000000								0	0	0,4210	0
6	5	100	1	0	0		c003_skill02_dandao	1.000000	0	0.000000								0	0		0
7	7	1	2	0	0		c003_skill02_hit	1.300000	0	0.000000								0	0	0,4221	0
8	5	1	0	0	0		c003_skill02_jian	1000.000000	2	0.000000							1	0	0		0
9	5	100	0	0	0		c003_skill02_disappear	2.000000	0	0.000000								0	0	0,4220	0
10	5	100	0	0	0		c003_skill03_di	1.800000	0	0.000000								0	0		0
11	5	200	0	0	0		c003_skill03_ct	0.500000	0	0.000000								0	0		0
12	5	1	0	0	0		c003_skill03_zidan	10000.000000	0	0.000000								0	0		0
13	7	1	2	0	0		c003_skill03_hit	1.000000	0	0.000000								0	0		0
14	5	100	1	0	0		c003_skill03_jujian	1.250000	0	0.000000								0	0		0
15	5	100	0	0	0		c003_skill04	1.500000	0	0.000000								0	0	0,4280	0
17	7	1	0	0	0		c003_skill04_ju	1000.000000	2	0.000000								0	0		0
19	11	100	3	0	0		m001_atk01	999.000000	2	0.000000								0	0		0
20	12	1	2	0	0		m001_atk01_hit	0.500000	0	0.000000								0	0		0
21	5	100	0	0	0		c003_skill03_di	1.250000	0	0.000000								0	0		0
22	5	100	1	0	0		c003_skill03_jujian	1.800000	0	0.000000								0	0		0
23	7	1	0	0	0		c003_skill02_disappear	0.800000	0	0.000000								0	0		0
24	7	1	0	0	0		c003_skill03_disappear	0.400000	0	0.000000								0	0		0
25	5	1	0	0	0		c003_skill01_disappear	0.400000	0	0.000000								0	0		0
26	5	100	0	0	0		c003_skill01_sanshe	1.800000	2	1.000000								0	0		0
27	1	100	0	0	0		dropeffect_001	999.000000	0	0.000000							1	0	0		0
28	1	100	0	0	0		dropeffect_002	999.000000	0	0.000000							1	0	0		0
29	1	100	0	0	0		dropeffect_002_b	999.000000	0	0.000000							1	0	0		0
