流水	宝石id	等级	经验需求	评分补偿	升级增加属性值
int	string	byte	int	int	int
Id	StoneId	Level	Exp	CompensateScore	PropValue
1	item107000020101	1	0	15	0
2	item107000020101	2	5	16	1
3	item107000020101	3	15	17	2
4	item107000020101	4	30	18	4
5	item107000020101	5	50	19	6
6	item107000020101	6	80	20	8
7	item107000020102	1	0	15	0
8	item107000020102	2	5	16	1
9	item107000020102	3	15	17	2
10	item107000020102	4	30	18	4
11	item107000020102	5	50	19	6
12	item107000020102	6	80	20	8
13	item107000020201	1	0	15	0
14	item107000020201	2	5	16	1
15	item107000020201	3	15	17	2
16	item107000020201	4	30	18	4
17	item107000020201	5	50	19	6
18	item107000020201	6	80	20	8
19	item107000020202	1	0	15	0
20	item107000020202	2	5	16	1
21	item107000020202	3	15	17	2
22	item107000020202	4	30	18	4
23	item107000020202	5	50	19	6
24	item107000020202	6	80	20	8
25	item107000020301	1	0	15	0
26	item107000020301	2	5	16	10
27	item107000020301	3	15	17	20
28	item107000020301	4	30	18	40
29	item107000020301	5	50	19	60
30	item107000020301	6	80	20	80
31	item107000020302	1	0	15	0
32	item107000020302	2	5	16	10
33	item107000020302	3	15	17	20
34	item107000020302	4	30	18	40
35	item107000020302	5	50	19	60
36	item107000020302	6	80	20	80
37	item107000030101	1	0	30	0
38	item107000030101	2	10	31	1
39	item107000030101	3	25	32	2
40	item107000030101	4	50	33	4
41	item107000030101	5	90	34	6
42	item107000030101	6	150	35	8
43	item107000030101	7	230	36	11
44	item107000030101	8	350	37	14
45	item107000030101	9	550	38	17
46	item107000030102	1	0	30	0
47	item107000030102	2	10	31	1
48	item107000030102	3	25	32	2
49	item107000030102	4	50	33	4
50	item107000030102	5	90	34	6
51	item107000030102	6	150	35	8
52	item107000030102	7	230	36	11
53	item107000030102	8	350	37	14
54	item107000030102	9	550	38	17
55	item107000030103	1	0	30	0
56	item107000030103	2	10	31	1
57	item107000030103	3	25	32	2
58	item107000030103	4	50	33	4
59	item107000030103	5	90	34	6
60	item107000030103	6	150	35	8
61	item107000030103	7	230	36	11
62	item107000030103	8	350	37	14
63	item107000030103	9	550	38	17
64	item107000030201	1	0	30	0
65	item107000030201	2	10	31	1
66	item107000030201	3	25	32	2
67	item107000030201	4	50	33	4
68	item107000030201	5	90	34	6
69	item107000030201	6	150	35	8
70	item107000030201	7	230	36	11
71	item107000030201	8	350	37	14
72	item107000030201	9	550	38	17
73	item107000030202	1	0	30	0
74	item107000030202	2	10	31	1
75	item107000030202	3	25	32	2
76	item107000030202	4	50	33	4
77	item107000030202	5	90	34	6
78	item107000030202	6	150	35	8
79	item107000030202	7	230	36	11
80	item107000030202	8	350	37	14
81	item107000030202	9	550	38	17
82	item107000030203	1	0	30	0
83	item107000030203	2	10	31	1
84	item107000030203	3	25	32	2
85	item107000030203	4	50	33	4
86	item107000030203	5	90	34	6
87	item107000030203	6	150	35	8
88	item107000030203	7	230	36	11
89	item107000030203	8	350	37	14
90	item107000030203	9	550	38	17
91	item107000030301	1	0	30	0
92	item107000030301	2	10	31	10
93	item107000030301	3	25	32	20
94	item107000030301	4	50	33	40
95	item107000030301	5	90	34	60
96	item107000030301	6	150	35	80
97	item107000030301	7	230	36	110
98	item107000030301	8	350	37	140
99	item107000030301	9	550	38	170
100	item107000030302	1	0	30	0
101	item107000030302	2	10	31	10
102	item107000030302	3	25	32	20
103	item107000030302	4	50	33	40
104	item107000030302	5	90	34	60
105	item107000030302	6	150	35	80
106	item107000030302	7	230	36	110
107	item107000030302	8	350	37	140
108	item107000030302	9	550	38	170
109	item107000030303	1	0	30	0
110	item107000030303	2	10	31	10
111	item107000030303	3	25	32	20
112	item107000030303	4	50	33	40
113	item107000030303	5	90	34	60
114	item107000030303	6	150	35	80
115	item107000030303	7	230	36	110
116	item107000030303	8	350	37	140
117	item107000030303	9	550	38	170
118	item107000041101	1	0	50	0
119	item107000041101	2	15	52	2
120	item107000041101	3	40	54	4
121	item107000041101	4	70	56	7
122	item107000041101	5	110	58	10
123	item107000041101	6	160	60	13
124	item107000041101	7	230	62	17
125	item107000041101	8	330	64	21
126	item107000041101	9	480	66	25
127	item107000041101	10	710	68	30
128	item107000041101	11	1080	70	35
129	item107000041101	12	1660	72	40
130	item107000041102	1	0	50	0
131	item107000041102	2	15	52	2
132	item107000041102	3	40	54	4
133	item107000041102	4	70	56	7
134	item107000041102	5	110	58	10
135	item107000041102	6	160	60	13
136	item107000041102	7	230	62	17
137	item107000041102	8	330	64	21
138	item107000041102	9	480	66	25
139	item107000041102	10	710	68	30
140	item107000041102	11	1080	70	35
141	item107000041102	12	1660	72	40
142	item107000041103	1	0	50	0
143	item107000041103	2	15	52	2
144	item107000041103	3	40	54	4
145	item107000041103	4	70	56	7
146	item107000041103	5	110	58	10
147	item107000041103	6	160	60	13
148	item107000041103	7	230	62	17
149	item107000041103	8	330	64	21
150	item107000041103	9	480	66	25
151	item107000041103	10	710	68	30
152	item107000041103	11	1080	70	35
153	item107000041103	12	1660	72	40
154	item107000041104	1	0	50	0
155	item107000041104	2	15	52	2
156	item107000041104	3	40	54	4
157	item107000041104	4	70	56	7
158	item107000041104	5	110	58	10
159	item107000041104	6	160	60	13
160	item107000041104	7	230	62	17
161	item107000041104	8	330	64	21
162	item107000041104	9	480	66	25
163	item107000041104	10	710	68	30
164	item107000041104	11	1080	70	35
165	item107000041104	12	1660	72	40
166	item107000041201	1	0	50	0
167	item107000041201	2	15	52	2
168	item107000041201	3	40	54	4
169	item107000041201	4	70	56	7
170	item107000041201	5	110	58	10
171	item107000041201	6	160	60	13
172	item107000041201	7	230	62	17
173	item107000041201	8	330	64	21
174	item107000041201	9	480	66	25
175	item107000041201	10	710	68	30
176	item107000041201	11	1080	70	35
177	item107000041201	12	1660	72	40
178	item107000041202	1	0	50	0
179	item107000041202	2	15	52	2
180	item107000041202	3	40	54	4
181	item107000041202	4	70	56	7
182	item107000041202	5	110	58	10
183	item107000041202	6	160	60	13
184	item107000041202	7	230	62	17
185	item107000041202	8	330	64	21
186	item107000041202	9	480	66	25
187	item107000041202	10	710	68	30
188	item107000041202	11	1080	70	35
189	item107000041202	12	1660	72	40
190	item107000041203	1	0	50	0
191	item107000041203	2	15	52	2
192	item107000041203	3	40	54	4
193	item107000041203	4	70	56	7
194	item107000041203	5	110	58	10
195	item107000041203	6	160	60	13
196	item107000041203	7	230	62	17
197	item107000041203	8	330	64	21
198	item107000041203	9	480	66	25
199	item107000041203	10	710	68	30
200	item107000041203	11	1080	70	35
201	item107000041203	12	1660	72	40
202	item107000041204	1	0	50	0
203	item107000041204	2	15	52	2
204	item107000041204	3	40	54	4
205	item107000041204	4	70	56	7
206	item107000041204	5	110	58	10
207	item107000041204	6	160	60	13
208	item107000041204	7	230	62	17
209	item107000041204	8	330	64	21
210	item107000041204	9	480	66	25
211	item107000041204	10	710	68	30
212	item107000041204	11	1080	70	35
213	item107000041204	12	1660	72	40
214	item107000041301	1	0	50	0
215	item107000041301	2	15	52	20
216	item107000041301	3	40	54	40
217	item107000041301	4	70	56	70
218	item107000041301	5	110	58	100
219	item107000041301	6	160	60	130
220	item107000041301	7	230	62	170
221	item107000041301	8	330	64	210
222	item107000041301	9	480	66	250
223	item107000041301	10	710	68	300
224	item107000041301	11	1080	70	350
225	item107000041301	12	1660	72	400
226	item107000041302	1	0	50	0
227	item107000041302	2	15	52	20
228	item107000041302	3	40	54	40
229	item107000041302	4	70	56	70
230	item107000041302	5	110	58	100
231	item107000041302	6	160	60	130
