流水ID	使者ID	进阶等级	使者等级需求	使者成长	消耗材料	消耗货币	进阶属性库id
int	string	int	int	float	string	string	int
ID	EnvoyID	Level	EnvoyLevel	DiscipleGrow	MaterialCost	CurrencyCost	PropBox
1	envoy_5001	0	0	0.000000	item19200000500001,1	item1000,200000	0
2	envoy_5001	1	0	0.050000	item19200000500001,1	item1000,400000	91001
3	envoy_5001	2	0	0.050000	item19200000500001,2	item1000,600000	91001
4	envoy_5001	3	0	0.050000	item19200000500001,4	item1000,800000	91001
5	envoy_5001	4	0	0.060000	item19200000500001,8	item1000,1000000	91001
6	envoy_5001	5	0	0.060000	item19200000500001,12	item1000,1200000	91001
7	envoy_5001	6	40	0.060000	item19200000500001,18	item1000,1400000	91001
8	envoy_5001	7	0	0.060000	item19200000500001,24	item1000,1600000	91001
9	envoy_5001	8	0	0.070000	item19200000500001,30	item1000,1800000	91001
10	envoy_5001	9	0	0.070000	item19200000500001,36	item1000,2000000	91001
11	envoy_5001	10	0	0.070000	item19200000500001,54	item1000,2200000	91001
12	envoy_5001	11	80	0.080000	item19200000500001,81	item1000,2400000	91001
13	envoy_5001	12	0	0.080000	item19200000500001,108	item1000,2600000	91001
14	envoy_5001	13	0	0.080000	item19200000500001,135	item1000,2800000	91001
15	envoy_5001	14	0	0.080000	item19200000500001,162	item1000,3000000	91001
16	envoy_5001	15	0	0.080000			91001
17	envoy_5002	0	0	0.000000	item19200000500001,1	item1000,200000	0
18	envoy_5002	1	0	0.050000	item19200000500001,1	item1000,400000	91001
19	envoy_5002	2	0	0.050000	item19200000500001,2	item1000,600000	91001
20	envoy_5002	3	0	0.050000	item19200000500001,4	item1000,800000	91001
21	envoy_5002	4	0	0.060000	item19200000500001,8	item1000,1000000	91001
22	envoy_5002	5	0	0.060000	item19200000500001,12	item1000,1200000	91001
23	envoy_5002	6	40	0.060000	item19200000500001,18	item1000,1400000	91001
24	envoy_5002	7	0	0.060000	item19200000500001,24	item1000,1600000	91001
25	envoy_5002	8	0	0.070000	item19200000500001,30	item1000,1800000	91001
26	envoy_5002	9	0	0.070000	item19200000500001,36	item1000,2000000	91001
27	envoy_5002	10	0	0.070000	item19200000500001,54	item1000,2200000	91001
28	envoy_5002	11	80	0.080000	item19200000500001,81	item1000,2400000	91001
29	envoy_5002	12	0	0.080000	item19200000500001,108	item1000,2600000	91001
30	envoy_5002	13	0	0.080000	item19200000500001,135	item1000,2800000	91001
31	envoy_5002	14	0	0.080000	item19200000500001,162	item1000,3000000	91001
32	envoy_5002	15	0	0.080000			91001
33	envoy_5003	0	0	0.000000	item19200000500001,1	item1000,200000	0
34	envoy_5003	1	0	0.050000	item19200000500001,1	item1000,400000	91001
35	envoy_5003	2	0	0.050000	item19200000500001,2	item1000,600000	91001
36	envoy_5003	3	0	0.050000	item19200000500001,4	item1000,800000	91001
37	envoy_5003	4	0	0.060000	item19200000500001,8	item1000,1000000	91001
38	envoy_5003	5	0	0.060000	item19200000500001,12	item1000,1200000	91001
39	envoy_5003	6	40	0.060000	item19200000500001,18	item1000,1400000	91001
40	envoy_5003	7	0	0.060000	item19200000500001,24	item1000,1600000	91001
41	envoy_5003	8	0	0.070000	item19200000500001,30	item1000,1800000	91001
42	envoy_5003	9	0	0.070000	item19200000500001,36	item1000,2000000	91001
43	envoy_5003	10	0	0.070000	item19200000500001,54	item1000,2200000	91001
44	envoy_5003	11	80	0.080000	item19200000500001,81	item1000,2400000	91001
45	envoy_5003	12	0	0.080000	item19200000500001,108	item1000,2600000	91001
46	envoy_5003	13	0	0.080000	item19200000500001,135	item1000,2800000	91001
47	envoy_5003	14	0	0.080000	item19200000500001,162	item1000,3000000	91001
48	envoy_5003	15	0	0.080000			91001
49	envoy_5004	0	0	0.000000	item19200000500001,1	item1000,200000	0
50	envoy_5004	1	0	0.050000	item19200000500001,1	item1000,400000	91001
51	envoy_5004	2	0	0.050000	item19200000500001,2	item1000,600000	91001
52	envoy_5004	3	0	0.050000	item19200000500001,4	item1000,800000	91001
53	envoy_5004	4	0	0.060000	item19200000500001,8	item1000,1000000	91001
54	envoy_5004	5	0	0.060000	item19200000500001,12	item1000,1200000	91001
55	envoy_5004	6	40	0.060000	item19200000500001,18	item1000,1400000	91001
56	envoy_5004	7	0	0.060000	item19200000500001,24	item1000,1600000	91001
57	envoy_5004	8	0	0.070000	item19200000500001,30	item1000,1800000	91001
58	envoy_5004	9	0	0.070000	item19200000500001,36	item1000,2000000	91001
59	envoy_5004	10	0	0.070000	item19200000500001,54	item1000,2200000	91001
60	envoy_5004	11	80	0.080000	item19200000500001,81	item1000,2400000	91001
61	envoy_5004	12	0	0.080000	item19200000500001,108	item1000,2600000	91001
62	envoy_5004	13	0	0.080000	item19200000500001,135	item1000,2800000	91001
63	envoy_5004	14	0	0.080000	item19200000500001,162	item1000,3000000	91001
64	envoy_5004	15	0	0.080000			91001
65	envoy_5005	0	0	0.000000	item19200000500001,1	item1000,200000	0
66	envoy_5005	1	0	0.050000	item19200000500001,1	item1000,400000	91001
67	envoy_5005	2	0	0.050000	item19200000500001,2	item1000,600000	91001
68	envoy_5005	3	0	0.050000	item19200000500001,4	item1000,800000	91001
69	envoy_5005	4	0	0.060000	item19200000500001,8	item1000,1000000	91001
70	envoy_5005	5	0	0.060000	item19200000500001,12	item1000,1200000	91001
71	envoy_5005	6	40	0.060000	item19200000500001,18	item1000,1400000	91001
72	envoy_5005	7	0	0.060000	item19200000500001,24	item1000,1600000	91001
73	envoy_5005	8	0	0.070000	item19200000500001,30	item1000,1800000	91001
74	envoy_5005	9	0	0.070000	item19200000500001,36	item1000,2000000	91001
75	envoy_5005	10	0	0.070000	item19200000500001,54	item1000,2200000	91001
76	envoy_5005	11	80	0.080000	item19200000500001,81	item1000,2400000	91001
77	envoy_5005	12	0	0.080000	item19200000500001,108	item1000,2600000	91001
78	envoy_5005	13	0	0.080000	item19200000500001,135	item1000,2800000	91001
79	envoy_5005	14	0	0.080000	item19200000500001,162	item1000,3000000	91001
80	envoy_5005	15	0	0.080000			91001
81	envoy_4001	0	0	0.000000	item19200000400001,1	item1000,200000	0
82	envoy_4001	1	0	0.050000	item19200000400001,1	item1000,400000	91002
83	envoy_4001	2	0	0.050000	item19200000400001,2	item1000,600000	91002
84	envoy_4001	3	0	0.050000	item19200000400001,4	item1000,800000	91002
85	envoy_4001	4	0	0.060000	item19200000400001,8	item1000,1000000	91002
86	envoy_4001	5	0	0.060000	item19200000400001,12	item1000,1200000	91002
87	envoy_4001	6	40	0.060000	item19200000400001,18	item1000,1400000	91002
88	envoy_4001	7	0	0.060000	item19200000400001,24	item1000,1600000	91002
89	envoy_4001	8	0	0.070000	item19200000400001,30	item1000,1800000	91002
90	envoy_4001	9	0	0.070000	item19200000400001,36	item1000,2000000	91002
91	envoy_4001	10	0	0.070000			91002
92	envoy_4002	0	0	0.000000	item19200000400001,1	item1000,200000	0
93	envoy_4002	1	0	0.050000	item19200000400001,1	item1000,400000	91002
94	envoy_4002	2	0	0.050000	item19200000400001,2	item1000,600000	91002
95	envoy_4002	3	0	0.050000	item19200000400001,4	item1000,800000	91002
96	envoy_4002	4	0	0.060000	item19200000400001,8	item1000,1000000	91002
97	envoy_4002	5	0	0.060000	item19200000400001,12	item1000,1200000	91002
98	envoy_4002	6	40	0.060000	item19200000400001,18	item1000,1400000	91002
99	envoy_4002	7	0	0.060000	item19200000400001,24	item1000,1600000	91002
100	envoy_4002	8	0	0.070000	item19200000400001,30	item1000,1800000	91002
101	envoy_4002	9	0	0.070000	item19200000400001,36	item1000,2000000	91002
102	envoy_4002	10	0	0.070000			91002
103	envoy_4003	0	0	0.000000	item19200000400001,1	item1000,200000	0
104	envoy_4003	1	0	0.050000	item19200000400001,1	item1000,400000	91002
105	envoy_4003	2	0	0.050000	item19200000400001,2	item1000,600000	91002
106	envoy_4003	3	0	0.050000	item19200000400001,4	item1000,800000	91002
107	envoy_4003	4	0	0.060000	item19200000400001,8	item1000,1000000	91002
108	envoy_4003	5	0	0.060000	item19200000400001,12	item1000,1200000	91002
109	envoy_4003	6	40	0.060000	item19200000400001,18	item1000,1400000	91002
110	envoy_4003	7	0	0.060000	item19200000400001,24	item1000,1600000	91002
111	envoy_4003	8	0	0.070000	item19200000400001,30	item1000,1800000	91002
112	envoy_4003	9	0	0.070000	item19200000400001,36	item1000,2000000	91002
113	envoy_4003	10	0	0.070000			91002
114	envoy_5006	0	0	0.000000	item19200000500001,1	item1000,200000	0
115	envoy_5006	1	0	0.050000	item19200000500001,1	item1000,400000	91001
116	envoy_5006	2	0	0.050000	item19200000500001,2	item1000,600000	91001
117	envoy_5006	3	0	0.050000	item19200000500001,4	item1000,800000	91001
118	envoy_5006	4	0	0.060000	item19200000500001,8	item1000,1000000	91001
119	envoy_5006	5	0	0.060000	item19200000500001,12	item1000,1200000	91001
120	envoy_5006	6	40	0.060000	item19200000500001,18	item1000,1400000	91001
121	envoy_5006	7	0	0.060000	item19200000500001,24	item1000,1600000	91001
122	envoy_5006	8	0	0.070000	item19200000500001,30	item1000,1800000	91001
123	envoy_5006	9	0	0.070000	item19200000500001,36	item1000,2000000	91001
124	envoy_5006	10	0	0.070000	item19200000500001,54	item1000,2200000	91001
125	envoy_5006	11	80	0.080000	item19200000500001,81	item1000,2400000	91001
126	envoy_5006	12	0	0.080000	item19200000500001,108	item1000,2600000	91001
127	envoy_5006	13	0	0.080000	item19200000500001,135	item1000,2800000	91001
128	envoy_5006	14	0	0.080000	item19200000500001,162	item1000,3000000	91001
129	envoy_5006	15	0	0.080000			91001
130	envoy_5007	0	0	0.000000	item19200000500001,1	item1000,200000	0
131	envoy_5007	1	0	0.050000	item19200000500001,1	item1000,400000	91001
132	envoy_5007	2	0	0.050000	item19200000500001,2	item1000,600000	91001
133	envoy_5007	3	0	0.050000	item19200000500001,4	item1000,800000	91001
134	envoy_5007	4	0	0.060000	item19200000500001,8	item1000,1000000	91001
135	envoy_5007	5	0	0.060000	item19200000500001,12	item1000,1200000	91001
136	envoy_5007	6	40	0.060000	item19200000500001,18	item1000,1400000	91001
137	envoy_5007	7	0	0.060000	item19200000500001,24	item1000,1600000	91001
