流水	建设类型	等级	升级消耗资金	维护消耗资金	升级CD秒	升级福利参数	升级福利的描述	升级需求参数	建设图标	公会签到的奖励	公会邮件的次数	公会人数区间	维护消耗资金
int	int	int	int	int	int	string	string	int	string	string	int	string	string
Id	BuildType	Level	BuildCost	MaintenanceCost	UpgradeCD	WelfareParameter	WelfareDes	ConditionParameter	Picture	RegisterReward	MailTimes	MemberRange	GuildMaintenanceCost
1	1	1	3251200	127900	3540	3		2	guildbuild1	item1003,50;item1014,10	1	0,10;11,160	127900,127900
2	1	2	11328800	424700	3540	6		4	guildbuild1	item1003,50;item1014,10	1	0,10;11,160	424700,424700
3	1	3	21241500	663600	7140	9		6	guildbuild2	item1003,50;item1014,10;item100600000004,2	1	0,10;11,160	663600,663600
4	1	4	42483000	796300	10740	12		8	guildbuild2	item1003,50;item1014,10;item100600000004,2	2	0,10;11,160	796300,796300
5	1	5	101959200	929000	14340	15		10	guildbuild3	item1003,50;item1014,10;item100600000004,2	2	0,10;11,160	929000,929000
6	1	6	194208000	1274100	21540	18		12	guildbuild3	item1003,50;item1014,10;item100600000004,2	2	0,10;11,160	1274100,1274100
7	1	7	364140000	1433300	28740	21		14	guildbuild4	item1003,50;item1014,10;item100600000004,2	3	0,10;11,160	1433300,1433300
8	1	8	655452000	1576700	43140	24		16	guildbuild4	item1003,50;item1014,10;item100600000004,2	3	0,10;11,160	1576700,1576700
9	1	9	-1	1720000	-1	27		-1	guildbuild4	item1003,50;item1014,10;item100600000004,2	3	0,10;11,160	1720000,1720000
10	2	0	1018600	11300	3540	60		1	guildbuild11		0	0,10;11,160	11300,11300
11	2	1	2037300	37600	3540	70		2	guildbuild11		0	0,10;11,160	37600,37600
12	2	2	4074700	70500	3540	80		3	guildbuild12		0	0,10;11,160	70500,70500
13	2	3	10696100	112800	3540	100		4	guildbuild13		0	0,10;11,160	112800,112800
14	2	4	22920200	112800	3540	120		5	guildbuild14		0	0,10;11,160	112800,112800
15	2	5	41256500	124100	3540	140		6	guildbuild14		0	0,10;11,160	124100,124100
16	2	6	-1	135400	-1	160		-1	guildbuild14		0	0,10;11,160	135400,135400
17	3	0	1018600	11300	3540	5000000		1	guildbuild21		0	0,10;11,160	11300,11300
18	3	1	2037300	37600	3540	30000000		2	guildbuild21		0	0,10;11,160	37600,37600
19	3	2	4074700	70500	3540	55000000		3	guildbuild22		0	0,10;11,160	70500,70500
20	3	3	10696100	112800	3540	150000000		4	guildbuild23		0	0,10;11,160	112800,112800
21	3	4	22920200	112800	3540	250000000		5	guildbuild24		0	0,10;11,160	112800,112800
22	3	5	41256500	124100	3540	400000000		6	guildbuild24		0	0,10;11,160	124100,124100
23	3	6	-1	135400	-1	850000000		-1	guildbuild24		0	0,10;11,160	135400,135400
24	4	0	1018600	11300	3540	1,2;2,2;3,0;4,0;5,6;6,5	UI_Guild_TrainWelfare2	1	guildbuild31		0	0,10;11,160	11300,11300
25	4	1	2037300	37600	3540	1,3;2,3;3,0;4,0;5,6;6,5	UI_Guild_TrainWelfare3	2	guildbuild31		0	0,10;11,160	37600,37600
26	4	2	4074700	70500	3540	1,3;2,3;3,3;4,0;5,6;6,5	UI_Guild_TrainWelfare4	3	guildbuild32		0	0,10;11,160	70500,70500
27	4	3	10696100	112800	3540	1,3;2,3;3,3;4,3;5,6;6,5	UI_Guild_TrainWelfare5	4	guildbuild33		0	0,10;11,160	112800,112800
28	4	4	22920200	112800	3540	1,3;2,4;3,4;4,4;5,6;6,5	UI_Guild_TrainWelfare6	5	guildbuild34		0	0,10;11,160	112800,112800
29	4	5	41256500	124100	3540	1,3;2,5;3,5;4,5;5,6;6,5	UI_Guild_TrainWelfare7	6	guildbuild34		0	0,10;11,160	124100,124100
30	4	6	-1	135400	-1	1,3;2,6;3,5;4,5;5,6;6,5	UI_Guild_TrainWelfare7	-1	guildbuild34		0	0,10;11,160	135400,135400
