道具ID	类型	熔炼产物
string	int	string
Id	Type	Resolve
item175000120001	1	item1036,5
item175000120002	1	item1036,5
item175000130001	1	item1036,15
item175000130002	1	item1036,15
item175000130003	1	item1036,15
item175000130004	1	item1036,15
item175000130005	1	item1036,15
item175000130006	1	item1036,15
item175000140001	1	item1036,50
item175000140002	1	item1036,50
item175000140003	1	item1036,50
item175000140004	1	item1036,50
item175000140005	1	item1036,50
item175000140006	1	item1036,50
item175000220001	2	item1036,5
item175000220002	2	item1036,5
item175000230001	2	item1036,15
item175000230002	2	item1036,15
item175000230003	2	item1036,15
item175000230004	2	item1036,15
item175000230005	2	item1036,15
item175000230006	2	item1036,15
item175000240001	2	item1036,50
item175000240002	2	item1036,50
item175000240003	2	item1036,50
item175000240004	2	item1036,50
item175000240005	2	item1036,50
item175000240006	2	item1036,50
item175000330001	3	item1036,25
item175000330002	3	item1036,25
item175000330003	3	item1036,25
item175000340001	3	item1036,100
item175000340002	3	item1036,100
