菜道具ID	食物效果类型	属性ID	buff持续时间	显示用buff	盛宴模型	盛宴使用对象	盛宴最多使用人数	盛宴最长留存时间
string	int	int	int	string	string	int	int	int
FoodItemId	FoodType	AttId	PropLifeTime	BuffId	TableModel	WhoCanEat	MaxEatNum	LifeTime
item172000001011	1	1011	1800	activity_buff::buff_food01		0	0	0
item172000001021	1	1021	1800	activity_buff::buff_food01		0	0	0
item172000001031	1	1031	1800	activity_buff::buff_food01		0	0	0
item172000001041	1	1041	1800	activity_buff::buff_food01		0	0	0
item172000001051	1	1051	1800	activity_buff::buff_food01		0	0	0
item172000001061	1	1061	1800	activity_buff::buff_food01		0	0	0
item172000001071	1	1071	1800	activity_buff::buff_food01		0	0	0
item172000005011	1	5011	1800	activity_buff::buff_food01		0	0	0
item172000005021	1	5021	1800	activity_buff::buff_food01		0	0	0
item172000005031	1	5031	1800	activity_buff::buff_food01		0	0	0
item172000005041	1	5041	1800	activity_buff::buff_food01		0	0	0
item172000005051	1	5051	1800	activity_buff::buff_food01		0	0	0
item172000005061	1	5061	1800	activity_buff::buff_food01		0	0	0
item172000005071	1	5071	1800	activity_buff::buff_food01		0	0	0
item172000005081	1	5081	1800	activity_buff::buff_food01		0	0	0
item172000005091	1	5091	1800	activity_buff::buff_food01		0	0	0
item172000005101	1	5101	1800	activity_buff::buff_food01		0	0	0
item172000010011	1	10011	1800	activity_buff::buff_food02		0	0	0
item172000010021	1	10021	1800	activity_buff::buff_food02		0	0	0
item172000010031	1	10031	1800	activity_buff::buff_food02		0	0	0
item172000010041	1	10041	1800	activity_buff::buff_food02		0	0	0
item172000010051	1	10051	1800	activity_buff::buff_food02		0	0	0
item172000010061	1	10061	1800	activity_buff::buff_food02		0	0	0
item172000010071	1	10071	1800	activity_buff::buff_food02		0	0	0
item172000010081	1	10081	1800	activity_buff::buff_food02		0	0	0
item172000010091	1	10091	1800	activity_buff::buff_food02		0	0	0
item172000010101	1	10101	1800	activity_buff::buff_food02		0	0	0
item172000010111	1	10111	1800	activity_buff::buff_food02		0	0	0
item172000010121	1	10121	1800	activity_buff::buff_food02		0	0	0
item172000010131	1	10131	1800	activity_buff::buff_food01		0	0	0
item172000010141	1	10141	1800	activity_buff::buff_food01		0	0	0
item172000010151	1	10151	1800	activity_buff::buff_food02		0	0	0
item172000010161	1	10161	1800	activity_buff::buff_food02		0	0	0
item172000010171	1	10171	1800	activity_buff::buff_food02		0	0	0
item172000015011	1	15011	1800	activity_buff::buff_food02		0	0	0
item172000015021	1	15021	1800	activity_buff::buff_food02		0	0	0
item172000015031	1	15031	1800	activity_buff::buff_food02		0	0	0
item172000015041	1	15041	1800	activity_buff::buff_food02		0	0	0
item172000015051	1	15051	1800	activity_buff::buff_food02		0	0	0
item172000015061	1	15061	1800	activity_buff::buff_food02		0	0	0
item172000015071	1	15071	1800	activity_buff::buff_food02		0	0	0
item172000015081	1	15081	1800	activity_buff::buff_food02		0	0	0
item172000015091	1	15091	1800	activity_buff::buff_food02		0	0	0
item172000015101	1	15101	1800	activity_buff::buff_food02		0	0	0
item172000015111	1	15111	1800	activity_buff::buff_food02		0	0	0
item172000015121	1	15121	1800	activity_buff::buff_food02		0	0	0
item172000015131	1	15131	1800	activity_buff::buff_food02		0	0	0
item172000015141	1	15141	1800	activity_buff::buff_food02		0	0	0
item172000015151	1	15151	1800	activity_buff::buff_food02		0	0	0
item172000015161	1	15161	1800	activity_buff::buff_food01		0	0	0
item172000020011	1	20011	1800	activity_buff::buff_food02		0	0	0
item172000020021	1	20021	1800	activity_buff::buff_food02		0	0	0
item172000020031	1	20031	1800	activity_buff::buff_food02		0	0	0
item172000020041	1	20041	1800	activity_buff::buff_food02		0	0	0
item172000020051	1	20051	1800	activity_buff::buff_food02		0	0	0
item172000020061	1	20061	1800	activity_buff::buff_food02		0	0	0
item172000020071	1	20071	1800	activity_buff::buff_food02		0	0	0
item172000020081	1	20081	1800	activity_buff::buff_food02		0	0	0
item172000020091	1	20091	1800	activity_buff::buff_food02		0	0	0
item172000020101	1	20101	1800	activity_buff::buff_food02		0	0	0
item172000020111	1	20111	1800	activity_buff::buff_food02		0	0	0
item172000020121	1	20121	1800	activity_buff::buff_food02		0	0	0
item172000020131	1	20131	1800	activity_buff::buff_food02		0	0	0
item172000020141	1	20141	1800	activity_buff::buff_food02		0	0	0
item172000020151	1	20151	1800	activity_buff::buff_food02		0	0	0
item172000020161	1	20161	1800	activity_buff::buff_food02		0	0	0
item172000020171	1	20171	1800	activity_buff::buff_food02		0	0	0
item172000020181	1	20181	1800	activity_buff::buff_food02		0	0	0
item172000020191	1	20191	1800	activity_buff::buff_food01		0	0	0
item172000001012	1	1012	1800	activity_buff::buff_food01		0	0	0
item172000001022	1	1022	1800	activity_buff::buff_food01		0	0	0
item172000001032	1	1032	1800	activity_buff::buff_food01		0	0	0
item172000001042	1	1042	1800	activity_buff::buff_food01		0	0	0
item172000001052	1	1052	1800	activity_buff::buff_food01		0	0	0
item172000001062	1	1062	1800	activity_buff::buff_food01		0	0	0
item172000001072	1	1072	1800	activity_buff::buff_food01		0	0	0
item172000005012	1	5012	1800	activity_buff::buff_food01		0	0	0
item172000005022	1	5022	1800	activity_buff::buff_food01		0	0	0
item172000005032	1	5032	1800	activity_buff::buff_food01		0	0	0
item172000005042	1	5042	1800	activity_buff::buff_food01		0	0	0
item172000005052	1	5052	1800	activity_buff::buff_food01		0	0	0
item172000005062	1	5062	1800	activity_buff::buff_food01		0	0	0
item172000005072	1	5072	1800	activity_buff::buff_food01		0	0	0
item172000005082	1	5082	1800	activity_buff::buff_food01		0	0	0
item172000005092	1	5092	1800	activity_buff::buff_food01		0	0	0
item172000005102	1	5102	1800	activity_buff::buff_food01		0	0	0
item172000010012	1	10012	1800	activity_buff::buff_food02		0	0	0
item172000010022	1	10022	1800	activity_buff::buff_food02		0	0	0
item172000010032	1	10032	1800	activity_buff::buff_food02		0	0	0
item172000010042	1	10042	1800	activity_buff::buff_food02		0	0	0
item172000010052	1	10052	1800	activity_buff::buff_food02		0	0	0
item172000010062	1	10062	1800	activity_buff::buff_food02		0	0	0
item172000010072	1	10072	1800	activity_buff::buff_food02		0	0	0
item172000010082	1	10082	1800	activity_buff::buff_food02		0	0	0
item172000010092	1	10092	1800	activity_buff::buff_food02		0	0	0
item172000010102	1	10102	1800	activity_buff::buff_food02		0	0	0
item172000010112	1	10112	1800	activity_buff::buff_food02		0	0	0
item172000010122	1	10122	1800	activity_buff::buff_food02		0	0	0
item172000010132	1	10132	1800	activity_buff::buff_food01		0	0	0
item172000010142	1	10142	1800	activity_buff::buff_food01		0	0	0
item172000010152	1	10152	1800	activity_buff::buff_food02		0	0	0
item172000010162	1	10162	1800	activity_buff::buff_food02		0	0	0
item172000010172	1	10172	1800	activity_buff::buff_food02		0	0	0
item172000015012	1	15012	1800	activity_buff::buff_food02		0	0	0
item172000015022	1	15022	1800	activity_buff::buff_food02		0	0	0
item172000015032	1	15032	1800	activity_buff::buff_food02		0	0	0
item172000015042	1	15042	1800	activity_buff::buff_food02		0	0	0
item172000015052	1	15052	1800	activity_buff::buff_food02		0	0	0
item172000015062	1	15062	1800	activity_buff::buff_food02		0	0	0
item172000015072	1	15072	1800	activity_buff::buff_food02		0	0	0
item172000015082	1	15082	1800	activity_buff::buff_food02		0	0	0
item172000015092	1	15092	1800	activity_buff::buff_food02		0	0	0
item172000015102	1	15102	1800	activity_buff::buff_food02		0	0	0
item172000015112	1	15112	1800	activity_buff::buff_food02		0	0	0
item172000015122	1	15122	1800	activity_buff::buff_food02		0	0	0
item172000015132	1	15132	1800	activity_buff::buff_food02		0	0	0
item172000015142	1	15142	1800	activity_buff::buff_food02		0	0	0
item172000015152	1	15152	1800	activity_buff::buff_food02		0	0	0
item172000015162	1	15162	1800	activity_buff::buff_food01		0	0	0
item172000020012	1	20012	1800	activity_buff::buff_food02		0	0	0
item172000020022	1	20022	1800	activity_buff::buff_food02		0	0	0
item172000020032	1	20032	1800	activity_buff::buff_food02		0	0	0
item172000020042	1	20042	1800	activity_buff::buff_food02		0	0	0
item172000020052	1	20052	1800	activity_buff::buff_food02		0	0	0
item172000020062	1	20062	1800	activity_buff::buff_food02		0	0	0
item172000020072	1	20072	1800	activity_buff::buff_food02		0	0	0
item172000020082	1	20082	1800	activity_buff::buff_food02		0	0	0
item172000020092	1	20092	1800	activity_buff::buff_food02		0	0	0
item172000020102	1	20102	1800	activity_buff::buff_food02		0	0	0
item172000020112	1	20112	1800	activity_buff::buff_food02		0	0	0
item172000020122	1	20122	1800	activity_buff::buff_food02		0	0	0
item172000020132	1	20132	1800	activity_buff::buff_food02		0	0	0
item172000020142	1	20142	1800	activity_buff::buff_food02		0	0	0
item172000020152	1	20152	1800	activity_buff::buff_food02		0	0	0
item172000020162	1	20162	1800	activity_buff::buff_food02		0	0	0
item172000020172	1	20172	1800	activity_buff::buff_food02		0	0	0
item172000020182	1	20182	1800	activity_buff::buff_food02		0	0	0
