奖励ID	任务类型	任务目标	奖励	任务描述
int	int	string	string	string
RewardID	ActiveType	TaskTarget	Reward	Desc
1	1	1	item100000000006,1;item1014,50	Companionably_Invitereward_Playercount
2	1	3	item100000000006,3;item1014,50	Companionably_Invitereward_Playercount
3	1	4	item100000000006,5;item1014,100;item105000000029,2	Companionably_Invitereward_Playercount
4	2	1	item100000000006,1;item1014,50	Companionably_Invitereward_Continue
5	2	3	item100000000006,3;item1014,50	Companionably_Invitereward_Continue
6	2	7	item100000000006,5;item1014,100;item105000000029,3	Companionably_Invitereward_Continue
7	3	20	item100000000006,1;item101040101015,5	Companionably_Invitereward_Activation
8	3	100	item100000000006,3;item101040101015,10	Companionably_Invitereward_Activation
9	3	300	item100000000006,5;item105000000030,30;item161000000001,3	Companionably_Invitereward_Activation
10	3	600	item100000000006,10;item105000000030,50;item161000000002,2	Companionably_Invitereward_Activation
11	4	1,2000	item100000000006,5;item107200042001,10	Companionably_Invitereward_Effectiveness
12	4	1,30000	item100000000006,8;item107200042001,20	Companionably_Invitereward_Effectiveness
13	4	1,60000	item100000000000,1;item107200051001,10;item105000000074,1	Companionably_Invitereward_Effectiveness
14	4	1,80000	item100000000000,3;item107200052001,10;item101020507323,1	Companionably_Invitereward_Effectiveness
15	4	1,100000	item100000000000,5;item107200053001,15;item90000000125,1	Companionably_Invitereward_Effectiveness
