编号	等级	部位	限制等级	消耗道具	道具数量	消耗道具2	货币类型	货币数量	属性加成	战力类型	战力计算	一键加持组
int	int	int	int	string	int	string	int	int	string	int	int	int
ID	StrengthenLevel	EquipPart	LimitLevel	CostItem	ItemNum	CostOtherItem	CostCurrencyType	CostCurrenyNum	PropValueId	CPType	CPValue	StrengthenGroup
1	0	1	0		0		0	0		1	6	1
2	1	1	1	item103010121003	1		1	1000	1100001001	1	6	1
3	2	1	1	item103010121003	1		1	2000	1100001002	1	6	1
4	3	1	1	item103010121003	1		1	3000	1100001003	1	6	1
5	4	1	1	item103010121003	1		1	4000	1100001004	1	6	1
6	5	1	1	item103010121003	1		1	5000	1100001005	1	6	1
7	6	1	1	item103010121003	2		1	6000	1100001006	1	6	1
8	7	1	1	item103010121003	2		1	7000	1100001007	1	6	1
9	8	1	1	item103010121003	2		1	8000	1100001008	1	6	1
10	9	1	1	item103010121003	2		1	9000	1100001009	1	6	1
11	10	1	1	item103010121003	2		1	10000	1100001010	1	6	1
12	11	1	1	item103010121003	3		1	11000	1100001011	1	6	1
13	12	1	1	item103010121003	3		1	12000	1100001012	1	6	1
14	13	1	1	item103010121003	3		1	13000	1100001013	1	6	1
15	14	1	1	item103010121003	3		1	14000	1100001014	1	6	1
16	15	1	1	item103010121003	3		1	15000	1100001015	1	6	1
17	16	1	1	item103010121003	4		1	16000	1100001016	1	6	1
18	17	1	1	item103010121003	4		1	17000	1100001017	1	6	1
19	18	1	1	item103010121003	4		1	18000	1100001018	1	6	1
20	19	1	1	item103010121003	4		1	19000	1100001019	1	6	1
21	20	1	1	item103010121003	4		1	20000	1100001020	1	6	1
22	21	1	20	item103010121004	1		1	21000	1100001021	1	6	2
23	22	1	20	item103010121004	1		1	22000	1100001022	1	6	2
24	23	1	20	item103010121004	1		1	23000	1100001023	1	6	2
25	24	1	20	item103010121004	1		1	24000	1100001024	1	6	2
26	25	1	20	item103010121004	1		1	25000	1100001025	1	6	2
27	26	1	20	item103010121004	2		1	26000	1100001026	1	6	2
28	27	1	20	item103010121004	2		1	27000	1100001027	1	6	2
29	28	1	20	item103010121004	2		1	28000	1100001028	1	6	2
30	29	1	20	item103010121004	2		1	29000	1100001029	1	6	2
31	30	1	20	item103010121004	2		1	30000	1100001030	1	6	2
32	31	1	30	item103010121004	3		1	31000	1100001031	1	6	2
33	32	1	30	item103010121004	3		1	32000	1100001032	1	6	2
34	33	1	30	item103010121004	3		1	33000	1100001033	1	6	2
35	34	1	30	item103010121004	3		1	34000	1100001034	1	6	2
36	35	1	30	item103010121004	3		1	35000	1100001035	1	6	2
37	36	1	30	item103010121004	4		1	36000	1100001036	1	6	2
38	37	1	30	item103010121004	4		1	37000	1100001037	1	6	2
39	38	1	30	item103010121004	4		1	38000	1100001038	1	6	2
40	39	1	30	item103010121004	4		1	39000	1100001039	1	6	2
41	40	1	30	item103010121004	4		1	40000	1100001040	1	6	2
42	41	1	35	item103010121005	1		1	41000	1100001041	1	6	3
43	42	1	35	item103010121005	1		1	42000	1100001042	1	6	3
44	43	1	35	item103010121005	1		1	43000	1100001043	1	6	3
45	44	1	35	item103010121005	1		1	44000	1100001044	1	6	3
46	45	1	35	item103010121005	1		1	45000	1100001045	1	6	3
47	46	1	35	item103010121005	2		1	46000	1100001046	1	6	3
48	47	1	35	item103010121005	2		1	47000	1100001047	1	6	3
49	48	1	35	item103010121005	2		1	48000	1100001048	1	6	3
50	49	1	35	item103010121005	2		1	49000	1100001049	1	6	3
51	50	1	35	item103010121005	2		1	50000	1100001050	1	6	3
52	51	1	45	item103010121005	3		1	51000	1100001051	1	6	3
53	52	1	45	item103010121005	3		1	52000	1100001052	1	6	3
54	53	1	45	item103010121005	3		1	53000	1100001053	1	6	3
55	54	1	45	item103010121005	3		1	54000	1100001054	1	6	3
56	55	1	45	item103010121005	3		1	55000	1100001055	1	6	3
57	56	1	45	item103010121005	4		1	56000	1100001056	1	6	3
58	57	1	45	item103010121005	4		1	57000	1100001057	1	6	3
59	58	1	45	item103010121005	4		1	58000	1100001058	1	6	3
60	59	1	45	item103010121005	4		1	59000	1100001059	1	6	3
61	60	1	45	item103010121005	4		1	60000	1100001060	1	6	3
62	61	1	50	item103010121006	1		1	61000	1100001061	1	6	4
63	62	1	50	item103010121006	1		1	62000	1100001062	1	6	4
64	63	1	50	item103010121006	1		1	63000	1100001063	1	6	4
65	64	1	50	item103010121006	1		1	64000	1100001064	1	6	4
66	65	1	50	item103010121006	1		1	65000	1100001065	1	6	4
67	66	1	50	item103010121006	2		1	66000	1100001066	1	6	4
68	67	1	50	item103010121006	2		1	67000	1100001067	1	6	4
69	68	1	50	item103010121006	2		1	68000	1100001068	1	6	4
70	69	1	50	item103010121006	2		1	69000	1100001069	1	6	4
71	70	1	50	item103010121006	2		1	70000	1100001070	1	6	4
72	71	1	60	item103010121006	3		1	71000	1100001071	1	6	4
73	72	1	60	item103010121006	3		1	72000	1100001072	1	6	4
74	73	1	60	item103010121006	3		1	73000	1100001073	1	6	4
75	74	1	60	item103010121006	3		1	74000	1100001074	1	6	4
76	75	1	60	item103010121006	3		1	75000	1100001075	1	6	4
77	76	1	60	item103010121006	4		1	76000	1100001076	1	6	4
78	77	1	60	item103010121006	4		1	77000	1100001077	1	6	4
79	78	1	60	item103010121006	4		1	78000	1100001078	1	6	4
80	79	1	60	item103010121006	4		1	79000	1100001079	1	6	4
81	80	1	60	item103010121006	4		1	80000	1100001080	1	6	4
82	81	1	65	item103010121007	1		1	81000	1100001081	1	6	5
83	82	1	65	item103010121007	1		1	82000	1100001082	1	6	5
84	83	1	65	item103010121007	1		1	83000	1100001083	1	6	5
85	84	1	65	item103010121007	1		1	84000	1100001084	1	6	5
86	85	1	65	item103010121007	1		1	85000	1100001085	1	6	5
87	86	1	65	item103010121007	2		1	86000	1100001086	1	6	5
88	87	1	65	item103010121007	2		1	87000	1100001087	1	6	5
89	88	1	65	item103010121007	2		1	88000	1100001088	1	6	5
90	89	1	65	item103010121007	2		1	89000	1100001089	1	6	5
91	90	1	65	item103010121007	2		1	90000	1100001090	1	6	5
92	91	1	70	item103010121007	3		1	91000	1100001091	1	6	5
93	92	1	70	item103010121007	3		1	92000	1100001092	1	6	5
94	93	1	70	item103010121007	3		1	93000	1100001093	1	6	5
95	94	1	70	item103010121007	3		1	94000	1100001094	1	6	5
