星座ID	星座名	星痕简体描述	星座概要描述	星痕下方的展示奖励	首通奖励	首通奖励展示	通关奖励	通关奖励展示	未通关星座图	已通关星座图	地表特效	地表特效偏移	最小携带佣兵数量	关联星域星座表头	关联任务描述	挑战星痕限制时长	挑战星痕限制等级
int	string	string	string	string	string	string	string	string	string	string	int	string	int	string	string	int	int
StarTraceId	StarName	StarSimpleName	StarDescribe	Reward	FirstRewards	FirstRewardsShow	PassRewards	PassRewardsShow	StarPic	StarPicPassed	FloorEffectId	FloorEffectPos	MinSoldierNum	StarTitle	StarDes	StartraceTimes	StartraceLev
1	Star_Aries	StarSimple_Aries	Star_Aries_des	item105000000054	item1000,25000;item105000000030,5;item105000000054,1	item1000,25000;item105000000030,5;item105000000054,1	item1000,8000;item1026,5;item105000000030,1;item2001,500;item106030101215,1;item106030101222,1	item1000,8000;item1026,5;item105000000030,1;item2001,500	icon_aries_down	icon_aries_up	10000054	0,-4,0	1	Star_Aries	StarStr	30	14
2	Star_Taurus	StarSimple_Taurus	Star_Taurus_des	item105000000029	item1000,30000;item105000000029,1;item105000000030,3	item1000,30000;item105000000029,1;item105000000030,3	item1000,10000;item1026,5;item105000000030,1;item2001,1500;item106030101215,1;item106030101222,1	item1000,10000;item1026,5;item105000000030,1;item2001,1500	icon_taurus_down	icon_taurus_up	10000055	0,-4,0	1	Star_Taurus	StarStr	30	18
3	Star_Gemini	StarSimple_Gemini	Star_Gemini_des	item105000000029	item1000,35000;item105000000029,1;item105000000030,3	item1000,35000;item105000000029,1;item105000000030,3	item1000,12000;item1026,5;item105000000030,1;item2001,2500;item106030101215,1;item106030101222,1	item1000,12000;item1026,5;item105000000030,1;item2001,2500	icon_gemini_down	icon_gemini_up	10000056	0,-4,0	1	Star_Gemini	StarStr	30	18
4	Star_Cancer	StarSimple_Cancer	Star_Cancer_des	item105000000029	item1000,40000;item105000000029,1;item105000000030,3	item1000,40000;item105000000029,1;item105000000030,3	item1000,14000;item1026,5;item105000000030,1;item2001,2500;item106030101215,1;item106030101222,1	item1000,14000;item1026,5;item105000000030,1;item2001,2500	icon_cancer_down	icon_cancer_up	10000057	0,-4,0	1	Star_Cancer	StarStr	50	20
5	Star_Leo	StarSimple_Leo	Star_Leo_des	item105000000029	item1000,45000;item105000000029,1;item105000000030,3	item1000,45000;item105000000029,1;item105000000030,3	item1000,16000;item1026,5;item105000000030,1;item2001,4500;item106030101222,1	item1000,16000;item1026,5;item105000000030,1;item2001,4500	icon_leo_down	icon_leo_up	10000058	0,-4,0	1	Star_Leo	StarStr	50	20
6	Star_Virgo	StarSimple_Virgo	Star_Virgo_des	item105000000029	item1000,50000;item105000000029,1;item105000000030,3	item1000,50000;item105000000029,1;item105000000030,3	item1000,18000;item1026,5;item105000000030,1;item2001,5500;item106030101222,1	item1000,18000;item1026,5;item105000000030,1;item2001,5500	icon_virgo_down	icon_virgo_up	10000059	0,-4,0	1	Star_Virgo	StarStr	50	22
7	Star_Libra	StarSimple_Libra	Star_Libra_des	item105000000029	item1000,55000;item105000000029,1;item105000000030,3	item1000,55000;item105000000029,1;item105000000030,3	item1000,20000;item1026,5;item105000000030,1;item2001,6500;item106030101222,1	item1000,20000;item1026,5;item105000000030,1;item2001,6500	icon_libra_down	icon_libra_up	10000060	0,-4,0	1	Star_Libra	StarStr	60	22
8	Star_Scorpio	StarSimple_Scorpio	Star_Scorpio_des	item105000000029	item1000,60000;item105000000029,1;item105000000030,3	item1000,60000;item105000000029,1;item105000000030,3	item1000,22000;item1026,5;item105000000030,1;item2001,7500;item106030101222,1	item1000,22000;item1026,5;item105000000030,1;item2001,7500	icon_scorpio_down	icon_scorpio_up	10000061	0,-4,0	1	Star_Scorpio	StarStr	60	22
