任务ID	任务组	章节ID	奖励ID	奖励道具
int	int	int	int	string
taskID	TaskGroup	ChapterId	RewardsID	Rewards
591010	591010	1	100001	item10000000001,20000;item1000,100000
591020	591020	1	100002	item10000000001,50000;item1000,200000
591030	591020	1	100003	item10000000001,50000;item1000,200000
591040	591020	1	100004	item10000000001,50000;item1000,200000
591050	591050	1	100005	item10000000001,50000;item1000,200000
591060	591060	1	100006	item230000000121,1;item10000000001,200000;item1000,500000
591070	591070	2	100007	item10000000001,20000;item1000,100000
591080	591080	2	100008	item10000000001,50000;item1000,200000
591090	591090	2	100009	item10000000001,50000;item1000,200000
591100	591100	2	100010	item10000000001,50000;item1000,200000
591110	591110	2	100011	item10000000001,50000;item1000,200000
591120	591120	2	100012	item10000000001,20000;item1000,100000
591130	591130	2	100013	item10000000001,50000;item1000,200000
591140	591140	2	100014	item10000000001,20000;item1000,100000
591150	591150	2	100015	item10000000001,20000;item1000,100000
591160	591160	2	100016	item10000000001,20000;item1000,100000
591170	591170	2	100017	item230000000124,1;item10000000001,200000;item1000,500000
591180	591180	3	100018	item10000000001,20000;item1000,100000
591190	591190	3	100019	item10000000001,50000;item1000,200000
591200	591200	3	100020	item10000000001,50000;item1000,200000
591210	591210	3	100021	item10000000001,50000;item1000,200000
591220	591220	3	100022	item10000000001,20000;item1000,100000
591230	591230	3	100023	item10000000001,20000;item1000,100000
591240	591240	3	100024	item10000000001,20000;item1000,100000
591250	591250	3	100025	item10000000001,20000;item1000,100000
591260	591260	3	100026	item10000000001,50000;item1000,200000
591270	591270	3	100027	item10000000001,20000;item1000,100000
591280	591280	3	100028	item230000000122,1;item10000000001,200000;item1000,500000
591290	591290	4	100029	item10000000001,20000;item1000,100000
591300	591300	4	100030	item10000000001,20000;item1000,100000
591310	591310	4	100031	item10000000001,100000;item1000,300000
591320	591320	4	100032	item10000000001,20000;item1000,100000
591330	591330	4	100033	item10000000001,100000;item1000,300000
591400	591400	4	100034	item230000000123,1;item10000000001,200000;item1000,500000
