流水ID	掉落库ID	等级	权重
int	int	int	int
Id	DropBoxId	Level	Weight
1	202001	1	100
2	202001	2	100
3	203001	1	100
4	204001	1	100
5	302001	1	100
6	302001	2	100
7	302001	3	100
8	303001	1	100
9	304001	1	100
10	402001	1	100
11	402001	2	100
12	402001	3	100
13	402001	4	100
14	403001	1	90
15	403001	2	10
16	403002	2	100
17	404001	1	100
18	502001	1	100
19	502001	2	100
20	502001	3	100
21	502001	4	100
22	502001	5	100
23	503001	1	85
24	503001	2	15
25	503002	2	100
26	504001	1	100
27	602001	1	100
28	602001	2	100
29	602001	3	100
30	602001	4	100
31	602001	5	100
32	602001	6	100
33	603001	1	80
34	603001	2	20
35	603002	2	100
36	604001	1	100
37	702001	1	100
38	702001	2	100
39	702001	3	100
40	702001	4	100
41	702001	5	100
42	702001	6	100
43	702001	7	100
44	703001	1	80
45	703001	2	20
46	703002	2	100
47	704001	1	100
48	802001	1	100
49	802001	2	100
50	802001	3	100
51	802001	4	100
52	802001	5	100
53	802001	6	100
54	802001	7	100
55	802001	8	100
56	803001	1	80
57	803001	2	20
58	803002	2	100
59	804001	1	100
60	902001	1	100
61	902001	2	100
62	902001	3	100
63	902001	4	100
64	902001	5	100
65	902001	6	100
66	902001	7	100
67	902001	8	100
68	902001	9	100
69	903001	1	80
70	903001	2	20
71	903002	2	100
72	904001	1	100
73	1002001	1	100
74	1002001	2	100
75	1002001	3	100
76	1002001	4	100
77	1002001	5	100
78	1002001	6	100
79	1002001	7	100
80	1002001	8	100
81	1002001	9	100
82	1002001	10	100
83	1003001	1	80
84	1003001	2	20
85	1003002	2	100
86	1004001	1	100
87	1102001	1	100
88	1102001	2	100
89	1102001	3	100
90	1102001	4	100
91	1102001	5	100
92	1102001	6	100
93	1102001	7	100
94	1102001	8	100
95	1102001	9	100
96	1102001	10	100
97	1102001	11	100
98	1202001	1	100
99	1202001	2	100
100	1202001	3	100
101	1202001	4	100
102	1202001	5	100
103	1202001	6	100
104	1202001	7	100
105	1202001	8	100
106	1202001	9	100
107	1202001	10	100
108	1202001	11	100
109	1202001	12	100
110	1302001	1	100
111	1302001	2	100
112	1302001	3	100
113	1302001	4	100
114	1302001	5	100
115	1302001	6	100
116	1302001	7	100
117	1302001	8	100
118	1302001	9	100
119	1302001	10	100
120	1302001	11	100
121	1302001	12	100
122	1302001	13	100
