流水号	星灵ID	蕴养类型	蕴养等级	属性加成	需要经验	评分类型	值/公式
int	int	int	int	int	int	int	int
Id	StarSoulId	StarSpirtType	StarSpirtLevel	StarSpirtProp	StarSpirtCost	CPType	CPValue
1	170000001	1	0	0	400	1	6
2	170000001	1	1	400	1200	1	6
3	170000001	1	2	800	2000	1	6
4	170000001	1	3	1200	2800	1	6
5	170000001	1	4	1600	3600	1	6
6	170000001	1	5	2000	4400	1	6
7	170000001	1	6	2400	5200	1	6
8	170000001	1	7	2800	6000	1	6
9	170000001	1	8	3200	6800	1	6
10	170000001	1	9	3600	7600	1	6
11	170000001	1	10	4000	8400	1	6
12	170000001	1	11	4400	9200	1	6
13	170000001	1	12	4800	10000	1	6
14	170000001	1	13	5200	10800	1	6
15	170000001	1	14	5600	11600	1	6
16	170000001	1	15	6000	12400	1	6
17	170000001	1	16	6400	13200	1	6
18	170000001	1	17	6800	14000	1	6
19	170000001	1	18	7200	14800	1	6
20	170000001	1	19	7600	15600	1	6
21	170000001	1	20	8000	16400	1	6
22	170000001	1	21	8400	17200	1	6
23	170000001	1	22	8800	18000	1	6
24	170000001	1	23	9200	18800	1	6
25	170000001	1	24	9600	19600	1	6
26	170000001	1	25	10000	0	1	6
27	170000001	2	0	0	400	1	6
28	170000001	2	1	400	1200	1	6
29	170000001	2	2	800	2000	1	6
30	170000001	2	3	1200	2800	1	6
31	170000001	2	4	1600	3600	1	6
32	170000001	2	5	2000	4400	1	6
33	170000001	2	6	2400	5200	1	6
34	170000001	2	7	2800	6000	1	6
35	170000001	2	8	3200	6800	1	6
36	170000001	2	9	3600	7600	1	6
37	170000001	2	10	4000	8400	1	6
38	170000001	2	11	4400	9200	1	6
39	170000001	2	12	4800	10000	1	6
40	170000001	2	13	5200	10800	1	6
41	170000001	2	14	5600	11600	1	6
42	170000001	2	15	6000	12400	1	6
43	170000001	2	16	6400	13200	1	6
44	170000001	2	17	6800	14000	1	6
45	170000001	2	18	7200	14800	1	6
46	170000001	2	19	7600	15600	1	6
47	170000001	2	20	8000	16400	1	6
48	170000001	2	21	8400	17200	1	6
49	170000001	2	22	8800	18000	1	6
50	170000001	2	23	9200	18800	1	6
51	170000001	2	24	9600	19600	1	6
52	170000001	2	25	10000	0	1	6
53	170000002	1	0	0	400	1	6
54	170000002	1	1	400	1200	1	6
55	170000002	1	2	800	2000	1	6
56	170000002	1	3	1200	2800	1	6
57	170000002	1	4	1600	3600	1	6
58	170000002	1	5	2000	4400	1	6
59	170000002	1	6	2400	5200	1	6
60	170000002	1	7	2800	6000	1	6
61	170000002	1	8	3200	6800	1	6
62	170000002	1	9	3600	7600	1	6
63	170000002	1	10	4000	8400	1	6
64	170000002	1	11	4400	9200	1	6
