奖励参数	体力消耗参数	参数类型	奖励系数值
int	float	float	float
RewadPara	EnergyPara	ParaType	ParaValue
101	1.000000	1.000000	1.000000
102	1.000000	1.000000	1.000000
103	1.000000	1.000000	1.000000
104	1.200000	1.000000	1.200000
105	1.500000	1.000000	1.500000
106	2.000000	1.000000	2.000000
107	2.000000	1.000000	2.000000
108	2.000000	1.000000	2.000000
10101	1.000000	2.000000	1.000000
10102	1.000000	2.000000	1.000000
10103	1.000000	2.000000	1.000000
10104	1.000000	2.000000	1.000000
10105	1.000000	2.000000	1.000000
10201	1.000000	2.000000	1.000000
10202	1.000000	2.000000	1.000000
10203	1.000000	2.000000	1.000000
10204	1.000000	2.000000	1.000000
10205	1.000000	2.000000	1.000000
10301	1.000000	2.000000	1.000000
10302	1.000000	2.000000	1.000000
10303	1.000000	2.000000	1.000000
10304	1.000000	2.000000	1.000000
10305	1.000000	2.000000	1.000000
10401	1.000000	2.000000	1.000000
10402	1.000000	2.000000	1.000000
10403	1.000000	2.000000	1.000000
10404	1.000000	2.000000	1.000000
10405	1.000000	2.000000	1.000000
10501	1.000000	2.000000	1.000000
10502	1.000000	2.000000	1.000000
10503	1.000000	2.000000	1.000000
10504	1.000000	2.000000	1.000000
10505	1.000000	2.000000	1.000000
10601	1.000000	2.000000	1.000000
10602	1.000000	2.000000	1.000000
10603	1.000000	2.000000	1.000000
10604	1.000000	2.000000	1.000000
10605	1.000000	2.000000	1.000000
10701	1.000000	2.000000	1.000000
10702	1.000000	2.000000	1.000000
10703	1.000000	2.000000	1.000000
10704	1.000000	2.000000	1.000000
10705	1.000000	2.000000	1.000000
10801	1.000000	2.000000	1.000000
10802	1.000000	2.000000	1.000000
10803	1.000000	2.000000	1.000000
10804	1.000000	2.000000	1.000000
10805	1.000000	2.000000	1.000000
10806	1.000000	2.000000	1.000000
10807	1.000000	2.000000	1.000000
10808	1.000000	2.000000	1.000000
10809	1.000000	2.000000	1.000000
10810	1.000000	2.000000	1.000000
10811	1.000000	2.000000	1.000000
10812	1.000000	2.000000	1.000000
10813	1.000000	2.000000	1.000000
10814	1.000000	2.000000	1.000000
10815	1.000000	2.000000	1.000000
10816	1.000000	2.000000	1.000000
10817	1.000000	2.000000	1.000000
10818	1.000000	2.000000	1.000000
10819	1.000000	2.000000	1.000000
10820	1.000000	2.000000	1.000000
10821	1.000000	2.000000	1.000000
10822	1.000000	2.000000	1.000000
10823	1.000000	2.000000	1.000000
10824	1.000000	2.000000	1.000000
10825	1.000000	2.000000	1.000000
10826	1.000000	2.000000	1.000000
10827	1.000000	2.000000	1.000000
10828	1.000000	2.000000	1.000000
10829	1.000000	2.000000	1.000000
10830	1.000000	2.000000	1.000000
10831	1.000000	2.000000	1.000000
10832	1.000000	2.000000	1.000000
10833	1.000000	2.000000	1.000000
1	1.000000	3.000000	1.000000
2	1.000000	3.000000	1.000000
3	1.000000	3.000000	1.000000
4	1.000000	3.000000	1.000000
5	1.000000	3.000000	1.000000
6	1.000000	3.000000	1.000000
7	1.000000	3.000000	1.000000
8	1.000000	3.000000	1.000000
9	1.000000	3.000000	1.000000
10	1.000000	3.000000	1.000000
11	1.000000	3.000000	1.000000
12	1.000000	3.000000	1.000000
13	1.000000	3.000000	1.000000
14	1.000000	3.000000	1.000000
15	2.000000	3.000000	2.000000
