流水ID	活动ID	参数	单次完美找回奖励预览	单次完美找回单价	单次普通找回奖励预览	单次普通找回单价	可找回条件	开启找回等级条件
int	int	int	string	string	string	string	int	int
Id	FuncId	Parameter	OncePerfectAwardShow	OncePerfectUnivalence	OnceGeneralAwardShow	OnceGeneralUnivalence	GetbackCondition	GetBackLevel
1	145	1	item1000,1;item107210020001,1;item107999900001,1	15,3	item1000,1;item107210020001,1;item107999900001,1	1,60000	0	0
2	145	2	item1000,1;item107210020001,1;item107999900001,1	15,3	item1000,1;item107210020001,1;item107999900001,1	1,60000	0	0
3	145	3	item1000,1;item107210030001,1;item107210020001,1;item107999900001,1	15,3	item1000,1;item107210030001,1;item107210020001,1;item107999900001,1	1,60000	0	0
4	145	4	item1000,1;item107200041001,1;item107210030001,1;item107210020001,1;item107999900001,1	15,3	item1000,1;item107200041001,1;item107210030001,1;item107210020001,1;item107999900001,1	1,60000	0	0
5	145	5	item1000,1;item107200041001,1;item107210030001,1;item107999900001,1	15,3	item1000,1;item107200041001,1;item107210030001,1;item107999900001,1	1,60000	0	0
6	145	6	item1000,1;item107200041001,1;item107210041001,1;item107210030001,1;item107999900001,1	15,3	item1000,1;item107200041001,1;item107210041001,1;item107210030001,1;item107999900001,1	1,60000	0	0
7	145	7	item1000,1;item107200041001,1;item107210041001,1;item107210030001,1;item107999900001,1	15,3	item1000,1;item107200041001,1;item107210041001,1;item107210030001,1;item107999900001,1	1,60000	0	0
8	145	8	item1000,1;item107200041001,1;item107210041001,1;item107210030001,1;item107999900001,1	15,3	item1000,1;item107200041001,1;item107210041001,1;item107210030001,1;item107999900001,1	1,60000	0	0
9	145	9	item1000,1;item107200041001,1;item107210041001,1;item107210030001,1;item107999900001,1	15,3	item1000,1;item107200041001,1;item107210041001,1;item107210030001,1;item107999900001,1	1,60000	0	0
10	145	10	item1000,1;item107200041001,1;item107210041001,1;item107210030001,1;item107999900001,1	15,3	item1000,1;item107200041001,1;item107210041001,1;item107210030001,1;item107999900001,1	1,60000	0	0
11	145	11	item1000,1;item107200041001,1;item107210041001,1;item107210030001,1;item107999900001,1	15,3	item1000,1;item107200041001,1;item107210041001,1;item107210030001,1;item107999900001,1	1,60000	0	0
12	145	12	item1000,1;item107200041001,1;item107210041001,1;item107210030001,1;item107999900001,1	15,3	item1000,1;item107200041001,1;item107210041001,1;item107210030001,1;item107999900001,1	1,60000	0	0
13	145	13	item1000,1;item107200041001,1;item107210041001,1;item107210030001,1;item107999900001,1	15,3	item1000,1;item107200041001,1;item107210041001,1;item107210030001,1;item107999900001,1	1,60000	0	0
14	145	14	item1000,1;item107200041001,1;item107210041001,1;item107210030001,1;item107999900001,1	15,3	item1000,1;item107200041001,1;item107210041001,1;item107210030001,1;item107999900001,1	1,60000	0	0
15	145	15	item1000,1;item107200041001,1;item107210041001,1;item107210030001,1;item107999900001,1	15,3	item1000,1;item107200041001,1;item107210041001,1;item107210030001,1;item107999900001,1	1,60000	0	0
16	145	16	item1000,1;item107200041001,1;item107210041001,1;item107210030001,1;item107999900001,1	15,3	item1000,1;item107200041001,1;item107210041001,1;item107210030001,1;item107999900001,1	1,60000	0	0
17	145	17	item1000,1;item107200041001,1;item107210041001,1;item107210030001,1;item107999900001,1	15,3	item1000,1;item107200041001,1;item107210041001,1;item107210030001,1;item107999900001,1	1,60000	0	0
18	145	18	item1000,1;item107200042001,1;item107210042001,1;item107210030001,1;item107999900001,1	15,6	item1000,1;item107200042001,1;item107210042001,1;item107210030001,1;item107999900001,1	1,120000	0	0
19	145	19	item1000,1;item107200042001,1;item107210042001,1;item107210030001,1;item107999900001,1	15,6	item1000,1;item107200042001,1;item107210042001,1;item107210030001,1;item107999900001,1	1,120000	0	0
20	145	20	item1000,1;item107200042001,1;item107210042001,1;item107210030001,1;item107999900001,1	15,6	item1000,1;item107200042001,1;item107210042001,1;item107210030001,1;item107999900001,1	1,120000	0	0
21	145	21	item1000,1;item107200042001,1;item107210042001,1;item107210030001,1;item107999900001,1	15,6	item1000,1;item107200042001,1;item107210042001,1;item107210030001,1;item107999900001,1	1,120000	0	0
22	145	22	item1000,1;item107200042001,1;item107210042001,1;item107210030001,1;item107999900001,1	15,6	item1000,1;item107200042001,1;item107210042001,1;item107210030001,1;item107999900001,1	1,120000	0	0
23	145	23	item1000,1;item107200042001,1;item107210042001,1;item107210030001,1;item107999900001,1	15,6	item1000,1;item107200042001,1;item107210042001,1;item107210030001,1;item107999900001,1	1,120000	0	0
24	145	24	item1000,1;item107200042001,1;item107210042001,1;item107210030001,1;item107999900001,1	15,6	item1000,1;item107200042001,1;item107210042001,1;item107210030001,1;item107999900001,1	1,120000	0	0
25	145	25	item1000,1;item107200042001,1;item107210042001,1;item107210030001,1;item107999900001,1	15,6	item1000,1;item107200042001,1;item107210042001,1;item107210030001,1;item107999900001,1	1,120000	0	0
26	145	26	item1000,1;item107200042001,1;item107210042001,1;item107210030001,1;item107999900001,1	15,6	item1000,1;item107200042001,1;item107210042001,1;item107210030001,1;item107999900001,1	1,120000	0	0
27	145	27	item1000,1;item107200042001,1;item107210042001,1;item107210030001,1;item107999900001,1	15,6	item1000,1;item107200042001,1;item107210042001,1;item107210030001,1;item107999900001,1	1,120000	0	0
28	145	28	item1000,1;item107200042001,1;item107210042001,1;item107210030001,1;item107999900001,1	15,6	item1000,1;item107200042001,1;item107210042001,1;item107210030001,1;item107999900001,1	1,120000	0	0
29	145	29	item1000,1;item107200042001,1;item107210042001,1;item107210030001,1;item107999900001,1	15,6	item1000,1;item107200042001,1;item107210042001,1;item107210030001,1;item107999900001,1	1,120000	0	0
30	145	30	item1000,1;item107999900001,1;item107210043001,1;item107210030001,1;item107999900001,1	15,10	item1000,1;item107999900001,1;item107210043001,1;item107210030001,1;item107999900001,1	1,200000	0	0
31	145	31	item1000,1;item107999900001,1;item107210043001,1;item107210030001,1;item107999900001,1	15,10	item1000,1;item107999900001,1;item107210043001,1;item107210030001,1;item107999900001,1	1,200000	0	0
32	145	32	item1000,1;item107999900001,1;item107210043001,1;item107210030001,1;item107999900001,1	15,10	item1000,1;item107999900001,1;item107210043001,1;item107210030001,1;item107999900001,1	1,200000	0	0
33	145	33	item1000,1;item107999900001,1;item107210043001,1;item107210030001,1;item107999900001,1	15,10	item1000,1;item107999900001,1;item107210043001,1;item107210030001,1;item107999900001,1	1,200000	0	0
34	145	34	item1000,1;item107999900001,1;item107210043001,1;item107210030001,1;item107999900001,1	15,10	item1000,1;item107999900001,1;item107210043001,1;item107210030001,1;item107999900001,1	1,200000	0	0
35	145	35	item1000,1;item107999900001,1;item107210043001,1;item107210030001,1;item107999900001,1	15,10	item1000,1;item107999900001,1;item107210043001,1;item107210030001,1;item107999900001,1	1,200000	0	0
36	145	36	item107200051001,1;item1000,1;item107999900001,1;item107210043001,1;item107210030001,1;item107999900001,1	15,10	item107200051001,1;item1000,1;item107999900001,1;item107210043001,1;item107210030001,1;item107999900001,1	1,200000	0	0
37	145	37	item107200051001,1;item1000,1;item107999900001,1;item107210043001,1;item107210030001,1;item107999900001,1	15,10	item107200051001,1;item1000,1;item107999900001,1;item107210043001,1;item107210030001,1;item107999900001,1	1,200000	0	0
38	145	38	item107200051001,1;item1000,1;item107999900001,1;item107210043001,1;item107210030001,1;item107999900001,1	15,10	item107200051001,1;item1000,1;item107999900001,1;item107210043001,1;item107210030001,1;item107999900001,1	1,200000	0	0
39	145	39	item107200051001,1;item1000,1;item107999900001,1;item107210043001,1;item107210030001,1;item107999900001,1	15,10	item107200051001,1;item1000,1;item107999900001,1;item107210043001,1;item107210030001,1;item107999900001,1	1,200000	0	0
40	145	40	item107200051001,1;item1000,1;item107999900001,1;item107210043001,1;item107210030001,1;item107999900001,1	15,10	item107200051001,1;item1000,1;item107999900001,1;item107210043001,1;item107210030001,1;item107999900001,1	1,200000	0	0
41	145	41	item107200051001,1;item1000,1;item107999900001,1;item107210043001,1;item107210030001,1;item107999900001,1	15,10	item107200051001,1;item1000,1;item107999900001,1;item107210043001,1;item107210030001,1;item107999900001,1	1,200000	0	0
42	145	42	item107200051001,1;item107200052001,1;item1000,1;item107210043001,1;item107210030001,1;item107999900001,1	15,10	item107200051001,1;item107200052001,1;item1000,1;item107210043001,1;item107210030001,1;item107999900001,1	1,200000	0	0
43	145	43	item107200051001,1;item107200052001,1;item1000,1;item107210043001,1;item107210030001,1;item107999900001,1	15,10	item107200051001,1;item107200052001,1;item1000,1;item107210043001,1;item107210030001,1;item107999900001,1	1,200000	0	0
