天赋技能ID	skill表中ID	天赋技能品质	天赋技能组	天赋技能效果系数
int	string	int	int	string
SkillId	Skillinformation	Rare	Group	Coefficient
1001	skill520001	2	10001	1,1,1
1002	skill520002	2	10002	1,2,1
1003	skill520003	3	10003	1,3,1
1004	skill520004	3	10004	1,4,1
1005	skill520005	4	0	2,2000
1006	skill520006	3	0	2,1500
1007	skill520007	2	0	2,1000
1008	skill520008	1	0	2,500
1009	skill520009	4	10006	3,1,3,2000
1010	skill520010	3	10006	3,1,3,1500
1011	skill520011	2	10006	3,1,3,1000
1012	skill520012	1	10006	3,1,3,500
1013	skill520013	4	10007	3,1,4,2000
1014	skill520014	3	10007	3,1,4,1500
1015	skill520015	2	10007	3,1,4,1000
1016	skill520016	1	10007	3,1,4,500
1017	skill520017	4	10008	3,1,1,2000
1018	skill520018	3	10008	3,1,1,1500
1019	skill520019	2	10008	3,1,1,1000
1020	skill520020	1	10008	3,1,1,500
1021	skill520021	4	10009	3,1,32,2000
1022	skill520022	3	10009	3,1,32,1500
1023	skill520023	2	10009	3,1,32,1000
1024	skill520024	1	10009	3,1,32,500
1025	skill520025	4	10010	3,1,34,2000
1026	skill520026	3	10010	3,1,34,1500
1027	skill520027	2	10010	3,1,34,1000
1028	skill520028	1	10010	3,1,34,500
1029	skill520029	4	10011	3,1,33,2000
1030	skill520030	3	10011	3,1,33,1500
1031	skill520031	2	10011	3,1,33,1000
1032	skill520032	1	10011	3,1,33,500
1033	skill520033	4	10012	3,1,35,2000
1034	skill520034	3	10012	3,1,35,1500
1035	skill520035	2	10012	3,1,35,1000
1036	skill520036	1	10012	3,1,35,500
1037	skill520037	4	10013	3,1,30,2000
1038	skill520038	3	10013	3,1,30,1500
1039	skill520039	2	10013	3,1,30,1000
1040	skill520040	1	10013	3,1,30,500
1041	skill520041	4	10014	3,1,31,2000
1042	skill520042	3	10014	3,1,31,1500
1043	skill520043	2	10014	3,1,31,1000
1044	skill520044	1	10014	3,1,31,500
1045	skill520045	4	10015	3,2,1,2000
1046	skill520046	3	10015	3,2,1,1500
1047	skill520047	2	10015	3,2,1,1000
1048	skill520048	1	10015	3,2,1,500
1049	skill520049	4	10016	3,2,2,2000
1050	skill520050	3	10016	3,2,2,1500
1051	skill520051	2	10016	3,2,2,1000
1052	skill520052	1	10016	3,2,2,500
1053	skill520053	4	10017	3,2,3,2000
1054	skill520054	3	10017	3,2,3,1500
1055	skill520055	2	10017	3,2,3,1000
1056	skill520056	1	10017	3,2,3,500
1057	skill520057	4	10018	3,2,4,2000
1058	skill520058	3	10018	3,2,4,1500
1059	skill520059	2	10018	3,2,4,1000
1060	skill520060	1	10018	3,2,4,500
1061	skill520061	4	10019	3,2,5,2000
1062	skill520062	3	10019	3,2,5,1500
1063	skill520063	2	10019	3,2,5,1000
1064	skill520064	1	10019	3,2,5,500
1065	skill520065	4	10020	3,2,6,2000
1066	skill520066	3	10020	3,2,6,1500
1067	skill520067	2	10020	3,2,6,1000
1068	skill520068	1	10020	3,2,6,500
1069	skill520069	4	10021	4,1,3,2000
1070	skill520070	3	10021	4,1,3,1500
1071	skill520071	2	10021	4,1,3,1000
1072	skill520072	1	10021	4,1,3,500
1073	skill520073	4	10022	4,1,4,2000
1074	skill520074	3	10022	4,1,4,1500
1075	skill520075	2	10022	4,1,4,1000
1076	skill520076	1	10022	4,1,4,500
1077	skill520077	4	10023	4,1,1,2000
1078	skill520078	3	10023	4,1,1,1500
1079	skill520079	2	10023	4,1,1,1000
1080	skill520080	1	10023	4,1,1,500
1081	skill520081	4	10024	4,1,32,2000
1082	skill520082	3	10024	4,1,32,1500
1083	skill520083	2	10024	4,1,32,1000
1084	skill520084	1	10025	4,1,32,500
1085	skill520085	4	10025	4,1,34,2000
1086	skill520086	3	10025	4,1,34,1500
1087	skill520087	2	10025	4,1,34,1000
1088	skill520088	1	10025	4,1,34,500
1089	skill520089	4	10026	4,1,33,2000
1090	skill520090	3	10026	4,1,33,1500
1091	skill520091	2	10026	4,1,33,1000
1092	skill520092	1	10026	4,1,33,500
1093	skill520093	4	10027	4,1,35,2000
1094	skill520094	3	10027	4,1,35,1500
1095	skill520095	2	10027	4,1,35,1000
1096	skill520096	1	10027	4,1,35,500
1097	skill520097	4	10028	4,1,30,2000
1098	skill520098	3	10028	4,1,30,1500
1099	skill520099	2	10028	4,1,30,1000
1100	skill520100	1	10028	4,1,30,500
1101	skill520101	4	10029	4,1,31,2000
1102	skill520102	3	10029	4,1,31,1500
1103	skill520103	2	10029	4,1,31,1000
1104	skill520104	1	10029	4,1,31,500
1105	skill520105	4	10030	4,2,1,2000
1106	skill520106	3	10030	4,2,1,1500
1107	skill520107	2	10030	4,2,1,1000
1108	skill520108	1	10030	4,2,1,500
1109	skill520109	4	10031	4,2,2,2000
1110	skill520110	3	10031	4,2,2,1500
1111	skill520111	2	10031	4,2,2,1000
1112	skill520112	1	10031	4,2,2,500
1113	skill520113	4	10032	4,2,3,2000
1114	skill520114	3	10032	4,2,3,1500
1115	skill520115	2	10032	4,2,3,1000
1116	skill520116	1	10032	4,2,3,500
1117	skill520117	4	10033	4,2,4,2000
1118	skill520118	3	10033	4,2,4,1500
1119	skill520119	2	10033	4,2,4,1000
1120	skill520120	1	10033	4,2,4,500
1121	skill520121	4	10034	4,2,5,2000
1122	skill520122	3	10034	4,2,5,1500
1123	skill520123	2	10034	4,2,5,1000
1124	skill520124	1	10034	4,2,5,500
1125	skill520125	4	10035	4,2,6,2000
1126	skill520126	3	10035	4,2,6,1500
1127	skill520127	2	10035	4,2,6,1000
1128	skill520128	1	10035	4,2,6,500
1129	skill520129	4	10036	5,1,800
1130	skill520130	3	10036	5,1,600
1131	skill520131	2	10036	5,1,400
1132	skill520132	1	10036	5,1,200
1133	skill520133	4	10037	5,2,800
1134	skill520134	3	10037	5,2,600
1135	skill520135	2	10037	5,2,400
1136	skill520136	1	10037	5,2,200
1137	skill520137	4	10038	5,3,800
1138	skill520138	3	10038	5,3,600
1139	skill520139	2	10038	5,3,400
1140	skill520140	1	10038	5,3,200
1141	skill520141	4	0	6,800
1142	skill520142	3	0	6,600
1143	skill520143	2	0	6,400
1144	skill520144	1	0	6,200
1145	skill520145	4	0	7,800
1146	skill520146	3	0	7,600
1147	skill520147	2	0	7,400
1148	skill520148	1	0	7,200
1149	skill520149	4	10041	8,2,1,4
1150	skill520150	4	10042	8,2,2,5
1151	skill520151	4	10043	8,2,3,6
1152	skill520152	4	0	9,800
1153	skill520153	3	0	9,600
1154	skill520154	2	0	9,400
1155	skill520155	1	0	9,200
1156	skill520156	4	0	10
1157	skill520157	3	0	11
1158	skill520158	4	10047	12,28004
1159	skill520159	3	10047	12,28003
1160	skill520160	2	10047	12,28002
1161	skill520161	1	10047	12,28001
1162	skill520162	4	10048	12,28009
1163	skill520163	3	10048	12,28008
1164	skill520164	2	10048	12,28007
1165	skill520165	1	10048	12,28006
