属性编号	属性名称	秒伤统计时记录	缩写	评分变化时是否显示	显示方式	值类型	值基数	是否是使者属性
int	string	int	string	bool	int	int	int	int
Id	PropName	SecondProp	Abbr	ShowChange	ShowType	PropValueType	PropBaseValue	IsEnvoyProp
1	PropName_1	1	HPMAX	1	0	1	1	0
2	PropName_2	0	SPMAX	1	0	1	1	0
3	PropName_3	1	ATT	1	0	1	1	0
4	PropName_4	1	DEF	1	0	1	1	0
5	PropName_5	0	HPRG	1	0	1	1	0
6	PropName_6	0	SPRG	1	0	1	1	0
11	PropName_11	1	HPPER	1	1	1	10000	0
12	PropName_12	1	ATTPER	1	1	1	10000	0
13	PropName_13	1	DEFPER	1	1	1	10000	0
14	PropName_14	0	SPDPER	0	1	1	10000	0
15	PropName_15	1	HPABS	0	1	1	10000	0
16	PropName_16	1	ATTABS	0	1	1	10000	0
17	PropName_17	1	DEFABS	0	1	1	10000	0
21	PropName_21	1	HIT	1	0	1	1	0
22	PropName_22	1	DOD	1	0	1	1	0
23	PropName_23	1	CRI	1	0	1	1	0
24	PropName_24	1	RES	1	0	1	1	0
25	PropName_25	1	CDG	1	0	1	1	0
26	PropName_26	1	CDGDEF	1	0	1	1	0
27	PropName_27	0	SPD	0	0	2	10000	0
28	PropName_28	1	RAGE	1	1	1	10000	0
29	PropName_29	0	ATTSPD	0	1	1	1	0
30	PropName_30	1	HITRATE	1	1	1	10000	0
31	PropName_31	1	DODRATE	1	1	1	10000	0
32	PropName_32	1	CRIRATE	1	1	1	10000	0
33	PropName_33	1	RESRATE	1	1	1	10000	0
34	PropName_34	1	CDGRATE	1	1	1	10000	0
35	PropName_35	1	CDDRATE	1	1	1	10000	0
36	PropName_36	1	RAGEPRE	1	1	1	10000	0
37	PropName_37	0	BLOCK	1	0	1	1	0
38	PropName_38	0	BLOCKRATE	1	1	1	10000	0
39	PropName_39	0	BLOCKRATIO	1	1	1	10000	0
40	PropName_40	1	LOGIC	1	0	1	1	0
41	PropName_41	1	SPIRIT	1	0	1	1	0
42	PropName_42	1	APPETITE	1	0	1	1	0
43	PropName_43	1	LOGICRATE	1	1	1	10000	0
44	PropName_44	1	SPIRITRATE	1	1	1	10000	0
45	PropName_45	1	APPETITERATE	1	1	1	10000	0
46	PropName_46	1	SOULLEVEL	0	0	1	1	0
47	PropName_47	1	SOULLEVELRE	1	1	1	10000	0
48	PropName_48	1	RAGERE	1	1	1	10000	0
51	PropName_51	1	DIC	1	1	1	10000	0
52	PropName_52	1	DRD	1	1	1	10000	0
53	PropName_53	0	STUNINC	1	0	1	1	0
54	PropName_54	0	STUNRES	1	0	1	1	0
55	PropName_55	0	SILINC	1	0	1	1	0
56	PropName_56	0	SILRES	1	0	1	1	0
57	PropName_57	0	ROOTINC	1	0	1	1	0
58	PropName_58	0	ROOTRES	1	0	1	1	0
59	PropName_59	0	POIINC	1	0	1	1	0
60	PropName_60	0	POIRES	1	0	1	1	0
61	PropName_61	0	FEARINC	1	0	1	1	0
62	PropName_62	0	FEARRES	1	0	1	1	0
63	PropName_63	0	SLOWINC	1	0	1	1	0
64	PropName_64	0	SLOWRES	1	0	1	1	0
65	PropName_65	0	ICEDIN	1	1	1	10000	0
66	PropName_66	1	POIDIN	1	1	1	10000	0
67	PropName_67	1	FIREDIN	1	1	1	10000	0
68	PropName_68	0	ICEDRE	1	1	1	10000	0
69	PropName_69	1	POIDRE	1	1	1	10000	0
70	PropName_70	1	FIREDRE	1	1	1	10000	0
71	PropName_71	0	WINDDIN	1	1	1	10000	0
72	PropName_72	0	WINDDRE	1	1	1	10000	0
73	PropName_73	0	LANDDIN	1	1	1	10000	0
74	PropName_74	0	LANDDRE	1	1	1	10000	0
75	PropName_75	1	HOLYDIN	1	1	1	10000	0
76	PropName_76	1	HOLYDRE	1	1	1	10000	0
77	PropName_77	0	DARKDIN	1	1	1	10000	0
78	PropName_78	0	DARKDRE	1	1	1	10000	0
79	PropName_79	1	ARCDIN	1	1	1	10000	0
80	PropName_80	1	ARCDRE	1	1	1	10000	0
81	PropName_81	0	LEADDIN	1	1	1	10000	0
82	PropName_82	0	LEADDRE	1	1	1	10000	0
83	PropName_83	1	PHYDIN	1	1	1	10000	0
84	PropName_84	1	PHYDRE	1	1	1	10000	0
85	PropName_85	0	RMPHYDIN	1	1	1	10000	0
86	PropName_86	0	MLPHYDIN	1	1	1	10000	0
101	PropName_101	0	EXPPER	0	1	1	10000	0
102	PropName_102	0	HEALPER	0	1	1	10000	0
103	PropName_103	0	DRLPER	0	1	1	10000	0
104	PropName_104	0	DRRPER	0	1	1	10000	0
105	PropName_105	0	SKILLHEALPER	0	1	1	10000	0
106	PropName_106	0	ROTATELIMIT	0	0	1	1	0
107	PropName_107	0	SUSPEND	0	0	1	1	0
108	PropName_108	0	CAPER	0	1	1	10000	0
109	PropName_109	0	HATREDPER	0	1	1	10000	0
110	PropName_110	1	ODIC	0	1	1	10000	0
