流水	任务类型	任务参数	任务目标	任务参数2	任务目标2	显示类型	显示内容	任务描述	奖励	链接命令	链接参数	开放等级
int	int	string	string	string	string	int	string	string	string	string	string	int
ID	Type	TaskParams	Target	TaskParams2	Target2	ShowType	ShowContent	Des	Reward	Link	LinkParm	OpenLevel
11001	1	1859,1550,1551	1			1	1	contract_task_des_11001	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1859	0
11002	1	1859,1550,1551	3			1	3	contract_task_des_11002	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1859	0
11003	1	1859,1550,1551	5			1	5	contract_task_des_11003	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
11004	2	101,110	1859,1550,1551			2	101,110	contract_task_des_11004	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1859	0
11005	2	104,107,111	1859,1550,1551			2	104,107,111	contract_task_des_11005	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1859	0
11006	1	1859,1550,1551	1			1	1	contract_task_des_11006	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1859	0
11007	1	1859,1550,1551	3			1	3	contract_task_des_11007	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1859	0
11008	1	1859,1550,1551	5			1	5	contract_task_des_11008	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
11009	1	1859,1550,1551	8			1	8	contract_task_des_11009	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
11010	2	107,112	1859,1550,1551			2	107,112	contract_task_des_11010	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1859	0
11011	2	105,120,121	1859,1550,1551			2	105,120,121	contract_task_des_11011	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1859	0
11012	1	1859,1550,1551	1			1	1	contract_task_des_11012	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1859	0
11013	1	1859,1550,1551	3			1	3	contract_task_des_11013	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1859	0
11014	1	1859,1550,1551	5			1	5	contract_task_des_11014	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
11015	1	1859,1550,1551	8			1	8	contract_task_des_11015	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
11016	2	122,108	1859,1550,1551			2	122,108	contract_task_des_11016	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1859	0
11017	2	102,118,112	1859,1550,1551			2	102,118,112	contract_task_des_11017	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1859	0
11018	1	1859,1550,1551	1			1	1	contract_task_des_11018	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1859	0
11019	1	1859,1550,1551	3			1	3	contract_task_des_11019	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1859	0
11020	1	1859,1550,1551	5			1	5	contract_task_des_11020	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
11021	1	1859,1550,1551	8			1	8	contract_task_des_11021	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
11022	2	123,118	1859,1550,1551			2	123,118	contract_task_des_11022	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1859	0
11023	2	105,109,114	1859,1550,1551			2	105,109,114	contract_task_des_11023	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1859	0
11024	1	1859,1550,1551	1			1	1	contract_task_des_11024	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1859	0
11025	1	1859,1550,1551	3			1	3	contract_task_des_11025	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1859	0
11026	1	1859,1550,1551	5			1	5	contract_task_des_11026	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
11027	1	1859,1550,1551	8			1	8	contract_task_des_11027	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
11028	1	1859,1550,1551	12			1	12	contract_task_des_11028	item100900001001,10	LinkUI	MauDungeonActivityPanel;1;0;1859	0
11029	2	113,109	1859,1550,1551			2	113,109	contract_task_des_11029	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1859	0
11030	2	106,116,114	1859,1550,1551			2	106,116,114	contract_task_des_11030	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1859	0
11031	1	1859,1550,1551	1			1	1	contract_task_des_11031	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1859	0
11032	1	1859,1550,1551	3			1	3	contract_task_des_11032	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1859	0
11033	1	1859,1550,1551	5			1	5	contract_task_des_11033	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
11034	1	1859,1550,1551	8			1	8	contract_task_des_11034	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
11035	1	1859,1550,1551	12			1	12	contract_task_des_11035	item100900001001,10	LinkUI	MauDungeonActivityPanel;1;0;1859	0
11036	2	115,117	1859,1550,1551			2	115,117	contract_task_des_11036	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1859	0
11037	2	116,109,103	1859,1550,1551			2	116,109,103	contract_task_des_11037	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1859	0
11038	1	1859,1550,1551	1			1	1	contract_task_des_11038	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1859	0
11039	1	1859,1550,1551	3			1	3	contract_task_des_11039	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1859	0
11040	1	1859,1550,1551	5			1	5	contract_task_des_11040	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
11041	1	1859,1550,1551	8			1	8	contract_task_des_11041	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
11042	1	1859,1550,1551	12			1	12	contract_task_des_11042	item100900001001,10	LinkUI	MauDungeonActivityPanel;1;0;1859	0
11043	2	123,124	1859,1550,1551			2	123,124	contract_task_des_11043	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1859	0
11044	2	119,106,109	1859,1550,1551			2	119,106,109	contract_task_des_11044	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1859	0
11045	1	1859,1550,1551	1			1	1	contract_task_des_11045	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1859	0
11046	1	1859,1550,1551	3			1	3	contract_task_des_11046	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1859	0
11047	1	1859,1550,1551	5			1	5	contract_task_des_11047	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
11048	1	1859,1550,1551	8			1	8	contract_task_des_11048	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
11049	1	1859,1550,1551	12			1	12	contract_task_des_11049	item100900001001,10	LinkUI	MauDungeonActivityPanel;1;0;1859	0
11050	2	122,112,106	1859,1550,1551			2	122,112,106	contract_task_des_11050	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1859	0
11051	2	115,141,103	1859,1550,1551			2	115,141,103	contract_task_des_11051	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1859	0
11052	1	1859,1550,1551	1			1	1	contract_task_des_11052	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1859	0
11053	1	1859,1550,1551	3			1	3	contract_task_des_11053	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1859	0
11054	1	1859,1550,1551	5			1	5	contract_task_des_11054	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
11055	1	1859,1550,1551	8			1	8	contract_task_des_11055	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
11056	1	1859,1550,1551	12			1	12	contract_task_des_11056	item100900001001,10	LinkUI	MauDungeonActivityPanel;1;0;1859	0
11057	2	114,119,103	1859,1550,1551			2	114,119,103	contract_task_des_11057	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1859	0
11058	2	110,141,109	1859,1550,1551			2	110,141,109	contract_task_des_11058	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1859	0
11059	1	1859,1550,1551	1			1	1	contract_task_des_11059	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1859	0
11060	1	1859,1550,1551	3			1	3	contract_task_des_11060	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1859	0
11061	1	1859,1550,1551	5			1	5	contract_task_des_11061	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
11062	1	1859,1550,1551	8			1	8	contract_task_des_11062	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
11063	1	1859,1550,1551	12			1	12	contract_task_des_11063	item100900001001,10	LinkUI	MauDungeonActivityPanel;1;0;1859	0
11064	2	111,140,109	1859,1550,1551			2	111,140,109	contract_task_des_11064	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1859	0
11065	2	120,118,138	1859,1550,1551			2	120,118,138	contract_task_des_11065	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1859	0
11066	1	1859,1550,1551	1			1	1	contract_task_des_11066	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1859	0
11067	1	1859,1550,1551	3			1	3	contract_task_des_11067	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1859	0
11068	1	1859,1550,1551	5			1	5	contract_task_des_11068	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
11069	1	1859,1550,1551	8			1	8	contract_task_des_11069	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
11070	1	1859,1550,1551	12			1	12	contract_task_des_11070	item100900001001,10	LinkUI	MauDungeonActivityPanel;1;0;1859	0
