流水	世界等级	世界等级	BossID	评级	存活时间	伤害线	评级描述	评级奖励
int	int	int	string	string	string	string	string	string
Id	WroldLvMin	WroldLvMax	BossId	Rating	Survive	Point	RatingDes	RatingReward
1	10	40	Monster8	1	90	5000000	RatingDes1	item1043,200;item106400001106,4;item171002010002,2
2	10	40	Monster8	2	90	1500000	RatingDes2	item1043,200;item106400001106,3;item171002010002,1
3	10	40	Monster8	3	90	800000	RatingDes3	item1043,200;item106400001106,2;item171002010002,1
4	10	40	Monster8	4	90	10000	RatingDes4	item1043,200;item106400001106,1;item171002010001,1
5	10	40	Monster8	5	60	10000	RatingDes5	item1043,200;item106400001106,1;item171002010001,1
6	10	40	Monster8	6	40	10000	RatingDes6	item1043,200;item106400001106,1;item171002010001,1
7	41	50	Monster8	1	90	15000000	RatingDes1	item1043,200;item106400001106,4;item171002010002,2
8	41	50	Monster8	2	90	6000000	RatingDes2	item1043,200;item106400001106,3;item171002010002,1
9	41	50	Monster8	3	90	4000000	RatingDes3	item1043,200;item106400001106,2;item171002010002,1
10	41	50	Monster8	4	90	10000	RatingDes4	item1043,200;item106400001106,1;item171002010001,1
11	41	50	Monster8	5	60	10000	RatingDes5	item1043,200;item106400001106,1;item171002010001,1
12	41	50	Monster8	6	40	10000	RatingDes6	item1043,200;item106400001106,1;item171002010001,1
13	51	60	Monster8	1	90	40000000	RatingDes1	item1043,200;item106400001106,4;item171002010002,2
14	51	60	Monster8	2	90	15000000	RatingDes2	item1043,200;item106400001106,3;item171002010002,1
15	51	60	Monster8	3	90	7500000	RatingDes3	item1043,200;item106400001106,2;item171002010002,1
16	51	60	Monster8	4	90	10000	RatingDes4	item1043,200;item106400001106,1;item171002010001,1
17	51	60	Monster8	5	60	10000	RatingDes5	item1043,200;item106400001106,1;item171002010001,1
18	51	60	Monster8	6	40	10000	RatingDes6	item1043,200;item106400001106,1;item171002010001,1
19	61	70	Monster8	1	90	100000000	RatingDes1	item1043,200;item106400001106,4;item171002010002,2
20	61	70	Monster8	2	90	45000000	RatingDes2	item1043,200;item106400001106,3;item171002010002,1
21	61	70	Monster8	3	90	25000000	RatingDes3	item1043,200;item106400001106,2;item171002010002,1
22	61	70	Monster8	4	90	10000	RatingDes4	item1043,200;item106400001106,1;item171002010001,1
23	61	70	Monster8	5	60	10000	RatingDes5	item1043,200;item106400001106,1;item171002010001,1
24	61	70	Monster8	6	40	10000	RatingDes6	item1043,200;item106400001106,1;item171002010001,1
25	71	80	Monster8	1	90	500000000	RatingDes1	item1043,200;item106400001106,4;item171002010002,2
26	71	80	Monster8	2	90	100000000	RatingDes2	item1043,200;item106400001106,3;item171002010002,1
27	71	80	Monster8	3	90	40000000	RatingDes3	item1043,200;item106400001106,2;item171002010002,1
28	71	80	Monster8	4	90	10000	RatingDes4	item1043,200;item106400001106,1;item171002010001,1
29	71	80	Monster8	5	60	10000	RatingDes5	item1043,200;item106400001106,1;item171002010001,1
30	71	80	Monster8	6	40	10000	RatingDes6	item1043,200;item106400001106,1;item171002010001,1
31	81	90	Monster8	1	90	1000000000	RatingDes1	item1043,200;item106400001106,4;item171002010002,2
32	81	90	Monster8	2	90	300000000	RatingDes2	item1043,200;item106400001106,3;item171002010002,1
33	81	90	Monster8	3	90	100000000	RatingDes3	item1043,200;item106400001106,2;item171002010002,1
34	81	90	Monster8	4	90	10000	RatingDes4	item1043,200;item106400001106,1;item171002010001,1
35	81	90	Monster8	5	60	10000	RatingDes5	item1043,200;item106400001106,1;item171002010001,1
36	81	90	Monster8	6	40	10000	RatingDes6	item1043,200;item106400001106,1;item171002010001,1
37	91	110	Monster8	1	90	3500000000	RatingDes1	item1043,200;item106400001106,4;item171002010002,2
38	91	110	Monster8	2	90	1000000000	RatingDes2	item1043,200;item106400001106,3;item171002010002,1
39	91	110	Monster8	3	90	300000000	RatingDes3	item1043,200;item106400001106,2;item171002010002,1
40	91	110	Monster8	4	90	10000	RatingDes4	item1043,200;item106400001106,1;item171002010001,1
41	91	110	Monster8	5	60	10000	RatingDes5	item1043,200;item106400001106,1;item171002010001,1
42	91	110	Monster8	6	40	10000	RatingDes6	item1043,200;item106400001106,1;item171002010001,1
43	10	40	Monster9	1	90	5000000	RatingDes1	item1043,240;item106400001106,4;item171002010002,2
44	10	40	Monster9	2	90	1500000	RatingDes2	item1043,240;item106400001106,3;item171002010002,1
45	10	40	Monster9	3	90	800000	RatingDes3	item1043,240;item106400001106,2;item171002010002,1
46	10	40	Monster9	4	90	10000	RatingDes4	item1043,240;item106400001106,1;item171002010001,1
47	10	40	Monster9	5	60	10000	RatingDes5	item1043,240;item106400001106,1;item171002010001,1
48	10	40	Monster9	6	40	10000	RatingDes6	item1043,240;item106400001106,1;item171002010001,1
49	41	50	Monster9	1	90	15000000	RatingDes1	item1043,240;item106400001106,4;item171002010002,2
50	41	50	Monster9	2	90	6000000	RatingDes2	item1043,240;item106400001106,3;item171002010002,1
51	41	50	Monster9	3	90	4000000	RatingDes3	item1043,240;item106400001106,2;item171002010002,1
52	41	50	Monster9	4	90	10000	RatingDes4	item1043,240;item106400001106,1;item171002010001,1
53	41	50	Monster9	5	60	10000	RatingDes5	item1043,240;item106400001106,1;item171002010001,1
54	41	50	Monster9	6	40	10000	RatingDes6	item1043,240;item106400001106,1;item171002010001,1
55	51	60	Monster9	1	90	40000000	RatingDes1	item1043,240;item106400001106,4;item171002010002,2
56	51	60	Monster9	2	90	15000000	RatingDes2	item1043,240;item106400001106,3;item171002010002,1
57	51	60	Monster9	3	90	7500000	RatingDes3	item1043,240;item106400001106,2;item171002010002,1
58	51	60	Monster9	4	90	10000	RatingDes4	item1043,240;item106400001106,1;item171002010001,1
59	51	60	Monster9	5	60	10000	RatingDes5	item1043,240;item106400001106,1;item171002010001,1
60	51	60	Monster9	6	40	10000	RatingDes6	item1043,240;item106400001106,1;item171002010001,1
61	61	70	Monster9	1	90	100000000	RatingDes1	item1043,240;item106400001106,4;item171002010002,2
62	61	70	Monster9	2	90	45000000	RatingDes2	item1043,240;item106400001106,3;item171002010002,1
63	61	70	Monster9	3	90	25000000	RatingDes3	item1043,240;item106400001106,2;item171002010002,1
64	61	70	Monster9	4	90	10000	RatingDes4	item1043,240;item106400001106,1;item171002010001,1
65	61	70	Monster9	5	60	10000	RatingDes5	item1043,240;item106400001106,1;item171002010001,1
66	61	70	Monster9	6	40	10000	RatingDes6	item1043,240;item106400001106,1;item171002010001,1
67	71	80	Monster9	1	90	500000000	RatingDes1	item1043,240;item106400001106,4;item171002010002,2
68	71	80	Monster9	2	90	100000000	RatingDes2	item1043,240;item106400001106,3;item171002010002,1
69	71	80	Monster9	3	90	40000000	RatingDes3	item1043,240;item106400001106,2;item171002010002,1
70	71	80	Monster9	4	90	10000	RatingDes4	item1043,240;item106400001106,1;item171002010001,1
71	71	80	Monster9	5	60	10000	RatingDes5	item1043,240;item106400001106,1;item171002010001,1
72	71	80	Monster9	6	40	10000	RatingDes6	item1043,240;item106400001106,1;item171002010001,1
73	81	90	Monster9	1	90	1000000000	RatingDes1	item1043,240;item106400001106,4;item171002010002,2
74	81	90	Monster9	2	90	300000000	RatingDes2	item1043,240;item106400001106,3;item171002010002,1
75	81	90	Monster9	3	90	100000000	RatingDes3	item1043,240;item106400001106,2;item171002010002,1
76	81	90	Monster9	4	90	10000	RatingDes4	item1043,240;item106400001106,1;item171002010001,1
77	81	90	Monster9	5	60	10000	RatingDes5	item1043,240;item106400001106,1;item171002010001,1
78	81	90	Monster9	6	40	10000	RatingDes6	item1043,240;item106400001106,1;item171002010001,1
79	91	110	Monster9	1	90	3500000000	RatingDes1	item1043,240;item106400001106,4;item171002010002,2
80	91	110	Monster9	2	90	1000000000	RatingDes2	item1043,240;item106400001106,3;item171002010002,1
81	91	110	Monster9	3	90	300000000	RatingDes3	item1043,240;item106400001106,2;item171002010002,1
82	91	110	Monster9	4	90	10000	RatingDes4	item1043,240;item106400001106,1;item171002010001,1
83	91	110	Monster9	5	60	10000	RatingDes5	item1043,240;item106400001106,1;item171002010001,1
84	91	110	Monster9	6	40	10000	RatingDes6	item1043,240;item106400001106,1;item171002010001,1
85	10	40	Monster10	1	90	5000000	RatingDes1	item1043,280;item106400001106,5;item171002010002,2
86	10	40	Monster10	2	90	1500000	RatingDes2	item1043,280;item106400001106,3;item171002010002,1
87	10	40	Monster10	3	90	800000	RatingDes3	item1043,280;item106400001106,2;item171002010002,1
88	10	40	Monster10	4	90	10000	RatingDes4	item1043,280;item106400001106,2;item171002010001,1
89	10	40	Monster10	5	60	10000	RatingDes5	item1043,280;item106400001106,2;item171002010001,1
90	10	40	Monster10	6	40	10000	RatingDes6	item1043,280;item106400001106,1;item171002010001,1
91	41	50	Monster10	1	90	15000000	RatingDes1	item1043,280;item106400001106,5;item171002010002,2
92	41	50	Monster10	2	90	6000000	RatingDes2	item1043,280;item106400001106,3;item171002010002,1
93	41	50	Monster10	3	90	4000000	RatingDes3	item1043,280;item106400001106,2;item171002010002,1
94	41	50	Monster10	4	90	10000	RatingDes4	item1043,280;item106400001106,2;item171002010001,1
95	41	50	Monster10	5	60	10000	RatingDes5	item1043,280;item106400001106,2;item171002010001,1
96	41	50	Monster10	6	40	10000	RatingDes6	item1043,280;item106400001106,1;item171002010001,1
97	51	60	Monster10	1	90	40000000	RatingDes1	item1043,280;item106400001106,5;item171002010002,2
98	51	60	Monster10	2	90	15000000	RatingDes2	item1043,280;item106400001106,3;item171002010002,1
99	51	60	Monster10	3	90	7500000	RatingDes3	item1043,280;item106400001106,2;item171002010002,1
100	51	60	Monster10	4	90	10000	RatingDes4	item1043,280;item106400001106,2;item171002010001,1
101	51	60	Monster10	5	60	10000	RatingDes5	item1043,280;item106400001106,2;item171002010001,1
102	51	60	Monster10	6	40	10000	RatingDes6	item1043,280;item106400001106,1;item171002010001,1
103	61	70	Monster10	1	90	100000000	RatingDes1	item1043,280;item106400001106,5;item171002010002,2
104	61	70	Monster10	2	90	45000000	RatingDes2	item1043,280;item106400001106,3;item171002010002,1
105	61	70	Monster10	3	90	25000000	RatingDes3	item1043,280;item106400001106,2;item171002010002,1
106	61	70	Monster10	4	90	10000	RatingDes4	item1043,280;item106400001106,2;item171002010001,1
107	61	70	Monster10	5	60	10000	RatingDes5	item1043,280;item106400001106,2;item171002010001,1
108	61	70	Monster10	6	40	10000	RatingDes6	item1043,280;item106400001106,1;item171002010001,1
109	71	80	Monster10	1	90	500000000	RatingDes1	item1043,280;item106400001106,5;item171002010002,2
110	71	80	Monster10	2	90	100000000	RatingDes2	item1043,280;item106400001106,3;item171002010002,1
111	71	80	Monster10	3	90	40000000	RatingDes3	item1043,280;item106400001106,2;item171002010002,1
112	71	80	Monster10	4	90	10000	RatingDes4	item1043,280;item106400001106,2;item171002010001,1
113	71	80	Monster10	5	60	10000	RatingDes5	item1043,280;item106400001106,2;item171002010001,1
114	71	80	Monster10	6	40	10000	RatingDes6	item1043,280;item106400001106,1;item171002010001,1
115	81	90	Monster10	1	90	1000000000	RatingDes1	item1043,280;item106400001106,5;item171002010002,2
116	81	90	Monster10	2	90	300000000	RatingDes2	item1043,280;item106400001106,3;item171002010002,1
117	81	90	Monster10	3	90	100000000	RatingDes3	item1043,280;item106400001106,2;item171002010002,1
118	81	90	Monster10	4	90	10000	RatingDes4	item1043,280;item106400001106,2;item171002010001,1
119	81	90	Monster10	5	60	10000	RatingDes5	item1043,280;item106400001106,2;item171002010001,1
120	81	90	Monster10	6	40	10000	RatingDes6	item1043,280;item106400001106,1;item171002010001,1
121	91	110	Monster10	1	90	3500000000	RatingDes1	item1043,280;item106400001106,5;item171002010002,2
122	91	110	Monster10	2	90	1000000000	RatingDes2	item1043,280;item106400001106,3;item171002010002,1
123	91	110	Monster10	3	90	300000000	RatingDes3	item1043,280;item106400001106,2;item171002010002,1
124	91	110	Monster10	4	90	10000	RatingDes4	item1043,280;item106400001106,2;item171002010001,1
125	91	110	Monster10	5	60	10000	RatingDes5	item1043,280;item106400001106,2;item171002010001,1
126	91	110	Monster10	6	40	10000	RatingDes6	item1043,280;item106400001106,1;item171002010001,1
127	10	40	Monster11	1	90	5000000	RatingDes1	item1043,320;item106400001106,5;item171002010002,2
128	10	40	Monster11	2	90	1500000	RatingDes2	item1043,320;item106400001106,3;item171002010002,1
129	10	40	Monster11	3	90	800000	RatingDes3	item1043,320;item106400001106,2;item171002010002,1
130	10	40	Monster11	4	90	10000	RatingDes4	item1043,320;item106400001106,2;item171002010001,1
131	10	40	Monster11	5	60	10000	RatingDes5	item1043,320;item106400001106,2;item171002010001,1
132	10	40	Monster11	6	40	10000	RatingDes6	item1043,320;item106400001106,2;item171002010001,1
133	41	50	Monster11	1	90	15000000	RatingDes1	item1043,320;item106400001106,5;item171002010002,2
134	41	50	Monster11	2	90	6000000	RatingDes2	item1043,320;item106400001106,3;item171002010002,1
135	41	50	Monster11	3	90	4000000	RatingDes3	item1043,320;item106400001106,2;item171002010002,1
136	41	50	Monster11	4	90	10000	RatingDes4	item1043,320;item106400001106,2;item171002010001,1
137	41	50	Monster11	5	60	10000	RatingDes5	item1043,320;item106400001106,2;item171002010001,1
138	41	50	Monster11	6	40	10000	RatingDes6	item1043,320;item106400001106,2;item171002010001,1
139	51	60	Monster11	1	90	40000000	RatingDes1	item1043,320;item106400001106,5;item171002010002,2
140	51	60	Monster11	2	90	15000000	RatingDes2	item1043,320;item106400001106,3;item171002010002,1
141	51	60	Monster11	3	90	7500000	RatingDes3	item1043,320;item106400001106,2;item171002010002,1
142	51	60	Monster11	4	90	10000	RatingDes4	item1043,320;item106400001106,2;item171002010001,1
143	51	60	Monster11	5	60	10000	RatingDes5	item1043,320;item106400001106,2;item171002010001,1
144	51	60	Monster11	6	40	10000	RatingDes6	item1043,320;item106400001106,2;item171002010001,1
145	61	70	Monster11	1	90	100000000	RatingDes1	item1043,320;item106400001106,5;item171002010002,2
146	61	70	Monster11	2	90	45000000	RatingDes2	item1043,320;item106400001106,3;item171002010002,1
147	61	70	Monster11	3	90	25000000	RatingDes3	item1043,320;item106400001106,2;item171002010002,1
148	61	70	Monster11	4	90	10000	RatingDes4	item1043,320;item106400001106,2;item171002010001,1
149	61	70	Monster11	5	60	10000	RatingDes5	item1043,320;item106400001106,2;item171002010001,1
150	61	70	Monster11	6	40	10000	RatingDes6	item1043,320;item106400001106,2;item171002010001,1
151	71	80	Monster11	1	90	500000000	RatingDes1	item1043,320;item106400001106,5;item171002010002,2
152	71	80	Monster11	2	90	100000000	RatingDes2	item1043,320;item106400001106,3;item171002010002,1
153	71	80	Monster11	3	90	40000000	RatingDes3	item1043,320;item106400001106,2;item171002010002,1
154	71	80	Monster11	4	90	10000	RatingDes4	item1043,320;item106400001106,2;item171002010001,1
