港口ID	据点名称	港口介绍	港口图标	港口背景	坐标	港口坐标	航行路径	下一个据点	据点类型	出售商品	商人ID	首次入港事件	入港事件	探索选项	特殊探索
int	string	string	string	string	vector2	vector2	string	int	int	string	int	int	int	string	int
ID	Name	Desc	Icon	Background	Pos	ShipPos	SailPath	NextPointID	PointType	SaleItem	SalesID	FirstEvent	EnterEvent	ExploreType	SpecialExplore
1001	SailPointName001	SailPointDEC001	icon_gangkou	navi_bg01	-373.29,-415.86	-58.85,40.69		1002	1	item240000001001,item240000001002,item240000001004,item240000001007,item240000001009	1	999	101	2;3;4	0
1002	SailPointName002	SailPointDEC002	icon_gangkou	navi_bg02	-307.34,-293.69	4.64,74.08		1041	1	item240000001001,item240000001002,item240000001004,item240000001008,item240000001011	2	0	102	3;4;5	0
1003	SailPointName003	SailPointDEC003	icon_gangkou	navi_bg03	-36.27,-163.08	1.52,56.89		1042	1	item240000001001,item240000001003,item240000001004,item240000001008,item240000001014	3	0	103	5;6;7	11
1004	SailPointName004	SailPointDEC004	icon_gangkou	navi_bg04	225.64,-345.81	65.8,8.22		1043	1	item240000001001,item240000001003,item240000001008,item240000001009,item240000001014	4	0	104	6;7;8	0
1005	SailPointName005	SailPointDEC005	icon_gangkou_1	navi_bg05	487.91,-186.41	-70.13,11.87		1006	1	item240000001002,item240000001007,item240000001009,item240000001011,item240000001014	1	0	105	7;8;9	12
1006	SailPointName006	SailPointDEC006	icon_gangkou_1	navi_bg01	620.06,-83.18	-48.51,-43.54		1044	1	item240000001001,item240000001003,item240000001011,item240000001013,item240000001017	2	0	106	8;9;10	12
1007	SailPointName007	SailPointDEC007	icon_gangkou	navi_bg02	298.52,-20.51	-67.71,9.78		1008	1	item240000001002,item240000001007,item240000001009,item240000001011,item240000001017	3	0	107	9;10;2	0
1008	SailPointName008	SailPointDEC008	icon_gangkou	navi_bg03	431.31,97.69	-56.92,13.01		1009	1	item240000001001,item240000001003,item240000001007,item240000001013,item240000001014	4	0	108	10;2;3	0
1009	SailPointName009	SailPointDEC009	icon_gangkou	navi_bg04	368.68,237.84	-52.33,-23.99		1045	1	item240000001001,item240000001003,item240000001009,item240000001012,item240000001017	1	0	109	2;3;4	0
1010	SailPointName010	SailPointDEC010	icon_gangkou_1	navi_bg05	367.14,425.55	-27.56,-52.33		1011	1	item240000001001,item240000001003,item240000001011,item240000001012,item240000001019	2	0	110	3;4;5	12
1011	SailPointName011	SailPointDEC011	icon_gangkou	navi_bg01	244.18,491.06	-31.11,-47.78		1012	1	item240000001002,item240000001006,item240000001012,item240000001017,item240000001019	3	0	111	5;6;7	0
