流水id	npc编号	天赋技能等级	洗练消耗	洗练消耗银币
int	string	int	string	string
Id	SoldierId	TalentSkillLevel	BaptizeCost	BaptizeCurrencyCost
1	soldier_npc_10001	1	item105000000028,1	1,20000
2	soldier_npc_10001	2	item105000000028,1	1,20000
3	soldier_npc_10001	3	item105000000028,1	1,20000
4	soldier_npc_10001	4	item105000000028,1	1,20000
5	soldier_npc_10001	5	item105000000028,1	1,20000
6	soldier_npc_10001	6	item105000000028,1	1,20000
7	soldier_npc_10001	7	item105000000028,1	1,20000
8	soldier_npc_10001	8	item105000000028,1	1,20000
9	soldier_npc_10001	9	item105000000028,1	1,20000
10	soldier_npc_10001	10	item105000000028,1	1,20000
11	soldier_npc_10002	1	item105000000028,1	1,20000
12	soldier_npc_10002	2	item105000000028,1	1,20000
13	soldier_npc_10002	3	item105000000028,1	1,20000
14	soldier_npc_10002	4	item105000000028,1	1,20000
15	soldier_npc_10002	5	item105000000028,1	1,20000
16	soldier_npc_10002	6	item105000000028,1	1,20000
17	soldier_npc_10002	7	item105000000028,1	1,20000
18	soldier_npc_10002	8	item105000000028,1	1,20000
19	soldier_npc_10002	9	item105000000028,1	1,20000
20	soldier_npc_10002	10	item105000000028,1	1,20000
21	soldier_npc_10003	1	item105000000028,1	1,20000
22	soldier_npc_10003	2	item105000000028,1	1,20000
23	soldier_npc_10003	3	item105000000028,1	1,20000
24	soldier_npc_10003	4	item105000000028,1	1,20000
25	soldier_npc_10003	5	item105000000028,1	1,20000
26	soldier_npc_10003	6	item105000000028,1	1,20000
27	soldier_npc_10003	7	item105000000028,1	1,20000
28	soldier_npc_10003	8	item105000000028,1	1,20000
29	soldier_npc_10003	9	item105000000028,1	1,20000
30	soldier_npc_10003	10	item105000000028,1	1,20000
31	soldier_npc_10004	1	item105000000028,1	1,20000
32	soldier_npc_10004	2	item105000000028,1	1,20000
33	soldier_npc_10004	3	item105000000028,1	1,20000
34	soldier_npc_10004	4	item105000000028,1	1,20000
35	soldier_npc_10004	5	item105000000028,1	1,20000
36	soldier_npc_10004	6	item105000000028,1	1,20000
37	soldier_npc_10004	7	item105000000028,1	1,20000
38	soldier_npc_10004	8	item105000000028,1	1,20000
39	soldier_npc_10004	9	item105000000028,1	1,20000
40	soldier_npc_10004	10	item105000000028,1	1,20000
41	soldier_npc_10005	1	item105000000028,1	1,20000
42	soldier_npc_10005	2	item105000000028,1	1,20000
43	soldier_npc_10005	3	item105000000028,1	1,20000
44	soldier_npc_10005	4	item105000000028,1	1,20000
45	soldier_npc_10005	5	item105000000028,1	1,20000
46	soldier_npc_10005	6	item105000000028,1	1,20000
47	soldier_npc_10005	7	item105000000028,1	1,20000
48	soldier_npc_10005	8	item105000000028,1	1,20000
49	soldier_npc_10005	9	item105000000028,1	1,20000
50	soldier_npc_10005	10	item105000000028,1	1,20000
51	soldier_npc_10006	1	item105000000028,1	1,20000
52	soldier_npc_10006	2	item105000000028,1	1,20000
