流水	活动id	任务组	任务id	任务奖励	功能检测和自动关闭
int	int	int	int	string	string
Id	ActiveId	TaskGroup	AchievementId	Reward	FuncTest
1	7511	1	1750301	item91000001270,4	0,1
2	7511	1	1750302	item91000001270,4	0,1
3	7511	1	1750303	item91000001270,4	0,1
4	7511	1	1750304	item91000001270,4	0,1
5	7511	1	1750305	item91000001270,4	0,1
6	7511	1	1750306	item91000001270,4	0,1
7	7511	1	1750307	item91000001270,4	0,1
8	7511	1	1750308	item91000001270,4	23,1
9	7511	1	1750309	item91000001270,4	23,1
10	7511	1	1750310	item91000001270,4	23,1
11	7511	1	1750311	item91000001270,4	23,1
12	7511	1	1750312	item91000001270,5	0,1
13	7511	1	1750313	item91000001270,5	0,1
14	7511	1	1750314	item91000001270,5	0,1
15	7511	1	1750315	item91000001270,5	0,1
16	7511	1	1750316	item91000001270,16	57,1
17	7511	1	1750317	item91000001270,16	51,1
18	7511	1	1750318	item91000001270,16	67,1
19	7511	1	1750319	item91000001270,16	1455,1
20	7511	1	1750320	item91000001270,16	1455,1
21	7511	2	1750321	item91000001270,20	183,1
22	7511	2	1750322	item91000001270,24	183,1
23	7511	2	1750323	item91000001270,32	183,1
24	7511	2	1750324	item91000001270,40	183,1
25	7511	2	1750325	item91000001270,20	145,1
26	7511	2	1750326	item91000001270,24	145,1
27	7511	2	1750327	item91000001270,32	145,1
28	7511	2	1750328	item91000001270,40	145,1
29	7511	2	1750329	item91000001270,20	109,1
30	7511	2	1750330	item91000001270,24	109,1
31	7511	2	1750331	item91000001270,32	109,1
32	7511	2	1750332	item91000001270,40	109,1
33	7511	2	1750333	item91000001270,20	0,1
34	7511	2	1750334	item91000001270,24	0,1
35	7511	2	1750335	item91000001270,32	0,1
36	7511	2	1750336	item91000001270,40	0,1
37	7511	2	1750337	item91000001270,5	1052,1
38	7511	2	1750338	item91000001270,15	1053,1
39	7511	2	1750339	item91000001270,20	1054,1
40	7511	2	1750340	item91000001270,30	1155,1
41	7511	2	1750341	item91000001270,40	1100,1
42	7511	2	1750342	item91000001270,50	1053,1
43	7511	2	1750355	item91000001270,50	1054,1
44	7511	2	1750356	item91000001270,60	1155,1
45	7511	2	1750357	item91000001270,80	1100,1
46	7511	2	1750358	item91000001270,80	1053,1
47	7511	2	1750359	item91000001270,80	1054,1
48	7511	2	1750360	item91000001270,80	1155,1
49	7511	2	1750361	item91000001270,80	1100,1
50	7511	3	1750343	item91000001270,80	1052,1
51	7511	3	1750344	item91000001270,80	1053,1
52	7511	3	1750345	item91000001270,80	1054,1
53	7511	3	1750346	item91000001270,80	1155,1
54	7511	3	1750362	item91000001270,80	1155,1
55	7511	3	1750348	item91000001270,96	1100,1
56	7511	3	1750350	item91000001270,96	1101,1
57	7511	3	1750352	item91000001270,120	1102,1
58	7511	3	1750363	item91000001270,120	1155,1
59	7511	3	1750364	item91000001270,120	1100,1
60	7511	3	1750365	item91000001270,120	1101,1
61	7511	3	1750366	item91000001270,120	1102,1
