勋章ID	地图ID	勋章名称	勋章描述	属性加成	勋章图标	对应的道具id
int	int	string	string	string	string	string
MedalId	MapId	MedalName	MedalDes	PropID	IconId	ItemId
8101	1001	MedalName8101	MedalDes8101	1,60	travelmedal_1001	item127000068001,1
8102	1001	MedalName8102	MedalDes8102	3,6	travelmedal_1002	item127000068002,1
8103	1001	MedalName8103	MedalDes8103	4,6	travelmedal_1003	item127000068003,1
8104	1001	MedalName8104	MedalDes8104	23,20	travelmedal_1004	item127000068004,1
8105	1001	MedalName8105	MedalDes8105	25,20	travelmedal_1005	item127000068005,1
8106	1001	MedalName8106	MedalDes8106	21,20	travelmedal_1006	item127000068006,1
8107	1001	MedalName8107	MedalDes8107	22,20	travelmedal_1007	item127000068007,1
8108	1001	MedalName8108	MedalDes8108	24,20	travelmedal_1008	item127000068008,1
8109	1001	MedalName8109	MedalDes8109	26,20	travelmedal_1009	item127000068009,1
8110	1001	MedalName8110	MedalDes8110	1,60	travelmedal_1010	item127000068010,1
8201	1002	MedalName8201	MedalDes8201	3,6	travelmedal_2001	item127000068011,1
8202	1002	MedalName8202	MedalDes8202	4,6	travelmedal_2002	item127000068012,1
8203	1002	MedalName8203	MedalDes8203	23,20	travelmedal_2003	item127000068013,1
8204	1002	MedalName8204	MedalDes8204	25,20	travelmedal_2004	item127000068014,1
8205	1002	MedalName8205	MedalDes8205	21,20	travelmedal_2005	item127000068015,1
8206	1002	MedalName8206	MedalDes8206	22,20	travelmedal_2006	item127000068016,1
8207	1002	MedalName8207	MedalDes8207	24,20	travelmedal_2007	item127000068017,1
8208	1002	MedalName8208	MedalDes8208	26,20	travelmedal_2008	item127000068018,1
8209	1002	MedalName8209	MedalDes8209	1,60	travelmedal_2009	item127000068019,1
8210	1002	MedalName8210	MedalDes8210	3,6	travelmedal_2010	item127000068020,1
8211	1002	MedalName8211	MedalDes8211	4,6	travelmedal_2011	item127000068021,1
8212	1002	MedalName8212	MedalDes8212	23,20	travelmedal_2012	item127000068022,1
8213	1002	MedalName8213	MedalDes8213	25,20	travelmedal_2013	item127000068023,1
8214	1002	MedalName8214	MedalDes8214	21,20	travelmedal_2014	item127000068024,1
8215	1002	MedalName8215	MedalDes8215	22,20	travelmedal_2015	item127000068025,1
8301	1003	MedalName8301	MedalDes8301	24,20	travelmedal_3001	item127000068026,1
8302	1003	MedalName8302	MedalDes8302	26,20	travelmedal_3002	item127000068027,1
8303	1003	MedalName8303	MedalDes8303	1,60	travelmedal_3003	item127000068028,1
8304	1003	MedalName8304	MedalDes8304	3,6	travelmedal_3004	item127000068029,1
8305	1003	MedalName8305	MedalDes8305	4,6	travelmedal_3005	item127000068030,1
8306	1003	MedalName8306	MedalDes8306	23,20	travelmedal_3006	item127000068031,1
8307	1003	MedalName8307	MedalDes8307	25,20	travelmedal_3007	item127000068032,1
8308	1003	MedalName8308	MedalDes8308	21,20	travelmedal_3008	item127000068033,1
8309	1003	MedalName8309	MedalDes8309	22,20	travelmedal_3009	item127000068034,1
8310	1003	MedalName8310	MedalDes8310	24,20	travelmedal_3010	item127000068035,1
8311	1003	MedalName8311	MedalDes8311	26,20	travelmedal_3011	item127000068036,1
8312	1003	MedalName8312	MedalDes8312	1,60	travelmedal_3012	item127000068037,1
8313	1003	MedalName8313	MedalDes8313	3,6	travelmedal_3013	item127000068038,1
8314	1003	MedalName8314	MedalDes8314	4,6	travelmedal_3014	item127000068039,1
8315	1003	MedalName8315	MedalDes8315	23,20	travelmedal_3015	item127000068040,1
8316	1003	MedalName8316	MedalDes8316	25,20	travelmedal_3016	item127000068041,1
8317	1003	MedalName8317	MedalDes8317	21,20	travelmedal_3017	item127000068042,1
8318	1003	MedalName8318	MedalDes8318	22,20	travelmedal_3018	item127000068043,1
8319	1003	MedalName8319	MedalDes8319	24,20	travelmedal_3019	item127000068044,1
8401	1004	MedalName8401	MedalDes8401	26,20	travelmedal_4001	item127000068045,1
8402	1004	MedalName8402	MedalDes8402	1,60	travelmedal_4002	item127000068046,1
8403	1004	MedalName8403	MedalDes8403	3,6	travelmedal_4003	item127000068047,1
8404	1004	MedalName8404	MedalDes8404	4,6	travelmedal_4004	item127000068048,1
8405	1004	MedalName8405	MedalDes8405	23,20	travelmedal_4005	item127000068049,1
8406	1004	MedalName8406	MedalDes8406	25,20	travelmedal_4006	item127000068050,1
8407	1004	MedalName8407	MedalDes8407	21,20	travelmedal_4007	item127000068051,1
8408	1004	MedalName8408	MedalDes8408	22,20	travelmedal_4008	item127000068052,1
8409	1004	MedalName8409	MedalDes8409	24,20	travelmedal_4009	item127000068053,1
8410	1004	MedalName8410	MedalDes8410	26,20	travelmedal_4010	item127000068054,1
8411	1004	MedalName8411	MedalDes8411	1,60	travelmedal_4011	item127000068055,1
8412	1004	MedalName8412	MedalDes8412	3,6	travelmedal_4012	item127000068056,1
8413	1004	MedalName8413	MedalDes8413	4,6	travelmedal_4013	item127000068057,1
