流水	品质	进阶等级	经验
int	int	int	int
Id	Rare	Level	Exp
1	2	0	0
2	2	1	5
3	2	2	15
4	2	3	30
5	2	4	50
6	2	5	75
7	2	6	105
8	2	7	140
9	2	8	185
10	2	9	240
11	2	10	300
12	3	0	0
13	3	1	10
14	3	2	30
15	3	3	60
16	3	4	100
17	3	5	150
18	3	6	210
19	3	7	280
20	3	8	360
21	3	9	450
22	3	10	550
23	4	0	0
24	4	1	40
25	4	2	90
26	4	3	150
27	4	4	230
28	4	5	330
29	4	6	450
30	4	7	590
31	4	8	750
32	4	9	930
33	4	10	1130
34	4	11	1350
35	4	12	1590
36	4	13	1850
37	4	14	2130
38	4	15	2430
39	4	16	2750
40	4	17	3090
41	4	18	3450
42	4	19	3830
43	4	20	4230
44	5	0	0
45	5	1	50
46	5	2	120
47	5	3	210
48	5	4	320
49	5	5	450
50	5	6	600
51	5	7	770
52	5	8	960
53	5	9	1170
54	5	10	1400
55	5	11	1650
56	5	12	1920
57	5	13	2210
58	5	14	2520
59	5	15	2850
60	5	16	3200
61	5	17	3570
62	5	18	3960
63	5	19	4370
64	5	20	4800
65	5	21	5250
66	5	22	5720
67	5	23	6210
68	5	24	6720
69	5	25	7250
70	5	26	7800
71	5	27	8370
72	5	28	8960
73	5	29	9570
74	5	30	10200
