仓库解锁id	解锁增加的容量	解锁消耗家园币数量	解锁等级
int	int	string	int
UnlockId	AddCapacity	CostHLCoin	Level
1	20	17,200	1
2	20	17,400	1
3	20	17,600	1
4	20	17,800	1
5	20	17,1000	1
6	20	17,1300	1
7	20	17,1600	1
8	20	17,1900	1
9	20	17,2200	1
10	20	17,2500	1
11	20	17,2900	1
12	20	17,3500	1
13	20	17,4100	1
14	20	17,4700	1
15	20	17,5300	1
16	20	17,6000	1
17	20	17,6800	1
18	20	17,8700	1
19	20	17,9600	1
20	20	17,10600	1
21	20	17,12000	1
22	20	17,15000	1
23	20	17,17000	1
24	20	17,19000	1
25	20	17,20000	1
26	20	17,20000	1
27	20	17,20000	1
28	20	17,20000	1
29	20	17,20000	1
30	20	17,20000	1
31	20	17,20000	1
32	20	17,20000	1
33	20	17,20000	1
34	20	17,20000	1
35	20	17,20000	1
36	20	17,20000	1
37	20	17,20000	1
38	20	17,20000	1
39	20	17,20000	1
40	20	17,20000	1
41	20	17,20000	1
42	20	17,20000	1
43	20	17,20000	1
44	20	17,20000	1
45	20	17,20000	1
46	20	17,20000	1
47	20	17,20000	1
48	20	17,20000	1
49	20	17,20000	1
50	20	17,20000	1
51	20	17,20000	1
52	20	17,20000	1
53	20	17,20000	1
54	20	17,20000	1
55	20	17,20000	1
56	20	17,20000	1
57	20	17,20000	1
58	20	17,20000	1
59	20	17,20000	1
60	20	17,20000	1
61	20	17,20000	1
62	20	17,20000	1
63	20	17,20000	1
64	20	17,20000	1
65	20	17,20000	1
66	20	17,20000	1
67	20	17,20000	1
68	20	17,20000	1
69	20	17,20000	1
70	20	17,20000	1
71	20	17,20000	1
72	20	17,20000	1
73	20	17,20000	1
74	20	17,20000	1
75	20	17,20000	1
76	20	17,20000	1
77	20	17,20000	1
78	20	17,20000	1
79	20	17,20000	1
80	20	17,20000	1
81	20	17,20000	1
82	20	17,20000	1
83	20	17,20000	1
84	20	17,20000	1
85	20	17,20000	1
86	20	17,20000	1
87	20	17,20000	1
88	20	17,20000	1
89	20	17,20000	1
90	20	17,20000	1
91	20	17,20000	1
92	20	17,20000	1
93	20	17,20000	1
94	20	17,20000	1
95	20	17,20000	1
