流水	品质	等级	成功率	回退率	消耗材料	消耗货币	分解返还
int	int	int	int	int	string	string	string
Id	Rare	Level	Rate	BackRate	Item	Cost	ReturnItem
1	2	0	10000	0			item176000000001,1
2	2	1	10000	0	item176000000001,5	1,10000	item176000000001,6
3	2	2	9000	0	item176000000001,10	1,20000	item176000000001,16
4	2	3	6000	0	item176000000001,15	1,30000	item176000000001,31
5	2	4	8000	0	item176000000001,20	1,40000	item176000000001,51
6	2	5	7500	0	item176000000001,25	1,50000	item176000000001,76
7	2	6	5000	0	item176000000001,30	1,60000	item176000000001,106
8	3	0	10000	0			item176000000001,2
9	3	1	10000	0	item176000000001,5	1,10000	item176000000001,7
10	3	2	9000	0	item176000000001,10	1,20000	item176000000001,17
11	3	3	6000	0	item176000000001,15	1,30000	item176000000001,32
12	3	4	8000	0	item176000000001,20	1,40000	item176000000001,52
13	3	5	7500	0	item176000000001,25	1,50000	item176000000001,77
14	3	6	5000	0	item176000000001,30	1,60000	item176000000001,107
15	3	7	7000	0	item176000000001,40	1,70000	item176000000001,147
16	3	8	6500	0	item176000000001,50	1,80000	item176000000001,197
17	3	9	4000	0	item176000000001,60	1,90000	item176000000001,257
18	4	0	10000	0			item176000000001,5
19	4	1	10000	0	item176000000001,5	1,10000	item176000000001,10
20	4	2	9000	0	item176000000001,15	1,20000	item176000000001,25
21	4	3	6000	0	item176000000001,25	1,30000	item176000000001,50
22	4	4	8000	0	item176000000001,35	1,40000	item176000000001,85
23	4	5	7500	0	item176000000001,45	1,50000	item176000000001,130
24	4	6	5000	0	item176000000001,55	1,60000	item176000000001,185
25	4	7	7000	0	item176000000001,70	1,70000	item176000000001,255
26	4	8	6500	0	item176000000001,85	1,80000	item176000000001,340
27	4	9	4000	0	item176000000001,100	1,90000	item176000000001,440
28	4	10	6000	0	item176000000001,120	1,100000	item176000000001,560
29	4	11	5500	0	item176000000001,140	1,110000	item176000000001,700
30	4	12	3000	0	item176000000001,160	1,120000	item176000000001,860
31	5	0	10000	0			item176000000001,10
32	5	1	10000	0	item176000000001,10	1,10000	item176000000001,20
33	5	2	9000	0	item176000000001,15	1,20000	item176000000001,35
34	5	3	6000	0	item176000000001,25	1,30000	item176000000001,60
35	5	4	8000	0	item176000000001,35	1,40000	item176000000001,95
36	5	5	7500	0	item176000000001,50	1,50000	item176000000001,145
37	5	6	5000	0	item176000000001,65	1,60000	item176000000001,210
38	5	7	7000	0	item176000000001,80	1,70000	item176000000001,290
39	5	8	6500	0	item176000000001,100	1,80000	item176000000001,390
40	5	9	4000	0	item176000000001,120	1,90000	item176000000001,510
41	5	10	6000	0	item176000000001,140	1,100000	item176000000001,650
42	5	11	5500	0	item176000000001,160	1,110000	item176000000001,810
43	5	12	3000	0	item176000000001,180	1,120000	item176000000001,990
44	5	13	5000	0	item176000000001,200	1,130000	item176000000001,1190
45	5	14	4500	0	item176000000001,240	1,140000	item176000000001,1430
46	5	15	2500	0	item176000000001,280	1,150000	item176000000001,1710
