ID	排行类型	排名区间小	排名区间大	奖励
int	int	int	int	string
Id	Type	RankMin	RankMax	Reward
1	1	1	1	item200000830003,1;item106210500002,10;item1019,300
2	1	2	2	item200000831003,8;item106210500002,9;item1019,270
3	1	3	3	item200000831003,6;item106210500002,8;item1019,240
4	1	4	10	item200000831003,5;item106210500002,7;item1019,210
5	1	11	20	item200000831003,4;item106210500002,6;item1019,180
6	1	21	50	item200000831003,3;item106210500002,5;item1019,150
7	1	51	200	item200000831003,2;item106210500002,4;item1019,120
8	1	201	500	item200000831003,1;item106210500002,3;item1019,90
9	1	501	1000	item106210500002,1;item1019,30
10	2	1	1	item1019,100;item141000000282,1
11	2	2	2	item1019,60;item141000000283,1
12	2	3	3	item1019,30;item141000000284,1
