流水id	场景	世界等级小	世界等级大	展示怪物组	对应坐标组	奖励展示
int	int	int	int	string	string	string
Id	Scene	WorldLevelMin	WorldLevelMax	MonsterId	RefreshPosition	Reward
1	71	1	40	monster15400001;monster15400002;monster15400003	-17.1,-0.5,55.7,225;47.5,4.2,47.7,225;31.6,-5.1,-51.2,250	item103015110403,item103015110406,item103010132201,item103010132211,item107300000001,item101020504900,item100500000001,item8103010121003,item107999900001,item170000120010;item103015110403,item103015110406,item103010132201,item103010132211,item107300000001,item101020504900,item100500000001,item8103010121003,item107999900001,item170000120010;item103015110403,item103015110406,item103010132201,item103010132211,item107300000001,item101020504900,item100500000001,item8103010121003,item107999900001,item170000120010
2	171	1	40	monster15400101;monster15400102	-44.0,0.2,2.5,124;43.4,0.1,8.6,200;-0.6,0.2,34.9,232	item103015110403,item103015110406,item103010132201,item103010132211,item107300000001,item101020504900,item100500000001,item8103010121003,item107999900001,item170000120010;item103015110403,item103015110406,item103010132201,item103010132211,item107300000001,item101020504900,item100500000001,item8103010121003,item107999900001,item170000120010;item103015110403,item103015110406,item103010132201,item103010132211,item107300000001,item101020504900,item100500000001,item8103010121003,item107999900001,item170000120010
3	271	1	40	monster15400201;monster15400202;monster15400203	64.8,5.5,13.9,215;-47.4,3.3,-38.1,110;-48.1,10.6,-83.1,34	item103015110403,item103015110406,item103010132201,item103010132211,item107300000001,item101020504900,item100500000001,item8103010121003,item107999900001,item170000120010;item103015110403,item103015110406,item103010132201,item103010132211,item107300000001,item101020504900,item100500000001,item8103010121003,item107999900001,item170000120010;item103015110403,item103015110406,item103010132201,item103010132211,item107300000001,item101020504900,item100500000001,item8103010121003,item107999900001,item170000120010
4	71	41	50	monster15400004;monster15400005;monster15400006	-17.1,-0.5,55.7,225;47.5,4.2,47.7,225;31.6,-5.1,-51.2,250	item103010133301,item103010134301,item103010135301,item103010136301,item103010137301,item103010132301,item103010132311,item103010132321,item103010132331,item107300000002,item200000800004,item103015110403,item103015110406,item103010132201,item103010132211,item103010132221,item103010132231,item107300000001,item103010111019,item103015110412,item104000000012,item104000000011,item101020504900,item100500000001,item103010121004,item107999900002,item170000120010;item103010133301,item103010134301,item103010135301,item103010136301,item103010137301,item103010132301,item103010132311,item103010132321,item103010132331,item107300000002,item200000800004,item103015110403,item103015110406,item103010132201,item103010132211,item103010132221,item103010132231,item107300000001,item103010111019,item103015110412,item104000000012,item104000000011,item101020504900,item100500000001,item103010121004,item107999900002,item170000120010;item103010133301,item103010134301,item103010135301,item103010136301,item103010137301,item103010132301,item103010132311,item103010132321,item103010132331,item107300000002,item200000800004,item103015110403,item103015110406,item103010132201,item103010132211,item103010132221,item103010132231,item107300000001,item103010111019,item103015110412,item104000000012,item104000000011,item101020504900,item100500000001,item103010121004,item107999900002,item170000120010
5	171	41	50	monster15400104;monster15400105	-44.0,0.2,2.5,124;43.4,0.1,8.6,200;-0.6,0.2,34.9,232	item103010133301,item103010134301,item103010135301,item103010136301,item103010137301,item103010132301,item103010132311,item103010132321,item103010132331,item107300000002,item200000800004,item103015110403,item103015110406,item103010132201,item103010132211,item103010132221,item103010132231,item107300000001,item103010111019,item103015110412,item104000000012,item104000000011,item101020504900,item100500000001,item103010121004,item107999900002,item170000120010;item103010133301,item103010134301,item103010135301,item103010136301,item103010137301,item103010132301,item103010132311,item103010132321,item103010132331,item107300000002,item200000800004,item103015110403,item103015110406,item103010132201,item103010132211,item103010132221,item103010132231,item107300000001,item103010111019,item103015110412,item104000000012,item104000000011,item101020504900,item100500000001,item103010121004,item107999900002,item170000120010;item103010133301,item103010134301,item103010135301,item103010136301,item103010137301,item103010132301,item103010132311,item103010132321,item103010132331,item107300000002,item200000800004,item103015110403,item103015110406,item103010132201,item103010132211,item103010132221,item103010132231,item107300000001,item103010111019,item103015110412,item104000000012,item104000000011,item101020504900,item100500000001,item103010121004,item107999900002,item170000120010
6	271	41	50	monster15400204;monster15400205;monster15400206	64.8,5.5,13.9,215;-47.4,3.3,-38.1,110;-48.1,10.6,-83.1,34	item103010133301,item103010134301,item103010135301,item103010136301,item103010137301,item103010132301,item103010132311,item103010132321,item103010132331,item107300000002,item200000800004,item103015110403,item103015110406,item103010132201,item103010132211,item103010132221,item103010132231,item107300000001,item103010111019,item103015110412,item104000000012,item104000000011,item101020504900,item100500000001,item103010121004,item107999900002,item170000120010;item103010133301,item103010134301,item103010135301,item103010136301,item103010137301,item103010132301,item103010132311,item103010132321,item103010132331,item107300000002,item200000800004,item103015110403,item103015110406,item103010132201,item103010132211,item103010132221,item103010132231,item107300000001,item103010111019,item103015110412,item104000000012,item104000000011,item101020504900,item100500000001,item103010121004,item107999900002,item170000120010;item103010133301,item103010134301,item103010135301,item103010136301,item103010137301,item103010132301,item103010132311,item103010132321,item103010132331,item107300000002,item200000800004,item103015110403,item103015110406,item103010132201,item103010132211,item103010132221,item103010132231,item107300000001,item103010111019,item103015110412,item104000000012,item104000000011,item101020504900,item100500000001,item103010121004,item107999900002,item170000120010
7	71	51	60	monster15400007;monster15400008;monster15400009	-17.1,-0.5,55.7,225;47.5,4.2,47.7,225;31.6,-5.1,-51.2,250	item103010133301,item103010134301,item103010135301,item103010136301,item103010137301,item103010132301,item103010132311,item103010132321,item103010132331,item107300000002,item200000800004,item102020060003,item103015110403,item103015110406,item103010132201,item103010132211,item103010132221,item103010132231,item107300000001,item103010111019,item103015110412,item104000000012,item104000000011,item101020504900,item100500000001,item103010121004,item107999900002,item170000120010;item103010133301,item103010134301,item103010135301,item103010136301,item103010137301,item103010132301,item103010132311,item103010132321,item103010132331,item107300000002,item200000800004,item102020060003,item103015110403,item103015110406,item103010132201,item103010132211,item103010132221,item103010132231,item107300000001,item103010111019,item103015110412,item104000000012,item104000000011,item101020504900,item100500000001,item103010121004,item107999900002,item170000120010;item103010133301,item103010134301,item103010135301,item103010136301,item103010137301,item103010132301,item103010132311,item103010132321,item103010132331,item107300000002,item200000800004,item102020060003,item103015110403,item103015110406,item103010132201,item103010132211,item103010132221,item103010132231,item107300000001,item103010111019,item103015110412,item104000000012,item104000000011,item101020504900,item100500000001,item103010121004,item107999900002,item170000120010
8	171	51	60	monster15400107;monster15400108	-44.0,0.2,2.5,124;43.4,0.1,8.6,200;-0.6,0.2,34.9,232	item103010133301,item103010134301,item103010135301,item103010136301,item103010137301,item103010132301,item103010132311,item103010132321,item103010132331,item107300000002,item200000800004,item102020060003,item103015110403,item103015110406,item103010132201,item103010132211,item103010132221,item103010132231,item107300000001,item103010111019,item103015110412,item104000000012,item104000000011,item101020504900,item100500000001,item103010121004,item107999900002,item170000120010;item103010133301,item103010134301,item103010135301,item103010136301,item103010137301,item103010132301,item103010132311,item103010132321,item103010132331,item107300000002,item200000800004,item102020060003,item103015110403,item103015110406,item103010132201,item103010132211,item103010132221,item103010132231,item107300000001,item103010111019,item103015110412,item104000000012,item104000000011,item101020504900,item100500000001,item103010121004,item107999900002,item170000120010;item103010133301,item103010134301,item103010135301,item103010136301,item103010137301,item103010132301,item103010132311,item103010132321,item103010132331,item107300000002,item200000800004,item102020060003,item103015110403,item103015110406,item103010132201,item103010132211,item103010132221,item103010132231,item107300000001,item103010111019,item103015110412,item104000000012,item104000000011,item101020504900,item100500000001,item103010121004,item107999900002,item170000120010
