礼物道具id	类型	我方增加好友度	限制类型	每日限送
string	int	int	string	int
ItemId	Type	FriendPoint	Condition	DailyLimit
item100430000004	1	99		0
item99000000079	1	0		0
item106210400002	1	99		0
item106210400005	1	999		0
item100400000201	1	10		1
item100400000301	1	20		1
item100400000401	1	30		1
item141000002102	1	0		0
item100500000112	1	0		0
item130000940508	1	0		0
item130000040515	1	0		0
item130000040345	1	0		0
item102020060007	1	0		0
item141000000245	1	0		0
item141000000246	1	0		0
item91000001193	1	0		0
item100500000115	1	0		0
item91000001439	1	99		0
item91000001464	1	0		0
item91000001465	1	0		0
item172000001013	2	0		0
item172000001023	2	0		0
item172000001033	2	0		0
item172000001043	2	0		0
item172000001053	2	0		0
item172000001063	2	0		0
item172000001073	2	0		0
item172000005013	2	0		0
item172000005023	2	0		0
item172000005033	2	0		0
item172000005043	2	0		0
item172000005053	2	0		0
item172000005063	2	0		0
item172000005073	2	0		0
item172000005083	2	0		0
item172000005093	2	0		0
item172000005103	2	0		0
item172000010013	2	0		0
item172000010023	2	0		0
item172000010033	2	0		0
item172000010043	2	0		0
item172000010053	2	0		0
item172000010063	2	0		0
item172000010073	2	0		0
item172000010083	2	0		0
item172000010093	2	0		0
item172000010103	2	0		0
item172000010113	2	0		0
item172000010123	2	0		0
item172000010133	2	0		0
item172000010143	2	0		0
item172000010153	2	0		0
item172000010163	2	0		0
item172000010173	2	0		0
item172000015013	2	0		0
item172000015023	2	0		0
item172000015033	2	0		0
item172000015043	2	0		0
item172000015053	2	0		0
item172000015063	2	0		0
item172000015073	2	0		0
item172000015083	2	0		0
item172000015093	2	0		0
item172000015103	2	0		0
item172000015113	2	0		0
item172000015123	2	0		0
item172000015133	2	0		0
item172000015143	2	0		0
item172000015153	2	0		0
item172000015163	2	0		0
item172000020013	2	0		0
item172000020023	2	0		0
item172000020033	2	0		0
item172000020043	2	0		0
item172000020053	2	0		0
item172000020063	2	0		0
item172000020073	2	0		0
item172000020083	2	0		0
item172000020093	2	0		0
item172000020103	2	0		0
item172000020113	2	0		0
item172000020123	2	0		0
item172000020133	2	0		0
item172000020143	2	0		0
item172000020153	2	0		0
item172000020163	2	0		0
item172000020173	2	0		0
item172000020183	2	0		0
item172000020193	2	0		0
item172100005010	2	0		0
item172100005020	2	0		0
item172100005030	2	0		0
item172100010010	2	0		0
item172100010020	2	0		0
item172100010030	2	0		0
item172100015010	2	0		0
item172100015020	2	0		0
item172100015030	2	0		0
item172100020010	2	0		0
item172100020020	2	0		0
item172100020030	2	0		0
item172100020040	2	0		0
item172100020050	2	0		0
item172100020060	2	0		0
item172100020070	2	0		0
item106040110002	1	5		0
item106040110003	1	5		0
item106040110004	1	5		0
item106040110005	1	5		0
item91000001706	1	0		0
item91000001707	1	0		0
item91000001708	1	0		0
item91000001709	1	0		0
item91000001821	1	0		0
item99000000042	1	0		0
item99000000043	1	0		0
item99000000080	1	0		0
item99000000081	1	0		0
item99000000082	1	0		0
item99000000024	1	0		0
item99000000025	1	0		0
item99000000108	1	0		0
item99000000109	1	0		0
item99000000110	1	0		0
item101020507395	1	0		0
item101020507357	1	0		0
item91000001820	1	0		0
