序号	任务id	任务段id	列表参数	英雄id	传记文本
int	int	int	int	string	string
Id	TaskId	TaskSectionId	ListParameter	HeroId	MemoirContent
1	600010	10101	1	hero101	memoir_ap_10101_01
2	600060	10101	1	hero101	memoir_ap_10101_02
3	600070	10101	1	hero101	memoir_ap_10101_03
4	7010130	10101	2	hero101	memoir_sm_10101_01
5	600010	10201	1	hero102	memoir_ap_10101_01
6	600060	10201	1	hero102	memoir_ap_10101_02
7	600070	10201	1	hero102	memoir_ap_10101_03
8	7020160	10201	2	hero102	memoir_sm_10201_01
9	600010	10301	1	hero103	memoir_ap_10101_01
10	600060	10301	1	hero103	memoir_ap_10101_02
11	600070	10301	1	hero103	memoir_ap_10101_03
12	7030150	10301	2	hero103	memoir_sm_10301_01
13	600010	10701	1	hero107	memoir_ap_10101_01
14	600060	10701	1	hero107	memoir_ap_10101_02
15	600070	10701	1	hero107	memoir_ap_10101_03
16	7030150	10701	2	hero107	memoir_sm_10301_01
17	600010	10401	1	hero104	memoir_ap_10101_01
18	600060	10401	1	hero104	memoir_ap_10101_02
19	600070	10401	1	hero104	memoir_ap_10101_03
20	7040130	10401	2	hero104	memoir_sm_10401_01
21	600010	10801	1	hero108	memoir_ap_10101_01
22	600060	10801	1	hero108	memoir_ap_10101_02
23	600070	10801	1	hero108	memoir_ap_10101_03
24	7040130	10801	2	hero108	memoir_sm_10401_01
25	600010	10501	1	hero105	memoir_ap_10101_01
26	600060	10501	1	hero105	memoir_ap_10101_02
27	600070	10501	1	hero105	memoir_ap_10101_03
28	7050140	10501	2	hero105	memoir_sm_10501_01
29	600010	10601	1	hero106	memoir_ap_10101_01
30	600060	10601	1	hero106	memoir_ap_10101_02
31	600070	10601	1	hero106	memoir_ap_10101_03
32	7060160	10601	2	hero106	memoir_sm_10601_01
