编号	模型名	基本移动速度	最大移动速度	最大移动动作速度
int	string	float	float	float
Id	CharName	BaseMoveSpeed	MaxMoveSpeed	MaxActionSpeed
1	c001	4.000000	20.000000	2.000000
2	c002	4.000000	20.000000	2.000000
3	c003	4.000000	20.000000	2.000000
4	c004	4.000000	20.000000	2.000000
5	c005	4.000000	20.000000	2.000000
6	c006	4.000000	20.000000	2.000000
7	c007	4.000000	20.000000	2.000000
8	c008	4.000000	20.000000	2.000000
9	r001	6.500000	20.000000	2.000000
10	g042	2.000000	5.000000	1.800000
11	r003	4.000000	20.000000	2.000000
12	r002	6.500000	20.000000	2.000000
13	r004	2.000000	20.000000	3.000000
14	r005	2.000000	20.000000	2.500000
15	r011	4.000000	20.000000	2.000000
16	r008	2.000000	20.000000	3.000000
17	r010	4.000000	20.000000	2.000000
18	p002	4.000000	20.000000	3.000000
19	r009	7.000000	20.000000	2.000000
20	r012	5.000000	20.000000	2.000000
21	a011	3.000000	6.000000	2.000000
22	a012	2.000000	4.000000	2.000000
23	m001	1.000000	11.000000	3.000000
24	m002	1.500000	12.000000	3.000000
25	m003	1.500000	12.000000	3.000000
26	m004	1.500000	12.000000	3.000000
27	m005	1.000000	11.000000	3.000000
28	m006	1.500000	12.000000	3.000000
29	m007	1.500000	10.000000	3.000000
30	m012	1.000000	10.000000	3.000000
31	m013	1.500000	10.000000	3.000000
32	m014	1.000000	11.000000	3.000000
33	m015	3.000000	11.000000	2.000000
34	m016	2.000000	12.000000	3.000000
35	m904	1.000000	11.000000	2.000000
36	m905	1.000000	12.000000	3.000000
37	m019	1.000000	10.000000	3.000000
38	m020	1.000000	10.000000	3.000000
39	m906	3.000000	11.000000	3.000000
40	m907	4.000000	15.000000	2.000000
41	m021	1.500000	12.000000	3.000000
42	m022	1.500000	12.000000	3.000000
43	m023	1.000000	10.000000	3.000000
44	m024	1.000000	10.000000	3.000000
45	m025	3.000000	12.000000	3.000000
46	m908	2.000000	12.000000	3.000000
47	m909	2.500000	12.000000	3.000000
48	m038	3.000000	12.000000	3.000000
49	m026	1.500000	12.000000	3.000000
50	m027	2.000000	12.000000	3.000000
51	m911	2.000000	12.000000	3.000000
52	m028	1.000000	10.000000	3.000000
53	m029	3.000000	12.000000	3.000000
54	m030	2.500000	12.000000	3.000000
55	m031	4.000000	12.000000	2.000000
56	m032	2.000000	11.000000	3.000000
57	m915	1.500000	12.000000	3.000000
58	m916	1.500000	12.000000	3.000000
59	m033	2.000000	12.000000	3.000000
60	m917	2.000000	12.000000	3.000000
61	m918	4.000000	15.000000	3.000000
62	m919	4.000000	15.000000	3.000000
63	m034	1.000000	10.000000	3.000000
64	m035	4.000000	15.000000	3.000000
65	m036	3.500000	15.000000	3.000000
66	m037	4.000000	15.000000	3.000000
67	m920	4.000000	15.000000	3.000000
68	m921	3.000000	12.000000	3.000000
69	m922	2.000000	12.000000	3.000000
70	m039	1.000000	10.000000	3.000000
71	m040	2.500000	12.000000	3.000000
72	m041	1.500000	12.000000	3.000000
73	m043	4.000000	15.000000	3.000000
74	m923	1.500000	12.000000	3.000000
75	m924	3.000000	12.000000	3.000000
76	m046	3.000000	12.000000	3.000000
77	m047	3.000000	12.000000	3.000000
78	m048	1.500000	12.000000	3.000000
79	m049	4.000000	15.000000	3.000000
80	m050	4.000000	15.000000	3.000000
81	m044	2.000000	12.000000	3.000000
82	m045	2.500000	12.000000	3.000000
83	m925	2.500000	12.000000	3.000000
84	b001	5.000000	12.000000	2.000000
85	b003	4.000000	15.000000	3.000000
86	b901	5.000000	20.000000	3.000000
87	b004	4.000000	15.000000	3.000000
88	b002	5.000000	20.000000	3.000000
89	b012	4.000000	15.000000	3.000000
90	b007	2.000000	15.000000	3.000000
91	b008	3.000000	12.000000	3.000000
92	b009	4.000000	15.000000	3.000000
93	b701	3.500000	15.000000	3.000000
94	b010	3.500000	15.000000	3.000000
95	b902	6.000000	15.000000	2.000000
96	b014	2.000000	12.000000	3.000000
97	b011	4.000000	15.000000	3.000000
98	n007	4.000000	20.000000	2.000000
99	p005	1.000000	11.000000	5.000000
100	p017	1.000000	11.000000	5.000000
101	a011	1.000000	11.000000	5.000000
102	a012	1.000000	11.000000	5.000000
103	r017	2.000000	20.000000	2.000000
104	r013	2.000000	20.000000	2.000000
105	r018	2.000000	20.000000	2.000000
106	n053	2.000000	16.000000	5.000000
107	n065	4.500000	16.000000	5.000000
108	n900	2.000000	16.000000	3.000000
109	b015	3.000000	15.000000	3.000000
110	r023	4.000000	15.000000	3.000000
111	n094	4.000000	15.000000	3.000000
112	r044	4.000000	15.000000	3.000000
113	r045	4.000000	15.000000	3.000000
114	r043	4.000000	15.000000	3.000000
115	r037	4.000000	15.000000	3.000000
116	p026	2.000000	15.000000	3.000000
117	r701	2.500000	15.000000	3.000000
118	r042	4.000000	20.000000	3.000000
119	r112	4.000000	15.000000	3.000000
