事件ID	事件类型	底图icon	事件icon	事件动效	是否穿云	基础体力消耗	基础奖励	事件标题	事件描述
int	int	string	string	string	int	string	string	string	string
EventId	EventType	BaseIcon	EventIcon	EventEffect	ThCould	BasisEnergy	BasisReward	EventTitle	EventDes
1100	1		icon_sailingseason_eventtreasure_mini		0	item1042,20	item1040,10;item1041,10;item1000,1000	EventTitle_1100	EventDes_1100
1101	1	icon_sailingseason_landnromal	icon_sailingseason_eventtreasure_mini		0	item1042,20	item1040,10;item1041,10;item1000,1000	EventTitle_1101	EventDes_1101
1102	1	icon_sailingseason_landspiral	icon_sailingseason_eventtreasure_mini		0	item1042,20	item1040,10;item1041,10;item1000,1000	EventTitle_1102	EventDes_1102
1103	1	icon_sailingseason_landfire	icon_sailingseason_eventtreasure_mini		0	item1042,20	item1040,10;item1041,10;item1000,1000	EventTitle_1103	EventDes_1103
1104	1	icon_sailingseason_landshadow	icon_sailingseason_eventtreasure_mini		0	item1042,20	item1040,10;item1041,10;item1000,1000	EventTitle_1104	EventDes_1104
1105	1	icon_sailingseason_landdead	icon_sailingseason_eventtreasure_mini		0	item1042,20	item1040,10;item1041,10;item1000,1000	EventTitle_1105	EventDes_1105
1106	1	icon_sailingseason_landundersea	icon_sailingseason_eventtreasure_mini		0	item1042,20	item1040,10;item1041,10;item1000,1000	EventTitle_1106	EventDes_1106
1107	1	icon_sailingseason_landdesert	icon_sailingseason_eventtreasure_mini		0	item1042,20	item1040,10;item1041,10;item1000,1000	EventTitle_1107	EventDes_1107
1108	1	icon_sailingseason_landfiresea	icon_sailingseason_eventtreasure_mini		0	item1042,20	item1040,10;item1041,10;item1000,1000	EventTitle_1108	EventDes_1108
1109	1	icon_sailingseason_landblack	icon_sailingseason_eventtreasure_mini		0	item1042,20	item1040,10;item1041,10;item1000,1000	EventTitle_1109	EventDes_1109
1200	2		icon_sailingseason_eventchoose_mini		0	item1042,20	item1040,12;item1041,12;item1000,1200	EventTitle_1200	EventDes_1200
1201	2	icon_sailingseason_landnromal	icon_sailingseason_eventchoose_mini		0	item1042,20	item1040,12;item1041,12;item1000,1200	EventTitle_1201	EventDes_1201
1202	2	icon_sailingseason_landspiral	icon_sailingseason_eventchoose_mini		0	item1042,20	item1040,12;item1041,12;item1000,1200	EventTitle_1202	EventDes_1202
1203	2	icon_sailingseason_landfire	icon_sailingseason_eventchoose_mini		0	item1042,20	item1040,12;item1041,12;item1000,1200	EventTitle_1203	EventDes_1203
1204	2	icon_sailingseason_landshadow	icon_sailingseason_eventchoose_mini		0	item1042,20	item1040,12;item1041,12;item1000,1200	EventTitle_1204	EventDes_1204
1205	2	icon_sailingseason_landdead	icon_sailingseason_eventchoose_mini		0	item1042,20	item1040,12;item1041,12;item1000,1200	EventTitle_1205	EventDes_1205
1206	2	icon_sailingseason_landundersea	icon_sailingseason_eventchoose_mini		0	item1042,20	item1040,12;item1041,12;item1000,1200	EventTitle_1206	EventDes_1206
1207	2	icon_sailingseason_landdesert	icon_sailingseason_eventchoose_mini		0	item1042,20	item1040,12;item1041,12;item1000,1200	EventTitle_1207	EventDes_1207
1208	2	icon_sailingseason_landfiresea	icon_sailingseason_eventchoose_mini		0	item1042,20	item1040,12;item1041,12;item1000,1200	EventTitle_1208	EventDes_1208
1209	2	icon_sailingseason_landblack	icon_sailingseason_eventchoose_mini		0	item1042,20	item1040,12;item1041,12;item1000,1200	EventTitle_1209	EventDes_1209
1210	2		icon_sailingseason_eventchoose_mini		0	item1042,20	item1040,12;item1041,12;item1000,1200	EventTitle_1210	EventDes_1210
1211	2		icon_sailingseason_eventchoose_mini		0	item1042,20	item1040,12;item1041,12;item1000,1200	EventTitle_1211	EventDes_1211
1212	2		icon_sailingseason_eventchoose_mini		0	item1042,20	item1040,12;item1041,12;item1000,1200	EventTitle_1212	EventDes_1212
1213	2		icon_sailingseason_eventchoose_mini		0	item1042,20	item1040,12;item1041,12;item1000,1200	EventTitle_1213	EventDes_1213
1214	2		icon_sailingseason_eventchoose_mini		0	item1042,20	item1040,12;item1041,12;item1000,1200	EventTitle_1214	EventDes_1214
1215	2		icon_sailingseason_eventchoose_mini		0	item1042,20	item1040,12;item1041,12;item1000,1200	EventTitle_1230	EventDes_1230
1216	2		icon_sailingseason_eventchoose_mini		0	item1042,20	item1040,12;item1041,12;item1000,1200	EventTitle_1216	EventDes_1216
1300	3		icon_sailingseason_eventpve_mini		0	item1042,20	item1040,20;item1041,20;item1000,2000	EventTitle_1300	EventDes_1300
1301	3	icon_sailingseason_landnromal	icon_sailingseason_eventpve_mini		0	item1042,20	item1040,20;item1041,20;item1000,2000	EventTitle_1301	EventDes_1301
1302	3	icon_sailingseason_landspiral	icon_sailingseason_eventpve_mini		0	item1042,20	item1040,20;item1041,20;item1000,2000	EventTitle_1302	EventDes_1302
1303	3	icon_sailingseason_landfire	icon_sailingseason_eventpve_mini		0	item1042,20	item1040,20;item1041,20;item1000,2000	EventTitle_1303	EventDes_1303
1304	3	icon_sailingseason_landshadow	icon_sailingseason_eventpve_mini		0	item1042,20	item1040,20;item1041,20;item1000,2000	EventTitle_1304	EventDes_1304
1305	3	icon_sailingseason_landdead	icon_sailingseason_eventpve_mini		0	item1042,20	item1040,20;item1041,20;item1000,2000	EventTitle_1305	EventDes_1305
1306	3	icon_sailingseason_landundersea	icon_sailingseason_eventpve_mini		0	item1042,20	item1040,20;item1041,20;item1000,2000	EventTitle_1306	EventDes_1306
1307	3	icon_sailingseason_landdesert	icon_sailingseason_eventpve_mini		0	item1042,20	item1040,20;item1041,20;item1000,2000	EventTitle_1307	EventDes_1307
1308	3	icon_sailingseason_landfiresea	icon_sailingseason_eventpve_mini		0	item1042,20	item1040,20;item1041,20;item1000,2000	EventTitle_1308	EventDes_1308
1309	3	icon_sailingseason_landblack	icon_sailingseason_eventpve_mini		0	item1042,20	item1040,20;item1041,20;item1000,2000	EventTitle_1309	EventDes_1309
1310	3		icon_sailingseason_eventpve_mini		0	item1042,20	item1040,20;item1041,20;item1000,2000	EventTitle_1310	EventDes_1310
1311	3		icon_sailingseason_eventpve_mini		0	item1042,20	item1040,20;item1041,20;item1000,2000	EventTitle_1311	EventDes_1311
