等级	升级总经验	解锁内容图标	解锁内容说明
int	int	string	string
Id	TotalExp	UnlockImgList	UnlockDesList
1	0		
2	10		
3	30		
4	70	item_144300007009	HL_Furniture_Unlock_5
5	120	item_144000000001;item_144300007004	ObjectName4001;HL_Furniture_Unlock_8
6	170	homeland_chickenfield;item_144100000001	ObjectName2001;ObjectName4101
7	270	item_144000000002	ObjectName4002
8	470	homeland_cowfield;item_144100000002;item_144300007003	ObjectName2002;ObjectName4101;HL_Furniture_Unlock_7
9	870	item_144200000015	ObjectName4601
10	1670	item_144000000004	ObjectName4004
11	3170	item_144200000001;item_144300007026	ObjectName4401;HL_Furniture_Unlock_12
12	5770	homeland_pigfield;item_144100000003;item_144200000023	ObjectName2003;ObjectName4301;ObjectName4603
13	9470	item_144200000002;item_144200000031	ObjectName4402;ObjectName4701
14	16270	item_144000000003;item_144300007042	ObjectName4003;HL_Furniture_Unlock_3
15	25870	item_144200000011	ObjectName4501
16	38770	item_144200000025	ObjectName4605
17	56470	item_144200000034	ObjectName4704
18	79370	item_144300007001	HL_Furniture_Unlock_6
19	107970	item_144200000003;item_144200000012	ObjectName4403;ObjectName4502
20	144270	item_144200000026;item_144300007039	ObjectName4606;HL_Furniture_Unlock_10
21	188770	item_144200000033	ObjectName4703
22	242170	item_144200000013;item_144300000005	ObjectName4503;HL_Furniture_Unlock_1
23	304970	item_144200000004	ObjectName4404
24	377770	item_144000000005;item_144200000024	ObjectName4005;ObjectName4604
25	461070	item_144200000036	ObjectName4706
26	561570	item_144200000014	ObjectName4504
27	673970		
28	798870	item_144200000022	ObjectName4602
29	936870	item_144200000032	ObjectName4702
30	1088570		
31	1252770		
32	1429970		
33	1620470	item_144200000035	ObjectName4705
34	1824670		
35	2045870		
36	2281070		
37	2537270		
38	2808470		
39	3094870		
40	3404370		
41	3729970		
42	4071970		
43	4439070		
44	4823470		
45	5225470		
46	5654570		
47	6102170		
48	6568470		
49	7063970		
50	7579170		
