流水	排行榜ID	排名最小区间	排名最大区间	奖励	开启类别
int	int	int	int	string	int
Id	rankid	RankMin	RankMax	Reward	opentype
1	1	1	1	item1058,5000;item171002010002,50	1
2	1	2	2	item1058,4500;item171002010002,45	1
3	1	3	3	item1058,4500;item171002010002,40	1
4	1	4	4	item1058,4000;item171002010002,35	1
5	1	5	5	item1058,4000;item171002010002,30	1
6	1	6	6	item1058,3500;item171002010002,25	1
7	1	7	7	item1058,3500;item171002010002,20	1
8	1	8	8	item1058,3500;item171002010002,15	1
9	1	9	9	item1058,3500;item171002010002,10	1
10	1	10	10	item1058,3500;item171002010001,30	1
11	1	11	20	item1058,3000;item171002010001,25	1
12	1	21	50	item1058,2500;item171002010001,20	1
13	1	51	100	item1058,2000;item171002010001,15	1
14	2	1	1	item1058,5000;item171002010002,50	1
15	2	2	2	item1058,4500;item171002010002,45	1
16	2	3	3	item1058,4500;item171002010002,40	1
17	2	4	4	item1058,4000;item171002010002,35	1
18	2	5	5	item1058,4000;item171002010002,30	1
19	2	6	6	item1058,3500;item171002010002,25	1
20	2	7	7	item1058,3500;item171002010002,20	1
21	2	8	8	item1058,3500;item171002010002,15	1
22	2	9	9	item1058,3500;item171002010002,10	1
23	2	10	10	item1058,3500;item171002010001,30	1
24	2	11	20	item1058,3000;item171002010001,25	1
25	2	21	50	item1058,2500;item171002010001,20	1
26	2	51	100	item1058,2000;item171002010001,15	1
27	3	1	1	item1058,5000;item171002010002,50	1
28	3	2	2	item1058,4500;item171002010002,45	1
29	3	3	3	item1058,4500;item171002010002,40	1
30	3	4	4	item1058,4000;item171002010002,35	1
31	3	5	5	item1058,4000;item171002010002,30	1
32	3	6	6	item1058,3500;item171002010002,25	1
33	3	7	7	item1058,3500;item171002010002,20	1
34	3	8	8	item1058,3500;item171002010002,15	1
35	3	9	9	item1058,3500;item171002010002,10	1
36	3	10	10	item1058,3500;item171002010001,30	1
37	3	11	20	item1058,3000;item171002010001,25	1
38	3	21	50	item1058,2500;item171002010001,20	1
39	3	51	100	item1058,2000;item171002010001,15	1
40	4	1	1	item1058,5000;item171002010002,50	1
41	4	2	2	item1058,4500;item171002010002,45	1
42	4	3	3	item1058,4500;item171002010002,40	1
43	4	4	4	item1058,4000;item171002010002,35	1
44	4	5	5	item1058,4000;item171002010002,30	1
45	4	6	6	item1058,3500;item171002010002,25	1
46	4	7	7	item1058,3500;item171002010002,20	1
47	4	8	8	item1058,3500;item171002010002,15	1
48	4	9	9	item1058,3500;item171002010002,10	1
49	4	10	10	item1058,3500;item171002010001,30	1
50	4	11	20	item1058,3000;item171002010001,25	1
51	4	21	50	item1058,2500;item171002010001,20	1
52	4	51	100	item1058,2000;item171002010001,15	1
53	5	1	1	item1058,5000;item171002010002,50	1
54	5	2	2	item1058,4500;item171002010002,45	1
55	5	3	3	item1058,4500;item171002010002,40	1
56	5	4	4	item1058,4000;item171002010002,35	1
57	5	5	5	item1058,4000;item171002010002,30	1
58	5	6	6	item1058,3500;item171002010002,25	1
59	5	7	7	item1058,3500;item171002010002,20	1
60	5	8	8	item1058,3500;item171002010002,15	1
61	5	9	9	item1058,3500;item171002010002,10	1
62	5	10	10	item1058,3500;item171002010001,30	1
63	5	11	20	item1058,3000;item171002010001,25	1
64	5	21	50	item1058,2500;item171002010001,20	1
65	5	51	100	item1058,2000;item171002010001,15	1
66	6	1	1	item1058,5000;item171002010002,50	2
67	6	2	2	item1058,4500;item171002010002,45	2
68	6	3	3	item1058,4500;item171002010002,40	2
69	6	4	4	item1058,4000;item171002010002,35	2
70	6	5	5	item1058,4000;item171002010002,30	2
71	6	6	6	item1058,3500;item171002010002,25	2
72	6	7	7	item1058,3500;item171002010002,20	2
73	6	8	8	item1058,3500;item171002010002,15	2
74	6	9	9	item1058,3500;item171002010002,10	2
75	6	10	10	item1058,3500;item171002010001,30	2
76	6	11	20	item1058,3000;item171002010001,25	2
77	6	21	50	item1058,2500;item171002010001,20	2
78	6	51	100	item1058,2000;item171002010001,15	2
79	7	1	1	item1058,5000;item171002010002,50	2
80	7	2	2	item1058,4500;item171002010002,45	2
