流水	子结果类型	子结果参数	权重	选项语言包
int	int	string	int	string
Id	ResultType2	Param	Value	Select
1	10	80	100	FairyCastleChoose1001_1
2	10	81	100	FairyCastleChoose1001_2
3	10	82	100	FairyCastleChoose1001_3
4	10	0	0	FairyCastleChoose1001_4
5	10	81	100	FairyCastleChoose1002_1
6	10	82	100	FairyCastleChoose1002_2
7	10	80	100	FairyCastleChoose1002_3
8	10	0	0	FairyCastleChoose1002_4
9	10	82	100	FairyCastleChoose1003_1
10	10	80	100	FairyCastleChoose1003_2
11	10	81	100	FairyCastleChoose1003_3
12	10	0	0	FairyCastleChoose1003_4
13	10	83	100	FairyCastleChoose1001_1
14	10	84	100	FairyCastleChoose1001_2
15	10	85	100	FairyCastleChoose1001_3
16	10	0	0	FairyCastleChoose1001_4
17	10	84	100	FairyCastleChoose1002_1
18	10	85	100	FairyCastleChoose1002_2
19	10	83	100	FairyCastleChoose1002_3
20	10	0	0	FairyCastleChoose1002_4
21	10	85	100	FairyCastleChoose1003_1
22	10	83	100	FairyCastleChoose1003_2
23	10	84	100	FairyCastleChoose1003_3
24	10	0	0	FairyCastleChoose1003_4
25	10	86	100	FairyCastleChoose1001_1
26	10	87	100	FairyCastleChoose1001_2
27	10	88	100	FairyCastleChoose1001_3
28	10	89	100	FairyCastleChoose1001_4
29	10	87	100	FairyCastleChoose1002_1
30	10	88	100	FairyCastleChoose1002_2
31	10	89	100	FairyCastleChoose1002_3
32	10	86	100	FairyCastleChoose1002_4
33	10	88	100	FairyCastleChoose1003_1
34	10	89	100	FairyCastleChoose1003_2
35	10	86	100	FairyCastleChoose1003_3
36	10	87	100	FairyCastleChoose1003_4
37	10	90	100	FairyCastleChoose1001_1
38	10	91	100	FairyCastleChoose1001_2
39	10	92	100	FairyCastleChoose1001_3
40	10	93	100	FairyCastleChoose1001_4
41	10	92	100	FairyCastleChoose1002_1
42	10	93	100	FairyCastleChoose1002_2
43	10	90	100	FairyCastleChoose1002_3
44	10	91	100	FairyCastleChoose1002_4
45	10	93	100	FairyCastleChoose1003_1
46	10	90	100	FairyCastleChoose1003_2
47	10	91	100	FairyCastleChoose1003_3
48	10	92	100	FairyCastleChoose1003_4
49	10	94	100	FairyCastleChoose1001_1
50	10	95	100	FairyCastleChoose1001_2
51	10	96	100	FairyCastleChoose1001_3
52	10	97	100	FairyCastleChoose1001_4
53	10	95	100	FairyCastleChoose1002_1
54	10	96	100	FairyCastleChoose1002_2
55	10	97	100	FairyCastleChoose1002_3
56	10	94	100	FairyCastleChoose1002_4
57	10	96	100	FairyCastleChoose1003_1
58	10	97	100	FairyCastleChoose1003_2
59	10	94	100	FairyCastleChoose1003_3
60	10	95	100	FairyCastleChoose1003_4
61	51	50,200,26304	100	FairyCastleChoose01
62	51	50,250,26305	100	FairyCastleChoose02
63	50	2000,26304	100	FairyCastleChoose03
64	50	2500,26305	100	FairyCastleChoose04
65	51	50,600,26326	100	FairyCastleChoose05
66	51	50,400,26302	100	FairyCastleChoose06
67	51	50,450,26303	100	FairyCastleChoose07
68	50	4000,26302	100	FairyCastleChoose08
69	50	4500,26303	100	FairyCastleChoose09
70	41	3000,50,200	100	FairyCastleChoose10
71	41	6000,50,500	100	FairyCastleChoose11
72	41	5000,51,5	100	FairyCastleChoose12
73	51	50,200,26304	100	FairyCastleChoose13
74	51	50,250,26305	100	FairyCastleChoose14
75	50	2000,26304	100	FairyCastleChoose15
76	50	2500,26305	100	FairyCastleChoose16
77	51	50,500,26326	100	FairyCastleChoose17
78	51	50,400,26302	100	FairyCastleChoose18
79	51	50,450,26303	100	FairyCastleChoose19
80	50	3000,26302	100	FairyCastleChoose20
81	50	4000,26303	100	FairyCastleChoose21
82	41	3000,50,250	100	FairyCastleChoose22
83	41	6000,50,600	100	FairyCastleChoose23
84	41	5000,51,8	100	FairyCastleChoose24
85	51	50,200,26304	100	FairyCastleChoose25
86	51	50,250,26305	100	FairyCastleChoose26
87	50	2000,26304	100	FairyCastleChoose27
88	50	2500,26305	100	FairyCastleChoose28
89	999		-1	FairyCastleChoose999_1
90	999		-1	FairyCastleChoose999_2
