流水	场景ID	类型	需求数量	场景前置ID
int	int	int	int	int
Id	SceneId	Type	Parameter	SceneFrontId
1	1	1	0	0
2	1	2	4	0
3	1	3	16	0
4	1	4	1	0
5	1	5	0	0
6	1	6	0	0
7	3	1	1	1
8	3	2	6	1
9	3	3	19	1
10	3	4	2	1
11	3	5	2	1
12	3	6	2	1
13	4	1	1	3
14	4	2	8	3
15	4	3	29	3
16	4	4	6	3
17	4	5	2	3
18	4	6	2	3
19	5	1	1	4
20	5	2	8	4
21	5	3	17	4
22	5	4	6	4
23	5	5	2	4
24	5	6	2	4
25	6	1	1	5
26	6	2	8	5
27	6	3	25	5
28	6	4	12	5
29	6	5	2	5
30	6	6	2	5
31	7	1	1	6
32	7	2	8	6
33	7	3	35	6
34	7	4	10	6
35	7	5	2	6
36	7	6	2	6
37	8	1	1	7
38	8	2	8	7
39	8	3	30	7
40	8	4	10	7
41	8	5	2	7
42	8	6	2	7
43	9	1	1	8
44	9	2	8	8
45	9	3	42	8
46	9	4	6	8
47	9	5	0	8
48	9	6	0	8
49	37	1	1	9
50	37	2	8	9
51	37	3	21	9
52	37	4	0	9
53	37	5	0	9
54	37	6	0	9
55	18	1	1	37
56	18	2	8	37
57	18	3	22	37
58	18	4	3	37
59	18	5	0	37
60	18	6	0	37
