流水	队伍类型	调用参数	标签序号	副本星级(挑战本专用)	功能icon	排序	最小等级	最大等级	初始评分	等级限制	限制最大人数	副本名字	是否默认启用评分	是否默认启用职业定位	坦克数量	输出数量	治疗数量	是否支持佣兵	前往副本目标组ID
int	int	int	int	int	string	int	int	int	int	int	int	string	int	int	int	int	int	bool	int
Id	Type	Param	MenuIndex	StarLevel	Icon	Order	MixLevel	MaxLevel	CombatPower	EnterLevel	LimitNumber	DungeonName	LimitScore	LimitProfession	NeedDefNum	NeedAtkNum	NeedHealNum	IsSoldierFight	TargetDungeoneGruopID
1	0	0	0	0		0	10	110	0	0	5	Team_EasyGroupMenu_0	0	0	0	0	0	0	0
2	25	0	0	0	btn_dungeon	3	10	110	0	20	5	Team_EasyGroupMenu_1	0	0	0	0	0	0	0
3	25	1036	1	0	btn_dungeon	3	20	110	1000	20	5	TeamName1036	0	0	0	0	0	1	0
4	25	1030	3	0	btn_dungeon	3	20	110	1000	20	5	TeamName1029	0	1	1	3	1	1	0
5	25	1037	4	0	btn_dungeon	3	30	110	1000	30	5	TeamName1037	0	1	1	3	1	1	0
6	25	1027	5	0	btn_dungeon	3	30	110	1000	30	5	TeamName1027	0	1	1	3	1	1	0
7	25	1028	6	0	btn_dungeon	3	30	110	1000	30	5	TeamName1028	0	1	1	3	1	1	0
8	25	1035	7	0	btn_dungeon	3	36	110	1000	36	5	TeamName1035	0	1	1	3	1	1	0
9	25	1025	8	0	btn_dungeon	3	36	110	1000	36	5	TeamName1025	0	1	1	3	1	1	0
10	25	1026	9	0	btn_dungeon	3	36	110	1000	36	5	TeamName1026	0	1	1	3	1	1	0
11	25	1031	10	0	btn_dungeon	3	45	110	1000	45	5	TeamName1031	0	1	1	3	1	1	0
12	25	1032	11	0	btn_dungeon	3	45	110	1000	45	5	TeamName1032	0	1	1	3	1	1	0
13	25	1033	12	0	btn_dungeon	3	55	110	1000	55	5	TeamName1033	0	1	1	3	1	1	0
14	25	1034	13	0	btn_dungeon	3	55	110	1000	55	5	TeamName1034	0	1	1	3	1	1	0
15	25	1039	14	0	btn_dungeon	3	65	110	1000	65	5	TeamName1039	0	1	1	3	1	1	0
16	25	1038	15	0	btn_dungeon	3	65	110	1000	65	5	TeamName1038	0	1	1	3	1	1	0
17	25	1040	16	0	btn_dungeon	3	81	110	1000	81	5	TeamName1040	0	1	1	3	1	1	0
18	25	1041	17	0	btn_dungeon	3	81	110	1000	81	5	TeamName1041	0	1	1	3	1	1	0
19	26	0	0	0	btn_dungeon	8	0	0	0	40	10	Team_EasyGroupMenu_2	0	0	0	0	0	0	0
20	26	1103	4	0	btn_dungeon	8	40	110	1000	40	10	TeamName1103	0	1	2	6	2	1	0
21	26	1100	1	0	btn_dungeon	8	40	110	1000	40	10	TeamName1100	0	1	2	6	2	1	0
22	26	1104	5	0	btn_dungeon	8	50	110	1000	50	10	TeamName1104	0	1	2	6	2	1	0
23	26	1101	2	0	btn_dungeon	8	50	110	1000	50	10	TeamName1101	0	1	2	6	2	1	0
