流水	技能id	等级	升级道具消耗	升级货币消耗	突破后附加属性	突破后附加buff	突破后附加buff等级	替换/淬炼货币消耗
int	string	int	string	string	string	string	int	string
Id	SkillId	Level	LevelUpItemCost	LevelUpCurrencyCost	BreakAddProp	BreakAddBuff	BreakAddBuffLev	QuenchingCurrencyCost
1	skill10001	1	item103010132001,1	1,100000			0	1,50000
2	skill10001	2	item103010132001,1	1,200000			0	1,50000
3	skill10001	3	item103010132001,1	1,500000			0	1,50000
4	skill10001	4					0	1,50000
5	skill10008	1	item103010132011,1	1,100000			0	1,50000
6	skill10008	2	item103010132011,1	1,200000			0	1,50000
7	skill10008	3	item103010132011,1	1,500000			0	1,50000
8	skill10008	4					0	1,50000
9	skill10004	1	item103010132021,1	1,100000			0	1,50000
10	skill10004	2	item103010132021,1	1,200000			0	1,50000
11	skill10004	3	item103010132021,1	1,500000			0	1,50000
12	skill10004	4					0	1,50000
13	skill10007	1	item103010132031,1	1,100000			0	1,50000
14	skill10007	2	item103010132031,1	1,200000			0	1,50000
15	skill10007	3	item103010132031,1	1,500000			0	1,50000
16	skill10007	4					0	1,50000
17	skill10006	1	item103010132101,1	1,200000			0	1,50000
18	skill10006	2	item103010132101,1	1,500000			0	1,50000
19	skill10006	3	item103010132101,1	1,1000000			0	1,50000
20	skill10006	4					0	1,50000
21	skill10005	1	item103010132111,1	1,200000			0	1,50000
22	skill10005	2	item103010132111,1	1,500000			0	1,50000
23	skill10005	3	item103010132111,1	1,1000000			0	1,50000
24	skill10005	4					0	1,50000
25	skill10016	1	item103010132121,1	1,200000			0	1,50000
26	skill10016	2	item103010132121,1	1,500000			0	1,50000
27	skill10016	3	item103010132121,1	1,1000000			0	1,50000
28	skill10016	4					0	1,50000
29	skill10009	1	item103010132201,1	1,500000			0	1,50000
30	skill10009	2	item103010132201,1	1,1000000			0	1,50000
31	skill10009	3	item103010132201,1	1,2000000			0	1,50000
32	skill10009	4					0	1,50000
33	skill10002	1	item103010132211,1	1,500000			0	1,50000
34	skill10002	2	item103010132211,1	1,1000000			0	1,50000
35	skill10002	3	item103010132211,1	1,2000000			0	1,50000
36	skill10002	4					0	1,50000
37	skill10014	1	item103010132221,1	1,500000			0	1,50000
38	skill10014	2	item103010132221,1	1,1000000			0	1,50000
39	skill10014	3	item103010132221,1	1,2000000			0	1,50000
40	skill10014	4					0	1,50000
41	skill10015	1	item103010132231,1	1,500000			0	1,50000
42	skill10015	2	item103010132231,1	1,1000000			0	1,50000
43	skill10015	3	item103010132231,1	1,2000000			0	1,50000
44	skill10015	4					0	1,50000
45	skill10019	1	item103010132241,1	1,500000			0	1,50000
46	skill10019	2	item103010132241,1	1,1000000			0	1,50000
47	skill10019	3	item103010132241,1	1,2000000			0	1,50000
48	skill10019	4					0	1,50000
49	skill10023	1	item103015110420,1	1,500000			0	1,50000
50	skill10023	2	item103015110420,1	1,1000000			0	1,50000
51	skill10023	3	item103015110420,1	1,2000000			0	1,50000
52	skill10023	4					0	1,50000
53	skill10010	1	item103010132301,1	1,1000000			0	1,50000
54	skill10010	2	item103010132301,1	1,2000000			0	1,50000
55	skill10010	3	item103010132301,1	1,5000000			0	1,50000
56	skill10010	4	item103010132301,1;item91000000694,2	1,4000000			0	1,50000
57	skill10010	5	item103010132301,1;item91000000694,1	1,2000000	1420000025	skill10010::buff_wp_surpass	1	1,50000
58	skill10010	6	item103010132301,1;item91000000694,2	1,4000000	1420000026	skill10010::buff_wp_surpass	2	1,50000
59	skill10010	7	item103010132301,1;item91000000694,3	1,6000000	1420000027	skill10010::buff_wp_surpass	3	1,50000
60	skill10010	8			1420000028	skill10010::buff_wp_surpass	4	1,50000
61	skill10011	1	item103010132311,1	1,1000000			0	1,50000
62	skill10011	2	item103010132311,1	1,2000000			0	1,50000
63	skill10011	3	item103010132311,1	1,5000000			0	1,50000
64	skill10011	4	item103010132311,1;item91000000694,2	1,4000000			0	1,50000
65	skill10011	5	item103010132311,1;item91000000694,1	1,2000000	1420000029	skill10011::buff_wp_surpass	1	1,50000
66	skill10011	6	item103010132311,1;item91000000694,2	1,4000000	1420000030	skill10011::buff_wp_surpass	2	1,50000
67	skill10011	7	item103010132311,1;item91000000694,3	1,6000000	1420000031	skill10011::buff_wp_surpass	3	1,50000
68	skill10011	8			1420000032	skill10011::buff_wp_surpass	4	1,50000
69	skill10012	1	item103010132321,1	1,1000000			0	1,50000
70	skill10012	2	item103010132321,1	1,2000000			0	1,50000
71	skill10012	3	item103010132321,1	1,5000000			0	1,50000
72	skill10012	4	item103010132321,1;item91000000694,2	1,4000000			0	1,50000
73	skill10012	5	item103010132321,1;item91000000694,1	1,2000000	1420000033	skill10012::buff_wp_surpass	1	1,50000
74	skill10012	6	item103010132321,1;item91000000694,2	1,4000000	1420000034	skill10012::buff_wp_surpass	2	1,50000
