编号	解锁	显示ID	排序	类型	可视等级	解锁条件	特殊条件参数	奖励冒险币	增加属性	介绍	出现场景	坐标	UI界面模型倍数	UI界面模型位置	捕捉怪物	怪物情报分析	征服之路组合	装备套装分类	爱好解锁条件类型	爱好解锁参数	爱好道具	海报链接	小传解锁条件类型	小传解锁参数	小传内容	获取魔灵的道具	普通副本名	普通首领技能	英雄副本名	英雄首领技能	地区渠道号	冒险点数
int	string	string	int	int	int	int	string	int	string	string	string	vector3	float	string	string	string	string	int	int	string	string	string	string	string	string	string	string	string	string	string	string	int
Id	Key	ShowID	Sort	Type	Level	UnlockCond	UnlockParm	Reward	AddProp	Introduction	AcceptScene	Pos	AvatarZoom	AvatarLocation	MonsterId	Information	ConquerID	SuitType	HobbyType	HobbyNum	HobbyItemID	Poster	BiographyType	BiographyNum	BiographyDes	CatchItem	NDungeonName	NormalSkill	HDungeonName	HeroSkill	SDKAreaTypes	AdvantureCount
100001	100001	monster10002001	1	1	1	7		2		MonsterDes_10002001	1	-35.9, -0.6, 40.9	0.000000				1	0	0													0
100002	100002	monster10002002	2	1	1	1		2		MonsterDes_10002002	1	-21.0, -0.6, 60.6	0.000000				2	0	0													0
100003	100003	monster10002003	3	1	1	7		2		MonsterDes_10002003	1	-7.8, -0.5, 17.9	0.000000				3,83	0	0													0
100004	100004	monster10002005	4	1	1	1		2		MonsterDes_10002005	1	25.0, -0.5, -7.2	0.000000				4	0	0													0
100005	100005	monster10002006	5	1	1	1		2		MonsterDes_10002006	1	41.7, -0.5, 14.7	0.000000				5,6	0	0													0
100006	100006	monster10002007	6	1	1	1		2		MonsterDes_10002007	1	-45.9, -5.0, -16.5	0.000000				7	0	0													0
100007	100007	monster10002008	7	1	1	1		2		MonsterDes_10002008	1	41.1, -5.1, -48.2	0.000000				8,9	0	0													0
100008	100008	monster10002009	8	1	1	1		2		MonsterDes_10002009	1	27.3, -5.2, -56.9	0.700000				10	0	0								DungeonName_1029	1,2	DungeonName_1030	3,4,5		0
100009	100009	monster10002010	9	1	1	7		2		MonsterDes_10002010	1	47.6, 3.8, 42.8	0.700000				11,12	0	0													0
100098	100098	monster30000361	10	1	1	1		2		MonsterDes_30000361	1	57.7, 4.1, 58.3	0.700000				42	0	0													0
100099	100099	monster30000360	11	1	1	1		2		MonsterDes_30000360	1	57.7, 4.1, 58.3	0.700000				43	0	0								DungeonName_1029	6,7,8	DungeonName_1030	9,10,11,12		0
100010	100010	monster30000380	12	1	1	1		2		MonsterDes_30000380	1	57.7, 4.1, 58.3	0.400000				13,14,15	0	0								DungeonName_1029	13,14,15,16	DungeonName_1030	17,18,19,20,21,22,23,24		0
100011	100011	monster10003001	13	1	1	1		2		MonsterDes_10003001	3	-29.6, 0.2, 6.8	0.000000				16	0	0													0
100012	100012	monster10003002	14	1	1	7		2		MonsterDes_10003002	3	-13.3, 0.2, -6.0	0.000000				17	0	0													0
100013	100013	monster10003004	15	1	1	1		2		MonsterDes_10003004	3	12.6, 0.2, 0.4	0.000000				18	0	0													0
100014	100014	monster10003005	16	1	1	1		2		MonsterDes_10003005	3	-6.0, 0.4, 7.8	0.000000	0;0.5;0			19,84	0	0													0
100015	100015	monster10003006	17	1	1	1		2		MonsterDes_10003006	3	35.2, 0.1, 7.0	0.000000				20	0	0													0
100016	100016	monster10003007	18	1	1	7		2		MonsterDes_10003007	3	52.5, 0.1, -5.5	0.000000				21	0	0													0
100017	100017	monster10003009	19	1	1	1		2		MonsterDes_10003009	3	1.2, 0.2, 35.0	0.000000				22	0	0													0
100018	100018	monster10003010	20	1	1	1		2		MonsterDes_10003010	3	-5.8, 0.3, 43.9	0.000000				23	0	0													0
100019	100019	monster10003011	21	1	1	7		2		MonsterDes_10003011	3	-4.5, 0.4, 6.9	0.000000				24,85	0	0													0
100020	100020	monster10003012	22	1	1	1		2		MonsterDes_10003012	3	16.5, 0.2, 35.9	0.600000				25,86	0	0													0
100022	100022	monster30000280	23	1	1	1		2		MonsterDes_30000280	3	5.9, 2.8, 59.6	0.400000				26	0	0								DungeonName_1027	29,30,31	DungeonName_1028	32,33,34		0
100023	100023	monster30000281	24	1	1	1		2		MonsterDes_30000281	3	5.9, 2.8, 59.6	0.800000	0;-0.2;0			27,28	0	0								DungeonName_1027	25,26	DungeonName_1028	27,28		0
100024	100024	monster30000282	25	1	1	1		2		MonsterDes_30000282	3	5.9, 2.8, 59.6	0.400000				29,30,31	0	0								DungeonName_1027	35,36,37,38	DungeonName_1028	39,40,41,42,43,44		0
100026	100026	monster10004002	26	1	1	1		2		MonsterDes_10004002	4	51.7, 5.5, 7.4	0.000000				32	0	0													0
100027	100027	monster10004003	27	1	1	1		2		MonsterDes_10004003	4	1.6, 4.8, -35.2	0.000000				33	0	0													0
100028	100028	monster10004004	28	1	1	1		2		MonsterDes_10004004	4	30.1, 4.8, -52.8	0.000000				34,87	0	0													0
100029	100029	monster10004005	29	1	1	7		2		MonsterDes_10004005	4	8.8, 4.8, -53.8	0.000000				35,88	0	0													0
100030	100030	monster10004006	30	1	1	1		2		MonsterDes_10004006	4	-37.3, 10.6, -83.3	0.000000	0;-0.9;0			36,89	0	0													0
100031	100031	monster10004007	31	1	1	1		2		MonsterDes_10004007	4	-51.1, 10.7, -90.8	0.800000				37,90	0	0													0
100032	100032	monster10004008	32	1	1	7		2		MonsterDes_10004008	4	-29.1, 3.7, -46.4	0.000000				38	0	0													0
100033	100033	monster10000130	33	1	1	1		2		MonsterDes_10004009	4	-53.8, 3.3, -29.1	0.700000				39,91	0	0													0
100034	100034	monster10004010	34	1	1	1		2		MonsterDes_10004010	4	-43.7, 3.6, -46.6	0.000000				40	0	0													0
100035	100035	monster10004011	35	1	1	7		2		MonsterDes_10004011	4	9.1, 6.9, 26.0	0.000000				41	0	0													0
100039	100039	monster30000160	36	1	1	1		2		MonsterDes_30000160	4	-60.5, 2.8, 16.8	0.800000				44	0	0													0
100040	100040	monster30000161	37	1	1	1		2		MonsterDes_30000161	4	-60.5, 2.8, 16.8	0.800000				45	0	0								DungeonName_1025	49	DungeonName_1026	52		0
100041	100041	monster30000162	38	1	1	1		2		MonsterDes_30000162	4	-60.5, 2.8, 16.8	0.800000				46	0	0								DungeonName_1025	50	DungeonName_1026	53		0
100042	100042	monster30000163	39	1	1	1		2		MonsterDes_30000163	4	-60.5, 2.8, 16.8	0.800000				47	0	0								DungeonName_1025	51	DungeonName_1026	54		0
100043	100043	monster30000180	40	1	1	1		2		MonsterDes_30000180	4	-60.5, 2.8, 16.8	0.500000				48,49	0	0								DungeonName_1025	55,56,57,58,59,60	DungeonName_1026	61,62,63,64,65,66,67,68,69		0
100044	100044	monster12000001	41	1	1	1		2		MonsterDes_12000001			0.400000	0;-0.7;0			50	0	0													0
100090	100090	monster12000002	42	1	1	1		2		MonsterDes_12000002			0.500000				51	0	0													0
100045	100045	monster10005001	43	1	40	7		2		MonsterDes_10005001	5	-48.1, 4.2, -35.8	0.800000				52,92	0	0													0
100046	100046	monster10005002	44	1	40	1		2		MonsterDes_10005002	5	-5.1, 4.0, 17.0	0.000000	0;-0.3;0			53	0	0													0
100047	100047	monster10005003	45	1	40	7		2		MonsterDes_10005003	5	7.2, 4.4, -3.0	0.000000	0;-0.3;0			54	0	0													0
100048	100048	monster10005004	46	1	40	7		2		MonsterDes_10005004	5	6.9, 4.4, -29.3	0.000000				55	0	0													0
100049	100049	monster10005005	47	1	40	1		2		MonsterDes_10005005	5	-21.9, 4.4, 42.7	0.000000				56	0	0													0
100050	100050	monster10005006	48	1	40	1		2		MonsterDes_10005006	5	-33.2, 4.5, 37.7	0.700000				57	0	0													0
100051	100051	monster10005007	49	1	40	1		2		MonsterDes_10005007	5	10.5, 3.1, -54.8	0.600000	0;-0.2;0			58,93	0	0													0
100053	100053	monster30100406	50	1	40	1		2		MonsterDes_30100406	5	28.4, 8.0, 60.9	0.800000				59,94	0	0								DungeonName_1031	80,81	DungeonName_1032	82,83,84		0
100054	100054	monster30100460	51	1	40	1		2		MonsterDes_30100460	5	28.4, 8.0, 60.9	0.800000	0;-0.5;0			60	0	0								DungeonName_1031	70,71	DungeonName_1032	72,73,74		0
