流水id	类型	角色ID	分组	发色分组	展示icon	长相	高模长相	发型颜色值
int	int	string	int	int	string	string	string	string
Id	Type	HeroId	Index	ColorIndex	Icon	Avatar	HighAvatar	HairStyleColour
1	1	hero101	1	1	equip_130000001301	c001|face|c001_face001_t1|head|c001_head001_t1|partc|c001_partc001_t1	c001h|face|c001h_face001_t1|head|c001h_head001_t1|partc|c001h_partc001_t1	222,193,153;183,141,103
2	1	hero101	1	2	equip_130000101301	c001|face|c001_face001_t1|head|c001_head001_t2|partc|c001_partc001_t1	c001h|face|c001h_face001_t1|head|c001h_head001_t2|partc|c001h_partc001_t1	92,77,67;57,50,45
3	1	hero101	1	3	equip_130000201301	c001|face|c001_face001_t1|head|c001_head001_t3|partc|c001_partc001_t1	c001h|face|c001h_face001_t1|head|c001h_head001_t3|partc|c001h_partc001_t1	159,117,85;90,67,50
4	1	hero101	2	1	equip_130000201302	c001|face|c001_face001_t1|head|c001_head002_t3|partc|c001_partc001_t1	c001h|face|c001h_face001_t1|head|c001h_head002_t3|partc|c001h_partc001_t1	243,180,198;129,76,109
5	1	hero101	2	2	equip_130000001302	c001|face|c001_face001_t1|head|c001_head002_t1|partc|c001_partc001_t1	c001h|face|c001h_face001_t1|head|c001h_head002_t1|partc|c001h_partc001_t1	212,195,172;135,118,93
6	1	hero101	2	3	equip_130000101302	c001|face|c001_face001_t1|head|c001_head002_t2|partc|c001_partc001_t1	c001h|face|c001h_face001_t1|head|c001h_head002_t2|partc|c001h_partc001_t1	143,123,134;84,66,69
7	1	hero101	3	1	equip_130000001306	c001|face|c001_face001_t1|head|c001_head006_t1|partc|c001_partc001_t1	c001h|face|c001h_face001_t1|head|c001h_head006_t1|partc|c001h_partc001_t1	200,190,188;99,84,85
8	1	hero101	3	2	equip_130000101306	c001|face|c001_face001_t1|head|c001_head006_t2|partc|c001_partc001_t1	c001h|face|c001h_face001_t1|head|c001h_head006_t2|partc|c001h_partc001_t1	235,119,112;132,51,48
9	1	hero101	3	3	equip_130000201306	c001|face|c001_face001_t1|head|c001_head006_t3|partc|c001_partc001_t1	c001h|face|c001h_face001_t1|head|c001h_head006_t3|partc|c001h_partc001_t1	132,163,201;52,61,86
10	1	hero102	1	1	equip_130000002301	c002|face|c002_face001_t1|head|c002_head001_t1|partc|c002_partc001_t1	c002h|face|c002h_face001_t1|head|c002h_head001_t1|partc|c002h_partc001_t1	235,231,233;172,170,181
11	1	hero102	1	2	equip_130000202301	c002|face|c002_face001_t1|head|c002_head001_t2|partc|c002_partc001_t1	c002h|face|c002h_face001_t1|head|c002h_head001_t2|partc|c002h_partc001_t1	111,95,94;75,64,62
12	1	hero102	1	3	equip_130000102301	c002|face|c002_face001_t1|head|c002_head001_t3|partc|c002_partc001_t1	c002h|face|c002h_face001_t1|head|c002h_head001_t3|partc|c002h_partc001_t1	219,192,226;149,119,178
13	1	hero102	2	1	equip_130000102305	c002|face|c002_face001_t1|head|c002_head005_t2|partc|c002_partc001_t1	c002h|face|c002h_face001_t1|head|c002h_head005_t2|partc|c002h_partc001_t1	247,228,165;220,178,89
14	1	hero102	2	2	equip_130000002305	c002|face|c002_face001_t1|head|c002_head005_t1|partc|c002_partc001_t1	c002h|face|c002h_face001_t1|head|c002h_head005_t1|partc|c002h_partc001_t1	235,231,233;135,125,167
15	1	hero102	2	3	equip_130000202305	c002|face|c002_face001_t1|head|c002_head005_t3|partc|c002_partc001_t1	c002h|face|c002h_face001_t1|head|c002h_head005_t3|partc|c002h_partc001_t1	237,149,103;199,92,65
16	1	hero102	3	1	equip_130000002309	c002|face|c002_face001_t1|head|c002_head008_t1|partc|c002_partc001_t1	c002h|face|c002h_face001_t1|head|c002h_head008_t1|partc|c002h_partc001_t1	68,65,70;22,23,27
17	1	hero102	3	2	equip_130000102309	c002|face|c002_face001_t1|head|c002_head008_t2|partc|c002_partc001_t1	c002h|face|c002h_face001_t1|head|c002h_head008_t2|partc|c002h_partc001_t1	131,82,130;55,35,67
18	1	hero102	3	3	equip_130000202309	c002|face|c002_face001_t1|head|c002_head008_t3|partc|c002_partc001_t1	c002h|face|c002h_face001_t1|head|c002h_head008_t3|partc|c002h_partc001_t1	131,102,88;55,43,37
19	1	hero103	1	1	equip_130000003301	c003|face|c003_face001_t1|head|c003_head001_t1|partc|c003_partc001_t1	c003h|face|c003h_face001_t1|head|c003h_head001_t1|partc|c003h_partc001_t1	249,223,186;211,174,118
20	1	hero103	1	2	equip_130000203301	c003|face|c003_face001_t1|head|c003_head001_t2|partc|c003_partc001_t1	c003h|face|c003h_face001_t1|head|c003h_head001_t2|partc|c003h_partc001_t1	214,216,219;135,139,170
21	1	hero103	1	3	equip_130000103301	c003|face|c003_face001_t1|head|c003_head001_t3|partc|c003_partc001_t1	c003h|face|c003h_face001_t1|head|c003h_head001_t3|partc|c003h_partc001_t1	107,87,155;64,41,64
22	1	hero103	2	1	equip_130000103305	c003|face|c003_face001_t1|head|c003_head007_t2|partc|c003_partc001_t1	c003h|face|c003h_face001_t1|head|c003h_head007_t2|partc|c003h_partc001_t1	142,116,116;71,56,57
23	1	hero103	2	2	equip_130000003305	c003|face|c003_face001_t1|head|c003_head007_t1|partc|c003_partc001_t1	c003h|face|c003h_face001_t1|head|c003h_head007_t1|partc|c003h_partc001_t1	227,190,144;192,147,112
24	1	hero103	2	3	equip_130000203305	c003|face|c003_face001_t1|head|c003_head007_t3|partc|c003_partc001_t1	c003h|face|c003h_face001_t1|head|c003h_head007_t3|partc|c003h_partc001_t1	92,110,126;60,64,72
25	1	hero103	3	1	equip_130000003375	c003|face|c003_face001_t1|head|c003_head012_t1|partc|c003_partc001_t1	c003h|face|c003h_face001_t1|head|c003h_head012_t1|partc|c003h_partc001_t1	174,140,166;118,93,127
26	1	hero103	3	2	equip_130000013375	c003|face|c003_face001_t1|head|c003_head012_t2|partc|c003_partc001_t1	c003h|face|c003h_face001_t1|head|c003h_head012_t2|partc|c003h_partc001_t1	206,125,94;168,70,64
27	1	hero103	3	3	equip_130000023375	c003|face|c003_face001_t1|head|c003_head012_t3|partc|c003_partc001_t1	c003h|face|c003h_face001_t1|head|c003h_head012_t3|partc|c003h_partc001_t1	129,192,187;43,114,99
28	1	hero107	1	1	equip_130000007301	c007|face|c007_face001_t1|head|c007_head001_t1|partc|c007_partc001_t1	c007h|face|c007h_face001_t1|head|c007h_head001_t1|partc|c007h_partc001_t1	253,224,199;167,133,102
29	1	hero107	1	2	equip_130000207301	c007|face|c007_face001_t1|head|c007_head001_t2|partc|c007_partc001_t1	c007h|face|c007h_face001_t1|head|c007h_head001_t2|partc|c007h_partc001_t1	150,193,226;74,116,158
30	1	hero107	1	3	equip_130000107301	c007|face|c007_face001_t1|head|c007_head001_t3|partc|c007_partc001_t1	c007h|face|c007h_face001_t1|head|c007h_head001_t3|partc|c007h_partc001_t1	151,167,106;69,87,56
31	1	hero107	2	1	equip_130000007371	c007|face|c007_face001_t1|head|c007_head011_t1|partc|c007_partc001_t1	c007h|face|c007h_face001_t1|head|c007h_head011_t1|partc|c007h_partc001_t1	140,104,75;73,53,44
32	1	hero107	2	2	equip_130000017371	c007|face|c007_face001_t1|head|c007_head011_t2|partc|c007_partc001_t1	c007h|face|c007h_face001_t1|head|c007h_head011_t2|partc|c007h_partc001_t1	242,239,239;166,158,166
33	1	hero107	2	3	equip_130000027371	c007|face|c007_face001_t1|head|c007_head011_t3|partc|c007_partc001_t1	c007h|face|c007h_face001_t1|head|c007h_head011_t3|partc|c007h_partc001_t1	160,129,122;101,81,75
34	1	hero107	3	1	equip_130000017372	c007|face|c007_face001_t1|head|c007_head012_t2|partc|c007_partc001_t1	c007h|face|c007h_face001_t1|head|c007h_head012_t2|partc|c007h_partc001_t1	206,169,95;133,98,58
35	1	hero107	3	2	equip_130000001375	c007|face|c007_face001_t1|head|c007_head012_t1|partc|c007_partc001_t1	c007h|face|c007h_face001_t1|head|c007h_head012_t1|partc|c007h_partc001_t1	101,88,76;53,46,45
36	1	hero107	3	3	equip_130000027372	c007|face|c007_face001_t1|head|c007_head012_t3|partc|c007_partc001_t1	c007h|face|c007h_face001_t1|head|c007h_head012_t3|partc|c007h_partc001_t1	177,91,82;106,44,49
37	1	hero104	1	1	equip_130000004301	c004|face|c004_face001_t1|head|c004_head001_t1|partc|c004_partc001_t1	c004h|face|c004h_face001_t1|head|c004h_head001_t1|partc|c004h_partc001_t1	144,127,125;100,86,84
38	1	hero104	1	2	equip_130000104301	c004|face|c004_face001_t1|head|c004_head001_t2|partc|c004_partc001_t1	c004h|face|c004h_face001_t1|head|c004h_head001_t2|partc|c004h_partc001_t1	72,64,67;32,31,31
39	1	hero104	1	3	equip_130000204301	c004|face|c004_face001_t1|head|c004_head001_t3|partc|c004_partc001_t1	c004h|face|c004h_face001_t1|head|c004h_head001_t3|partc|c004h_partc001_t1	212,177,110;119,87,74
