ID	名次ID	职业ID	挑战星域通关宝箱
int	int	int	string
ID	RankId	OccupationId	Rewards
1	1	1	item106210200002,30;item141000000255,1;item141000002120,1;item101020507343,1;item140000021013,1
2	2	1	item106210200002,23;item141000000256,1;item141000002121,1;item101020507343,1;item140000021012,1
3	3	1	item106210200002,17;item141000000257,1;item141000002122,1;item140000021012,1
4	4	1	item106210200002,17;item141000000257,1;item141000002122,1;item140000021012,1
5	5	1	item106210200002,15;item141000000258,1;item141000002123,1;item140000021012,1
6	6	1	item106210200002,15;item141000000258,1;item141000002123,1;item140000021012,1
7	7	1	item106210200002,15;item141000000258,1;item141000002123,1;item140000021012,1
8	8	1	item106210200002,15;item141000000258,1;item141000002123,1;item140000021012,1
9	1	2	item106210200002,30;item141000000255,1;item141000002120,1;item101020507343,1;item140000021013,1
10	2	2	item106210200002,23;item141000000256,1;item141000002121,1;item101020507343,1;item140000021012,1
11	3	2	item106210200002,17;item141000000257,1;item141000002122,1;item140000021012,1
12	4	2	item106210200002,17;item141000000257,1;item141000002122,1;item140000021012,1
13	5	2	item106210200002,15;item141000000258,1;item141000002123,1;item140000021012,1
14	6	2	item106210200002,15;item141000000258,1;item141000002123,1;item140000021012,1
15	7	2	item106210200002,15;item141000000258,1;item141000002123,1;item140000021012,1
16	8	2	item106210200002,15;item141000000258,1;item141000002123,1;item140000021012,1
17	1	3	item106210200002,30;item141000000255,1;item141000002120,1;item101020507343,1;item140000021013,1
18	2	3	item106210200002,23;item141000000256,1;item141000002121,1;item101020507343,1;item140000021012,1
19	3	3	item106210200002,17;item141000000257,1;item141000002122,1;item140000021012,1
20	4	3	item106210200002,17;item141000000257,1;item141000002122,1;item140000021012,1
21	5	3	item106210200002,15;item141000000258,1;item141000002123,1;item140000021012,1
22	6	3	item106210200002,15;item141000000258,1;item141000002123,1;item140000021012,1
23	7	3	item106210200002,15;item141000000258,1;item141000002123,1;item140000021012,1
24	8	3	item106210200002,15;item141000000258,1;item141000002123,1;item140000021012,1
25	1	4	item106210200002,30;item141000000255,1;item141000002120,1;item101020507343,1;item140000021013,1
26	2	4	item106210200002,23;item141000000256,1;item141000002121,1;item101020507343,1;item140000021012,1
27	3	4	item106210200002,17;item141000000257,1;item141000002122,1;item140000021012,1
28	4	4	item106210200002,17;item141000000257,1;item141000002122,1;item140000021012,1
29	5	4	item106210200002,15;item141000000258,1;item141000002123,1;item140000021012,1
30	6	4	item106210200002,15;item141000000258,1;item141000002123,1;item140000021012,1
31	7	4	item106210200002,15;item141000000258,1;item141000002123,1;item140000021012,1
32	8	4	item106210200002,15;item141000000258,1;item141000002123,1;item140000021012,1
33	1	5	item106210200002,30;item141000000255,1;item141000002120,1;item101020507343,1;item140000021013,1
34	2	5	item106210200002,23;item141000000256,1;item141000002121,1;item101020507343,1;item140000021012,1
35	3	5	item106210200002,17;item141000000257,1;item141000002122,1;item140000021012,1
36	4	5	item106210200002,17;item141000000257,1;item141000002122,1;item140000021012,1
37	5	5	item106210200002,15;item141000000258,1;item141000002123,1;item140000021012,1
38	6	5	item106210200002,15;item141000000258,1;item141000002123,1;item140000021012,1
39	7	5	item106210200002,15;item141000000258,1;item141000002123,1;item140000021012,1
40	8	5	item106210200002,15;item141000000258,1;item141000002123,1;item140000021012,1
41	1	6	item106210200002,30;item141000000255,1;item141000002120,1;item101020507343,1;item140000021013,1
42	2	6	item106210200002,23;item141000000256,1;item141000002121,1;item101020507343,1;item140000021012,1
43	3	6	item106210200002,17;item141000000257,1;item141000002122,1;item140000021012,1
44	4	6	item106210200002,17;item141000000257,1;item141000002122,1;item140000021012,1
45	5	6	item106210200002,15;item141000000258,1;item141000002123,1;item140000021012,1
46	6	6	item106210200002,15;item141000000258,1;item141000002123,1;item140000021012,1
47	7	6	item106210200002,15;item141000000258,1;item141000002123,1;item140000021012,1
48	8	6	item106210200002,15;item141000000258,1;item141000002123,1;item140000021012,1
